Standard-based Integration of Heterogeneous Large-scale DNA Microarray Data for Improving Reusability.
('Standard-based', 'Standard-based', 'JJ', 'B-NP', 'O')
('tool', 'tool', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('provide', 'provide', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('present', 'present', 'JJ', 'I-NP', 'O')
('largescale', 'largescale', 'JJ', 'I-NP', 'O')
('approach', 'approach', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NN', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
Though GEO has abundant practical possibilities, it does not support the standard format or model but its selfstructured format.
('Though', 'Though', 'NNP', 'B-NP', 'O')
('GEO', 'GEO', 'NNP', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('abundant', 'abundant', 'JJ', 'B-NP', 'O')
('practical', 'practical', 'JJ', 'I-NP', 'O')
('possibilities,', 'possibilities,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('does', 'do', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('support', 'support', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('standard', 'standard', 'JJ', 'I-NP', 'O')
('format', 'format', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('but', 'but', 'CC', 'O', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('selfstructured', 'selfstructure', 'VBN', 'I-NP', 'O')
('format.', 'format.', 'NN', 'I-NP', 'O')
Moreover, it stores the microarray data without distinguishing processed data and raw data.
('Moreover,', 'Moreover,', 'JJR', 'B-ADVP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('stores', 'store', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('without', 'without', 'IN', 'B-PP', 'O')
('distinguishing', 'distinguish', 'VBG', 'B-VP', 'O')
('processed', 'process', 'VBN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('raw', 'raw', 'JJ', 'B-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
These factors hinder providing a comprehensive biological analysis environment and future integration of   the external resources and make extracting the desired information difficult.
('These', 'These', 'DT', 'B-NP', 'O')
('factors', 'factor', 'NNS', 'I-NP', 'O')
('hinder', 'hinder', 'VBP', 'B-VP', 'O')
('providing', 'provide', 'VBG', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('comprehensive', 'comprehensive', 'JJ', 'I-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('environment', 'environment', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('future', 'future', 'JJ', 'B-NP', 'O')
('integration', 'integration', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('external', 'external', 'JJ', 'I-NP', 'O')
('resources', 'resource', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('make', 'make', 'VB', 'B-VP', 'O')
('extracting', 'extract', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('desired', 'desire', 'VBN', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('difficult.', 'difficult.', 'NN', 'I-NP', 'O')
Currently, some tools have been developed to utilize large-scale GEO data - SeqExpress (Boyle, 2005), GEOQuery (Sean and Meltzer, 2007), ArrayQuest (Argraves et al., 2005).
('Currently,', 'Currently,', 'NNP', 'B-NP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('tools', 'tool', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('developed', 'develop', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('utilize', 'utilize', 'VB', 'I-VP', 'O')
('large-scale', 'large-scale', 'JJ', 'B-NP', 'O')
('GEO', 'GEO', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('-', '-', ':', 'O', 'O')
('SeqExpress', 'SeqExpress', 'NNP', 'B-NP', 'O')
('(Boyle,', '(Boyle,', 'NNP', 'I-NP', 'O')
('2005),', '2005),', 'VBD', 'B-VP', 'O')
('GEOQuery', 'GEOQuery', 'NNP', 'B-NP', 'O')
('(Sean', '(Sean', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Meltzer,', 'Meltzer,', 'NNP', 'B-NP', 'O')
('2007),', '2007),', 'VBD', 'B-VP', 'O')
('ArrayQuest', 'ArrayQuest', 'NNP', 'B-NP', 'O')
('(Argraves', '(Argraves', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2005).', '2005).', 'CD', 'B-NP', 'O')
However, there is a limitation that they can handle only GEO DataSets which are curated by GEO staffs.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('limitation', 'limitation', 'NN', 'I-NP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('they', 'they', 'PRP', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('handle', 'handle', 'VB', 'I-VP', 'O')
('only', 'only', 'RB', 'B-NP', 'O')
('GEO', 'GEO', 'NNP', 'I-NP', 'O')
('DataSets', 'DataSet', 'NNPS', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('curated', 'curate', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NNP', 'B-NP', 'O')
('staffs.', 'staffs.', 'NN', 'I-NP', 'O')
To solve the problem and overcome the limitation, we attempted integration of heterogeneous microarray data in GEO using microarray data standard, Minimum Information About a Microarray Experiment (MIAME).
('To', 'To', 'TO', 'B-VP', 'O')
('solve', 'solve', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('problem', 'problem', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('overcome', 'overcome', 'VB', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('limitation,', 'limitation,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('attempted', 'attempt', 'VBD', 'B-VP', 'O')
('integration', 'integration', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('heterogeneous', 'heterogeneous', 'JJ', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NN', 'B-NP', 'B-protein')
('using', 'use', 'VBG', 'B-VP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('standard,', 'standard,', 'VBD', 'B-VP', 'O')
('Minimum', 'Minimum', 'NNP', 'B-NP', 'O')
('Information', 'Information', 'NNP', 'I-NP', 'O')
('About', 'About', 'NNP', 'I-NP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('Microarray', 'Microarray', 'NNP', 'I-NP', 'O')
('Experiment', 'Experiment', 'NNP', 'I-NP', 'O')
('(MIAME).', '(MIAME).', 'NNP', 'I-NP', 'O')
In GEO, it encourages submitters to supply MIAME standard compliant data.
('In', 'In', 'IN', 'B-PP', 'O')
('GEO,', 'GEO,', 'NNP', 'B-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('encourages', 'encourage', 'VBZ', 'B-VP', 'O')
('submitters', 'submitter', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('supply', 'supply', 'VB', 'I-VP', 'O')
('MIAME', 'MIAME', 'NNP', 'B-NP', 'O')
('standard', 'standard', 'JJ', 'I-NP', 'O')
('compliant', 'compliant', 'JJ', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
However, it is not related to the format, but rather to the content provided.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'O', 'O')
('related', 'related', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('format,', 'format,', 'NN', 'I-NP', 'O')
('but', 'but', 'CC', 'O', 'O')
('rather', 'rather', 'RB', 'B-ADVP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('content', 'content', 'NN', 'I-NP', 'O')
('provided.', 'provided.', 'NN', 'I-NP', 'O')
We performed data field unification of GEO Data table and distinguished between raw data and transformed data using classification method.
('We', 'We', 'PRP', 'B-NP', 'O')
('performed', 'perform', 'VBD', 'B-VP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('field', 'field', 'NN', 'I-NP', 'O')
('unification', 'unification', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NNP', 'B-NP', 'O')
('Data', 'Data', 'NNP', 'I-NP', 'O')
('table', 'table', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('distinguished', 'distinguish', 'VBN', 'B-VP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('raw', 'raw', 'JJ', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('transformed', 'transform', 'VBN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('classification', 'classification', 'NN', 'B-NP', 'O')
('method.', 'method.', 'NN', 'I-NP', 'O')
To integrate the data in an efficient and accurate manner, these processes were developed in both manual and semiautomated way (Vita et al., 2006).
('To', 'To', 'TO', 'B-VP', 'O')
('integrate', 'integrate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('efficient', 'efficient', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('accurate', 'accurate', 'JJ', 'I-NP', 'O')
('manner,', 'manner,', 'NN', 'I-NP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('processes', 'process', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('developed', 'develop', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('both', 'both', 'CC', 'B-NP', 'O')
('manual', 'manual', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('semiautomated', 'semiautomate', 'VBN', 'I-NP', 'O')
('way', 'way', 'NN', 'I-NP', 'O')
('(Vita', '(Vita', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2006).', '2006).', 'CD', 'B-NP', 'O')
Biological research increasingly depends on computational analysis of data (Miotto et al., 2005).
('Biological', 'Biological', 'JJ', 'B-NP', 'O')
('research', 'research', 'NN', 'I-NP', 'O')
('increasingly', 'increasingly', 'RB', 'B-ADVP', 'O')
('depends', 'depend', 'VBZ', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('computational', 'computational', 'JJ', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('(Miotto', '(Miotto', 'NNP', 'I-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2005).', '2005).', 'CD', 'B-NP', 'O')
A prerequisite for computational analysis is the availability of experimental data in a formalized, structured and machine-readable format.
('A', 'A', 'DT', 'B-NP', 'O')
('prerequisite', 'prerequisite', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('computational', 'computational', 'JJ', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('availability', 'availability', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('experimental', 'experimental', 'JJ', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('formalized,', 'formalized,', 'NN', 'I-NP', 'O')
('structured', 'structured', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('machine-readable', 'machine-readable', 'JJ', 'I-NP', 'O')
('format.', 'format.', 'NN', 'I-NP', 'O')
GEO offers DataSet (GDS) which represents a curated collection of biologically and statistically comparable data for computational analysis method.
('GEO', 'GEO', 'NNP', 'B-NP', 'O')
('offers', 'offer', 'VBZ', 'B-VP', 'O')
('DataSet', 'DataSet', 'NNP', 'B-NP', 'O')
('(GDS)', '(GDS)', 'NNP', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('represents', 'represent', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('curated', 'curate', 'VBN', 'I-NP', 'O')
('collection', 'collection', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('biologically', 'biologically', 'RB', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('statistically', 'statistically', 'RB', 'I-NP', 'O')
('comparable', 'comparable', 'JJ', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('computational', 'computational', 'JJ', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('method.', 'method.', 'NN', 'I-NP', 'O')
However, there is a limitation that GEO data are reassembled mainly for not entire GEO data but a unit of GEO Series (GSE) only.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('limitation', 'limitation', 'NN', 'I-NP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('GEO', 'GEO', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('reassembled', 'reassemble', 'VBN', 'I-VP', 'O')
('mainly', 'mainly', 'RB', 'B-ADVP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('not', 'not', 'RB', 'B-NP', 'O')
('entire', 'entire', 'JJ', 'I-NP', 'O')
('GEO', 'GEO', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('but', 'but', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('unit', 'unit', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NNP', 'B-NP', 'O')
('Series', 'Series', 'NNP', 'I-NP', 'O')
('(GSE)', '(GSE)', 'NNP', 'I-NP', 'O')
('only.', 'only.', 'IN', 'B-ADJP', 'O')
To overcome the limitation and provide a comprehensive biological analysis environment, we attempted integration of heterogeneous microarray data in GEO using microarray data standard, Minimum Information About a Microarray Experiment (MIAME).
('To', 'To', 'TO', 'B-VP', 'O')
('overcome', 'overcome', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('limitation', 'limitation', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('provide', 'provide', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('comprehensive', 'comprehensive', 'JJ', 'I-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('environment,', 'environment,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('attempted', 'attempt', 'VBD', 'B-VP', 'O')
('integration', 'integration', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('heterogeneous', 'heterogeneous', 'JJ', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NN', 'B-NP', 'B-protein')
('using', 'use', 'VBG', 'B-VP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('standard,', 'standard,', 'VBD', 'B-VP', 'O')
('Minimum', 'Minimum', 'NNP', 'B-NP', 'O')
('Information', 'Information', 'NNP', 'I-NP', 'O')
('About', 'About', 'NNP', 'I-NP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('Microarray', 'Microarray', 'NNP', 'I-NP', 'O')
('Experiment', 'Experiment', 'NNP', 'I-NP', 'O')
('(MIAME).', '(MIAME).', 'NNP', 'I-NP', 'O')
Workflows are as follows (Fig.
('Workflows', 'Workflow', 'NNS', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('as', 'as', 'IN', 'B-SBAR', 'O')
('follows', 'follow', 'VBZ', 'B-VP', 'O')
('(Fig.', '(Fig.', 'NNP', 'B-NP', 'O')
1): GEO data localization, Data field unification, Data transformation classification, Standard based integration of heterogeneous microarray data, and GEO data update.
('1):', '1):', 'LS', 'B-NP', 'O')
('GEO', 'GEO', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('localization,', 'localization,', 'VBP', 'B-VP', 'O')
('Data', 'Data', 'NNP', 'B-NP', 'O')
('field', 'field', 'NN', 'I-NP', 'O')
('unification,', 'unification,', 'IN', 'B-PP', 'O')
('Data', 'Data', 'NNP', 'B-NP', 'O')
('transformation', 'transformation', 'NN', 'I-NP', 'O')
('classification,', 'classification,', 'NN', 'I-NP', 'O')
('Standard', 'Standard', 'NN', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-VP', 'O')
('integration', 'integration', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('heterogeneous', 'heterogeneous', 'JJ', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('data,', 'data,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('GEO', 'GEO', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('update.', 'update.', 'VBP', 'B-VP', 'O')
GEO is an international repository for gene expression data.
('GEO', 'GEO', 'NN', 'B-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('international', 'international', 'JJ', 'I-NP', 'O')
('repository', 'repository', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
It is developed and maintained by the National Library of Medicine (NLM).
('It', 'It', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('developed', 'develop', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('maintained', 'maintain', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('National', 'National', 'NNP', 'I-NP', 'O')
('Library', 'Library', 'NNP', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Medicine', 'Medicine', 'NNP', 'B-NP', 'O')
('(NLM).', '(NLM).', 'NNP', 'I-NP', 'O')
It serves as a public repository for a wide range of highthroughput experimental data like single and dual channel microarraybased experiments measuring mRNA, miRNA, genomic DNA and protein abundance.
('It', 'It', 'PRP', 'B-NP', 'O')
('serves', 'serve', 'VBZ', 'B-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('public', 'public', 'JJ', 'I-NP', 'O')
('repository', 'repository', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('wide', 'wide', 'JJ', 'I-NP', 'O')
('range', 'range', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('highthroughput', 'highthroughput', 'JJ', 'B-NP', 'O')
('experimental', 'experimental', 'JJ', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('like', 'like', 'IN', 'B-PP', 'O')
('single', 'single', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('dual', 'dual', 'JJ', 'I-NP', 'O')
('channel', 'channel', 'NN', 'I-NP', 'O')
('microarraybased', 'microarraybased', 'JJ', 'I-NP', 'O')
('experiments', 'experiment', 'NNS', 'I-NP', 'O')
('measuring', 'measure', 'VBG', 'B-VP', 'O')
('mRNA,', 'mRNA,', 'NN', 'B-NP', 'B-DNA')
('miRNA,', 'miRNA,', 'NN', 'I-NP', 'I-DNA')
('genomic', 'genomic', 'JJ', 'I-NP', 'I-DNA')
('DNA', 'DNA', 'NN', 'I-NP', 'I-DNA')
('and', 'and', 'CC', 'I-NP', 'O')
('protein', 'protein', 'NN', 'I-NP', 'O')
('abundance.', 'abundance.', 'NN', 'I-NP', 'O')
In GEO, the basic entity types are Platform, Sample and Series.
('In', 'In', 'IN', 'B-PP', 'O')
('GEO,', 'GEO,', 'NNP', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('basic', 'basic', 'JJ', 'I-NP', 'O')
('entity', 'entity', 'NN', 'I-NP', 'O')
('types', 'type', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('Platform,', 'Platform,', 'NNP', 'B-NP', 'O')
('Sample', 'Sample', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Series.', 'Series.', 'NNP', 'B-NP', 'O')
Platform includes a summary description of the array (Descriptive information) and a data table defining the array template (Data table).
('Platform', 'Platform', 'NN', 'B-NP', 'O')
('includes', 'include', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('summary', 'summary', 'JJ', 'I-NP', 'O')
('description', 'description', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('array', 'array', 'NN', 'I-NP', 'O')
('(Descriptive', '(Descriptive', 'JJ', 'I-NP', 'O')
('information)', 'information)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('data', 'data', 'NN', 'I-NP', 'O')
('table', 'table', 'NN', 'I-NP', 'O')
('defining', 'define', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('array', 'array', 'NN', 'I-NP', 'O')
('template', 'template', 'NN', 'I-NP', 'O')
('(Data', '(Data', 'NNP', 'I-NP', 'O')
('table).', 'table).', 'NN', 'I-NP', 'O')
Each row in the data table corresponds to a single element, and includes sequence annotation and tracking information as   provided by the submitter.
('Each', 'Each', 'DT', 'B-NP', 'O')
('row', 'row', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('table', 'table', 'NN', 'I-NP', 'O')
('corresponds', 'correspond', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('single', 'single', 'JJ', 'I-NP', 'O')
('element,', 'element,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('includes', 'include', 'VBZ', 'B-VP', 'O')
('sequence', 'sequence', 'NN', 'B-NP', 'O')
('annotation', 'annotation', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('tracking', 'track', 'VBG', 'B-VP', 'O')
('information', 'information', 'NN', 'B-NP', 'O')
('as', 'as', 'IN', 'B-SBAR', 'O')
('provided', 'provide', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('submitter.', 'submitter.', 'NN', 'I-NP', 'O')
Sample includes a description of the biological source and the experimental protocols to which it was subjected (Descriptive information), and a data table containing hybridization measurements for each element on the corresponding Platform (Data table).
('Sample', 'Sample', 'NNP', 'B-NP', 'O')
('includes', 'include', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('description', 'description', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('source', 'source', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('experimental', 'experimental', 'JJ', 'I-NP', 'O')
('protocols', 'protocol', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('subjected', 'subject', 'VBN', 'I-VP', 'O')
('(Descriptive', '(Descriptive', 'JJ', 'B-NP', 'O')
('information),', 'information),', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('data', 'data', 'NN', 'I-NP', 'O')
('table', 'table', 'NN', 'I-NP', 'O')
('containing', 'contain', 'VBG', 'B-VP', 'O')
('hybridization', 'hybridization', 'NN', 'B-NP', 'O')
('measurements', 'measurement', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('element', 'element', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('corresponding', 'correspond', 'VBG', 'I-NP', 'O')
('Platform', 'Platform', 'NNP', 'I-NP', 'O')
('(Data', '(Data', 'NNP', 'I-NP', 'O')
('table).', 'table).', 'NN', 'I-NP', 'O')
Series defines a set of related Samples considered to be part of a study, and describes the overall study aim and design.
('Series', 'Series', 'NNP', 'B-NP', 'O')
('defines', 'define', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('related', 'related', 'JJ', 'B-NP', 'O')
('Samples', 'Sample', 'NNS', 'I-NP', 'O')
