Prediction Model for the Cellular Immortalization and Transformation Potentials of Cell SubstratesThe establishment of DNA microarray technology has enabled high-throughput analysis and molecular profiling of various types of cancers.
('Prediction', 'Prediction', 'NN', 'B-NP', 'O')
('H-ras', 'H-ras', 'NN', 'I-NP', 'O')
('V12', 'V12', 'NN', 'I-NP', 'O')
('.', '.', '.', 'O', 'O')
The gene expression profiles of these cells were analyzed by Affymetrix microarray to find differentially expressed genes in each group.
('The', 'The', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('profiles', 'profile', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('cells', 'cell', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('analyzed', 'analyze', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('Affymetrix', 'Affymetrix', 'NN', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('find', 'find', 'VB', 'I-VP', 'O')
('differentially', 'differentially', 'RB', 'B-NP', 'B-DNA')
('expressed', 'express', 'VBN', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'B-NP', 'I-DNA')
('in', 'in', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('group.', 'group.', 'NN', 'I-NP', 'O')
Finally, we selected    13    genes    which    could    be    used    to    predict whether    the    tested    cells    were    normal,    immortalized    or transformed with one hundred percent accuracy.
('Finally,', 'Finally,', 'NN', 'B-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('selected', 'select', 'VBD', 'B-VP', 'O')
('13', '13', 'CD', 'B-NP', 'B-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('which', 'which', 'WDT', 'B-NP', 'O')
('could', 'could', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('predict', 'predict', 'VB', 'I-VP', 'O')
('whether', 'whether', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('tested', 'test', 'VBN', 'I-NP', 'O')
('cells', 'cell', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('normal,', 'normal,', 'RB', 'I-VP', 'O')
('immortalized', 'immortalize', 'VBN', 'I-VP', 'O')
('or', 'or', 'CC', 'I-VP', 'O')
('transformed', 'transform', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('one', 'one', 'CD', 'B-NP', 'O')
('hundred', 'hundred', 'CD', 'I-NP', 'O')
('percent', 'percent', 'NN', 'I-NP', 'O')
('accuracy.', 'accuracy.', 'NN', 'I-NP', 'O')
These genes and algorithm may be useful in the classification of cell substrates to predict their transforming potential without the need for in vivo tumorigenicity assays.
('These', 'These', 'DT', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('algorithm', 'algorithm', 'NN', 'I-NP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('useful', 'useful', 'JJ', 'B-ADJP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cell', 'cell', 'NN', 'B-NP', 'O')
('substrates', 'substrate', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('predict', 'predict', 'VB', 'I-VP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('transforming', 'transforming', 'NN', 'I-NP', 'O')
('potential', 'potential', 'NN', 'I-NP', 'O')
('without', 'without', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('need', 'need', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('in', 'in', 'FW', 'B-NP', 'O')
('vivo', 'vivo', 'FW', 'I-NP', 'O')
('tumorigenicity', 'tumorigenicity', 'NN', 'I-NP', 'O')
('assays.', 'assays.', 'NN', 'I-NP', 'O')
NIH3T3     mouse     fibroblast     cells     were     maintained inDMEM    supplemented    with    10% FBS    and    antibiotics    of penicillin/streptomycin at 37 °C in a humidified incubatorwith a 5% CO 2 atmosphere.
('NIH3T3', 'NIH3T3', 'NN', 'B-NP', 'B-cell_line')
('mouse', 'mouse', 'NN', 'I-NP', 'I-cell_line')
('fibroblast', 'fibroblast', 'NN', 'I-NP', 'I-cell_line')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_line')
('were', 'be', 'VBD', 'B-VP', 'O')
('maintained', 'maintain', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('DMEM', 'DMEM', 'NN', 'B-NP', 'O')
('supplemented', 'supplement', 'VBN', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('10%', '10%', 'CD', 'B-NP', 'O')
('FBS', 'FBS', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('antibiotics', 'antibiotic', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('penicillin/streptomycin', 'penicillin/streptomycin', 'NN', 'B-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('37', '37', 'CD', 'B-NP', 'O')
('°C', '°C', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('humidified', 'humidified', 'JJ', 'I-NP', 'O')
('incubator', 'incubator', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('5%', '5%', 'NN', 'I-NP', 'O')
('CO', 'CO', 'NN', 'I-NP', 'O')
('2', '2', 'CD', 'I-NP', 'O')
('atmosphere.', 'atmosphere.', 'NN', 'I-NP', 'O')
We established stableNIH3T3(c-myc)    cell    lines    by    transfecting    NIH3T3    cells with      pcDNAc-myc      using      Lipofectamine      (Invitrogen, USA)    and    selecting    stable    transfectants    with    Geneticin (Invitrogen,    USA).
('We', 'We', 'PRP', 'B-NP', 'O')
('established', 'establish', 'VBD', 'B-VP', 'O')
('stable', 'stable', 'JJ', 'B-NP', 'B-cell_line')
('NIH3T3(c-myc)', 'NIH3T3(c-myc)', 'NN', 'I-NP', 'I-cell_line')
('cell', 'cell', 'NN', 'I-NP', 'I-cell_line')
('lines', 'line', 'NNS', 'I-NP', 'I-cell_line')
('by', 'by', 'IN', 'B-PP', 'O')
('transfecting', 'transfecte', 'VBG', 'B-VP', 'O')
('NIH3T3', 'NIH3T3', 'NN', 'B-NP', 'B-cell_line')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_line')
('with', 'with', 'IN', 'B-PP', 'O')
('pcDNAc-myc', 'pcDNAc-myc', 'NN', 'B-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('Lipofectamine', 'Lipofectamine', 'NNP', 'B-NP', 'O')
('(Invitrogen,', '(Invitrogen,', 'NNP', 'I-NP', 'O')
('USA)', 'USA)', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('selecting', 'select', 'VBG', 'B-VP', 'O')
('stable', 'stable', 'JJ', 'B-NP', 'O')
('transfectants', 'transfectant', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('Geneticin', 'Geneticin', 'NNP', 'B-NP', 'O')
('(Invitrogen,', '(Invitrogen,', 'NNP', 'I-NP', 'O')
('USA).', 'USA).', 'NNP', 'I-NP', 'O')
The    other    cell    lines    like    NIH3T3(H- ras V12 )     and     NIH3T3(c-myc+H-ras V12 )     were     established using     the     same     procedure.
('The', 'The', 'DT', 'B-NP', 'O')
('other', 'other', 'JJ', 'I-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'B-cell_line')
('lines', 'line', 'NNS', 'I-NP', 'I-cell_line')
('like', 'like', 'IN', 'B-PP', 'O')
('NIH3T3(H-', 'NIH3T3(H-', 'NN', 'B-NP', 'B-protein')
('ras', 'ras', 'NN', 'I-NP', 'I-protein')
('V12', 'V12', 'NN', 'I-NP', 'I-protein')
(')', ')', ')', 'O', 'O')
('and', 'and', 'CC', 'O', 'O')
('NIH3T3(c-myc+H-ras', 'NIH3T3(c-myc+H-ras', 'NN', 'B-NP', 'B-protein')
('V12', 'V12', 'NN', 'I-NP', 'I-protein')
(')', ')', ')', 'O', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('established', 'establish', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('same', 'same', 'JJ', 'I-NP', 'O')
('procedure.', 'procedure.', 'NN', 'I-NP', 'O')
The     expressions     of transgenes was checked by Western blot analysis (data not shown), and the in vitro and in vivo transformation potential of cells was checked using soft agar assays and by tumor formation assays in Balb/c-nu mouse, respectively.
('The', 'The', 'DT', 'B-NP', 'O')
('expressions', 'expression', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('transgenes', 'transgene', 'NNS', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('checked', 'check', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('Western', 'Western', 'JJ', 'B-NP', 'O')
('blot', 'blot', 'NN', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('(data', '(data', 'NNS', 'I-NP', 'O')
('not', 'not', 'RB', 'O', 'O')
('shown),', 'shown),', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('in', 'in', 'FW', 'I-NP', 'O')
('vitro', 'vitro', 'FW', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('in', 'in', 'FW', 'B-NP', 'O')
('vivo', 'vivo', 'FW', 'I-NP', 'O')
('transformation', 'transformation', 'NN', 'I-NP', 'O')
('potential', 'potential', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cells', 'cell', 'NNS', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('checked', 'check', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('soft', 'soft', 'JJ', 'B-NP', 'O')
('agar', 'agar', 'NN', 'I-NP', 'O')
('assays', 'assay', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'B-PP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('tumor', 'tumor', 'NN', 'B-NP', 'O')
('formation', 'formation', 'NN', 'I-NP', 'O')
('assays', 'assay', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Balb/c-nu', 'Balb/c-nu', 'NN', 'B-NP', 'O')
('mouse,', 'mouse,', 'NN', 'I-NP', 'O')
('respectively.', 'respectively.', 'NN', 'I-NP', 'O')
Total RNAs from cells was extracted using Trizol reagent (Invitrogen Inc., USA) and purified by column chromatography (RNeasy, Qiagen) according to the protocol provided by the manufacturer.
('Total', 'Total', 'JJ', 'B-NP', 'O')
('RNAs', 'RNA', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('cells', 'cell', 'NNS', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('extracted', 'extract', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('Trizol', 'Trizol', 'NN', 'B-NP', 'O')
('reagent', 'reagent', 'NN', 'I-NP', 'O')
('(Invitrogen', '(Invitrogen', 'NNP', 'I-NP', 'O')
('Inc.,', 'Inc.,', 'NNP', 'I-NP', 'O')
('USA)', 'USA)', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('purified', 'purify', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('column', 'column', 'NN', 'B-NP', 'O')
('chromatography', 'chromatography', 'NN', 'I-NP', 'O')
('(RNeasy,', '(RNeasy,', 'NN', 'I-NP', 'O')
('Qiagen)', 'Qiagen)', 'NN', 'I-NP', 'O')
('according', 'accord', 'VBG', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('protocol', 'protocol', 'NN', 'I-NP', 'O')
('provided', 'provide', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('manufacturer.', 'manufacturer.', 'NN', 'I-NP', 'O')
The quality of RNA was checked by quantifying 260/280 and 260/230 ratios and by gel electrophoresis     (data     not     shown).
('The', 'The', 'DT', 'B-NP', 'O')
('quality', 'quality', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('RNA', 'RNA', 'NN', 'B-NP', 'B-RNA')
('was', 'be', 'VBD', 'B-VP', 'O')
('checked', 'check', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('quantifying', 'quantify', 'VBG', 'B-VP', 'O')
('260/280', '260/280', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('260/230', '260/230', 'CD', 'I-NP', 'O')
('ratios', 'ratio', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'B-PP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('gel', 'gel', 'NN', 'B-NP', 'O')
('electrophoresis', 'electrophoresis', 'NN', 'I-NP', 'O')
('(data', '(data', 'NNS', 'I-NP', 'O')
('not', 'not', 'RB', 'O', 'O')
('shown).', 'shown).', 'VB', 'B-VP', 'O')
Following     ethanol precipitation, RNA was stored at -80 °C after ethanol precipitation.
('Following', 'Follow', 'VBG', 'B-PP', 'O')
('ethanol', 'ethanol', 'NN', 'B-NP', 'B-RNA')
('precipitation,', 'precipitation,', 'NN', 'I-NP', 'I-RNA')
('RNA', 'RNA', 'NN', 'I-NP', 'I-RNA')
('was', 'be', 'VBD', 'B-VP', 'O')
('stored', 'store', 'VBN', 'I-VP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('-80', '-80', 'CD', 'B-NP', 'O')
('°C', '°C', 'NN', 'I-NP', 'O')
('after', 'after', 'IN', 'B-PP', 'O')
('ethanol', 'ethanol', 'NN', 'B-NP', 'O')
('precipitation.', 'precipitation.', 'NN', 'I-NP', 'O')
Labeling and hybridization was performed as described in Affymetrix microarray protocol (Kim et al., 2004).
('Labeling', 'Labeling', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('hybridization', 'hybridization', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('performed', 'perform', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-SBAR', 'O')
('described', 'describe', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Affymetrix', 'Affymetrix', 'NN', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('protocol', 'protocol', 'NN', 'I-NP', 'O')
('(Kim', '(Kim', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2004).', '2004).', 'CD', 'B-NP', 'O')
The array used in this experiment was Affymetrix mouse genome 430 2.0 array which includes 39,000 transcripts.
('The', 'The', 'DT', 'B-NP', 'O')
('array', 'array', 'NN', 'I-NP', 'O')
('used', 'use', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('experiment', 'experiment', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('Affymetrix', 'Affymetrix', 'NN', 'B-NP', 'O')
('mouse', 'mouse', 'NN', 'I-NP', 'O')
('genome', 'genome', 'NN', 'I-NP', 'O')
('430', '430', 'CD', 'I-NP', 'O')
('2.0', '2.0', 'CD', 'I-NP', 'O')
('array', 'array', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('includes', 'include', 'VBZ', 'B-VP', 'O')
('39,000', '39,000', 'CD', 'B-NP', 'O')
('transcripts.', 'transcripts.', 'NNS', 'I-NP', 'O')
Many experiments for control, c-myc, H-ras V12 , and c-myc+H-ras V12 microarray experiment were quadruplicated producing a total of 16 sets of microarray data.
('Many', 'Many', 'JJ', 'B-NP', 'O')
('experiments', 'experiment', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('control,', 'control,', 'NN', 'B-NP', 'O')
('c-myc,', 'c-myc,', 'NN', 'I-NP', 'O')
('H-ras', 'H-ras', 'NN', 'I-NP', 'O')
('V12', 'V12', 'NN', 'I-NP', 'O')
(',', ',', ',', 'O', 'O')
('and', 'and', 'CC', 'O', 'O')
('c-myc+H-ras', 'c-myc+H-ras', 'NN', 'B-NP', 'O')
('V12', 'V12', 'NN', 'I-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('experiment', 'experiment', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('quadruplicated', 'quadruplicate', 'VBN', 'I-VP', 'O')
('producing', 'produce', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('total', 'total', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('16', '16', 'CD', 'B-NP', 'O')
('sets', 'set', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
Fluorescence    intensity    was    processed    and    measured using GeneChip scanner 3000 and intensity data was imported to an in-house microarray database.
('Fluorescence', 'Fluorescence', 'NN', 'B-NP', 'O')
('intensity', 'intensity', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('processed', 'process', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'O', 'O')
('measured', 'measure', 'VBN', 'B-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('GeneChip', 'GeneChip', 'NN', 'B-NP', 'O')
('scanner', 'scanner', 'NN', 'I-NP', 'O')
('3000', '3000', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('intensity', 'intensity', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('imported', 'import', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('in-house', 'in-house', 'JJ', 'I-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('database.', 'database.', 'NN', 'I-NP', 'O')
In order to normalize data and remove systemic variance, RMA (Robust Multi Array Average) normalization was applied to remove systematic variance (Irizarry et al., 2003).
('In', 'In', 'IN', 'B-SBAR', 'O')
('order', 'order', 'NN', 'O', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('normalize', 'normalize', 'VB', 'I-VP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('remove', 'remove', 'VB', 'B-VP', 'O')
('systemic', 'systemic', 'JJ', 'B-NP', 'O')
('variance,', 'variance,', 'NN', 'I-NP', 'O')
('RMA', 'RMA', 'NNP', 'I-NP', 'O')
('(Robust', '(Robust', 'NNP', 'I-NP', 'O')
('Multi', 'Multi', 'NNP', 'I-NP', 'O')
('Array', 'Array', 'NNP', 'I-NP', 'O')
('Average)', 'Average)', 'NNP', 'I-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('applied', 'apply', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('remove', 'remove', 'VB', 'I-VP', 'O')
('systematic', 'systematic', 'JJ', 'B-NP', 'O')
('variance', 'variance', 'NN', 'I-NP', 'O')
('(Irizarry', '(Irizarry', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2003).', '2003).', 'CD', 'B-NP', 'O')
The application of RMA allowed the raw intensity values to be background corrected, Iog2 transformed and then quantile normalized.
('The', 'The', 'DT', 'B-NP', 'O')
('application', 'application', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('RMA', 'RMA', 'NN', 'B-NP', 'B-protein')
('allowed', 'allow', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('raw', 'raw', 'JJ', 'I-NP', 'O')
('intensity', 'intensity', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('background', 'background', 'JJ', 'B-NP', 'O')
('corrected,', 'corrected,', 'NN', 'I-NP', 'O')
('Iog2', 'Iog2', 'NN', 'I-NP', 'O')
('transformed', 'transform', 'VBN', 'B-VP', 'O')
('and', 'and', 'CC', 'O', 'O')
('then', 'then', 'RB', 'O', 'O')
('quantile', 'quantile', 'JJ', 'B-NP', 'O')
('normalized.', 'normalized.', 'NN', 'I-NP', 'O')
A linear model was fitted to the normalized data to obtain an expression measurement for each probe set on each array.
('A', 'A', 'DT', 'B-NP', 'O')
('linear', 'linear', 'JJ', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('fitted', 'fit', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('normalized', 'normalized', 'JJ', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('obtain', 'obtain', 'VB', 'I-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('measurement', 'measurement', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('set', 'set', 'VBN', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('array.', 'array.', 'NN', 'I-NP', 'O')
To characterize the differences between immortalized and transformed cells, we identified genes that were differentially expressed among control, immortalized (c-myc), and transformed (c-myc+H-ras V12 ) classes using the multivariate permutation F-test (Simon etal., 2004; Korn et al., 2004).
('To', 'To', 'TO', 'B-VP', 'O')
('characterize', 'characterize', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('differences', 'difference', 'NNS', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('immortalized', 'immortalize', 'VBN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('transformed', 'transform', 'VBN', 'I-NP', 'O')
('cells,', 'cells,', 'NNS', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('identified', 'identify', 'VBD', 'B-VP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('differentially', 'differentially', 'RB', 'I-VP', 'O')
('expressed', 'express', 'VBN', 'I-VP', 'O')
('among', 'among', 'IN', 'B-PP', 'O')
('control,', 'control,', 'NN', 'B-NP', 'O')
('immortalized', 'immortalize', 'VBN', 'B-VP', 'O')
('(c-', '(c-', '(', 'O', 'B-DNA')
('myc),', 'myc),', 'NN', 'B-NP', 'I-DNA')
('and', 'and', 'CC', 'O', 'O')
('transformed', 'transform', 'VBN', 'B-NP', 'O')
('(c-myc+H-ras', '(c-myc+H-ras', 'NN', 'I-NP', 'O')
('V12', 'V12', 'NN', 'I-NP', 'O')
(')', ')', ')', 'O', 'O')
('classes', 'class', 'NNS', 'B-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('multivariate', 'multivariate', 'JJ', 'I-NP', 'O')
('permutation', 'permutation', 'NN', 'I-NP', 'O')
('F-test', 'F-test', 'NNP', 'I-NP', 'O')
('(Simon', '(Simon', 'NNP', 'I-NP', 'O')
('etal.,', 'etal.,', 'NNP', 'I-NP', 'O')
('2004;', '2004;', ':', 'O', 'O')
('Korn', 'Korn', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2004).', '2004).', 'CD', 'B-NP', 'O')
The false discovery rate (FDR) was defined as the proportion of genes reported to be differentially expressed by our assay that were false positives.
('The', 'The', 'DT', 'B-NP', 'O')
('false', 'false', 'JJ', 'I-NP', 'O')
('discovery', 'discovery', 'NN', 'I-NP', 'O')
('rate', 'rate', 'NN', 'I-NP', 'O')
('(FDR)', '(FDR)', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('defined', 'define', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('proportion', 'proportion', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('reported', 'report', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('differentially', 'differentially', 'RB', 'I-VP', 'O')
('expressed', 'express', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('assay', 'assay', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('false', 'false', 'JJ', 'B-NP', 'O')
('positives.', 'positives.', 'NNS', 'I-NP', 'O')
We used the    multivariate    permutation    test    to    provide    a    95% confidence level where the false discovery rate (FDR) was less than 1%.
('We', 'We', 'PRP', 'B-NP', 'O')
('used', 'use', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('multivariate', 'multivariate', 'JJ', 'I-NP', 'O')
('permutation', 'permutation', 'NN', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('provide', 'provide', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('95%', '95%', 'NN', 'I-NP', 'O')
('confidence', 'confidence', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('false', 'false', 'JJ', 'I-NP', 'O')
('discovery', 'discovery', 'NN', 'I-NP', 'O')
('rate', 'rate', 'NN', 'I-NP', 'O')
('(FDR)', '(FDR)', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('less', 'less', 'JJR', 'B-NP', 'O')
('than', 'than', 'IN', 'I-NP', 'O')
('1%.', '1%.', 'CD', 'I-NP', 'O')
Gene ontology (GO) (The Gene Ontology Consortium, 2000) groups of the selected genes were identified.
('Gene', 'Gene', 'NNP', 'B-NP', 'O')
