Estimating the Genetic Epidemiology Parameters of Selected Cancers in Korea Population - The Korean Twin Study -The Korean Twin Register (n=154,783 pairs) wasreported in 2002 as the first nationwide twin study in Korea and the largest study in Asia.
('Estimating', 'Estimate', 'VBG', 'B-VP', 'O')
('quantitate', 'quantitate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('overall', 'overall', 'JJ', 'I-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('contribution', 'contribution', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('carcinogenesis.', 'carcinogenesis.', 'VB', 'I-VP', 'O')
Knowledge of quantitative genetic contribution permits strategy to screen diseases/traits which have better opportunity to find underlying genetic variations.
('Knowledge', 'Knowledge', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('quantitative', 'quantitative', 'JJ', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('contribution', 'contribution', 'NN', 'I-NP', 'O')
('permits', 'permit', 'VBZ', 'B-VP', 'O')
('strategy', 'strategy', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('screen', 'screen', 'VB', 'I-VP', 'O')
('diseases/traits', 'diseases/trait', 'NNS', 'B-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('better', 'good', 'JJR', 'B-NP', 'O')
('opportunity', 'opportunity', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('find', 'find', 'VB', 'I-VP', 'O')
('underlying', 'underlie', 'VBG', 'I-VP', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('variations.', 'variations.', 'NNS', 'I-NP', 'O')
For example, if the overall genetic parameter suggests major gene or oligogenic involvement, there should be higher chance of detecting it, than the case where polygenic involvement with tiny influences are interacting with environments.
('For', 'For', 'IN', 'B-PP', 'O')
('example,', 'example,', 'NN', 'B-NP', 'O')
('if', 'if', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('overall', 'overall', 'JJ', 'I-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('parameter', 'parameter', 'NN', 'I-NP', 'O')
('suggests', 'suggest', 'VBZ', 'B-VP', 'O')
('major', 'major', 'JJ', 'B-NP', 'B-DNA')
('gene', 'gene', 'NN', 'I-NP', 'I-DNA')
('or', 'or', 'CC', 'O', 'O')
('oligogenic', 'oligogenic', 'JJ', 'B-NP', 'O')
('involvement,', 'involvement,', 'NN', 'I-NP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('should', 'should', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('higher', 'high', 'JJR', 'B-NP', 'O')
('chance', 'chance', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('detecting', 'detect', 'VBG', 'B-VP', 'O')
('it,', 'it,', 'NN', 'B-NP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('case', 'case', 'NN', 'I-NP', 'O')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('polygenic', 'polygenic', 'JJ', 'B-NP', 'O')
('involvement', 'involvement', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('tiny', 'tiny', 'JJ', 'B-NP', 'O')
('influences', 'influence', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('interacting', 'interact', 'VBG', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('environments.', 'environments.', 'NN', 'B-NP', 'O')
Overall genetic contribution is estimated by heritability or familial recurrence risk.
('Overall', 'Overall', 'JJ', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('contribution', 'contribution', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('estimated', 'estimate', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('heritability', 'heritability', 'NN', 'B-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('familial', 'familial', 'JJ', 'B-NP', 'O')
('recurrence', 'recurrence', 'NN', 'I-NP', 'O')
('risk.', 'risk.', 'NN', 'I-NP', 'O')
Unlike cardiovascular diseases or traits related to metabolic syndrome, heritability or familial recurrence risk was difficult to estimate for cancers, and often could not be measured in classical family based studies (Aarino, etal., 1999).
('Unlike', 'Unlike', 'IN', 'B-PP', 'O')
('cardiovascular', 'cardiovascular', 'JJ', 'B-NP', 'O')
('diseases', 'disease', 'NNS', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('traits', 'trait', 'NNS', 'I-NP', 'O')
('related', 'relate', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('metabolic', 'metabolic', 'JJ', 'B-NP', 'O')
('syndrome,', 'syndrome,', 'NN', 'I-NP', 'O')
('heritability', 'heritability', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('familial', 'familial', 'JJ', 'B-NP', 'O')
('recurrence', 'recurrence', 'NN', 'I-NP', 'O')
('risk', 'risk', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('difficult', 'difficult', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('estimate', 'estimate', 'VB', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('cancers,', 'cancers,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('often', 'often', 'RB', 'B-VP', 'O')
('could', 'could', 'MD', 'I-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('measured', 'measure', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('classical', 'classical', 'JJ', 'B-NP', 'O')
('family', 'family', 'NN', 'I-NP', 'O')
('based', 'based', 'JJ', 'I-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('(Aarino,', '(Aarino,', 'NNP', 'B-NP', 'O')
('etal.,', 'etal.,', 'VBD', 'B-VP', 'O')
('1999).', '1999).', 'CD', 'B-NP', 'O')
Studies using twins, however, have been have been successful in estimating overall genetic contribution to cancers (Sung etal., 2002).
('Studies', 'Study', 'NNS', 'B-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('twins,', 'twins,', 'NN', 'B-NP', 'O')
('however,', 'however,', 'NN', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('successful', 'successful', 'JJ', 'B-ADJP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('estimating', 'estimate', 'VBG', 'B-VP', 'O')
('overall', 'overall', 'JJ', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('contribution', 'contribution', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('cancers', 'cancer', 'NNS', 'B-NP', 'O')
('(Sung', '(Sung', 'NNP', 'B-NP', 'O')
('etal.,', 'etal.,', 'VBD', 'B-VP', 'O')
('2002).', '2002).', 'CD', 'B-NP', 'O')
Several cancers are reported to have familialaggregations; breast colorectal ovarian and prostate cancers.
('Several', 'Several', 'JJ', 'B-NP', 'O')
('cancers', 'cancer', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('reported', 'report', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('have', 'have', 'VB', 'I-VP', 'O')
('familial', 'familial', 'JJ', 'B-NP', 'O')
('aggregations;', 'aggregations;', 'JJ', 'I-NP', 'O')
('breast', 'breast', 'NN', 'I-NP', 'O')
('colorectal', 'colorectal', 'JJ', 'I-NP', 'O')
('ovarian', 'ovarian', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('prostate', 'prostate', 'NN', 'I-NP', 'O')
('cancers.', 'cancers.', 'NN', 'I-NP', 'O')
In Korea, the age-standardized incidence rate of breast colorectal ovarian and prostate cancers were 21.7 for women, 27.3 for men and 16.7 for women, 4.94 for women, and 7.88 for men, out of 100,000 person year, respectively.
('In', 'In', 'IN', 'B-PP', 'O')
('Korea,', 'Korea,', 'NNP', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('age-standardized', 'age-standardized', 'JJ', 'I-NP', 'O')
('incidence', 'incidence', 'NN', 'I-NP', 'O')
('rate', 'rate', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('breast', 'breast', 'NN', 'B-NP', 'O')
('colorectal', 'colorectal', 'JJ', 'I-NP', 'O')
('ovarian', 'ovarian', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('prostate', 'prostate', 'NN', 'I-NP', 'O')
('cancers', 'cancer', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('21.7', '21.7', 'CD', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('women,', 'women,', 'NN', 'B-NP', 'O')
('27.3', '27.3', 'CD', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('men', 'man', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('16.7', '16.7', 'CD', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('women,', 'women,', 'NN', 'B-NP', 'O')
('4.94', '4.94', 'CD', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('women,', 'women,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('7.88', '7.88', 'CD', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('men,', 'men,', 'NN', 'B-NP', 'O')
('out', 'out', 'IN', 'B-PP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('100,000', '100,000', 'CD', 'B-NP', 'O')
('person', 'person', 'NN', 'I-NP', 'O')
('year,', 'year,', 'NN', 'I-NP', 'O')
('respectively.', 'respectively.', 'NN', 'I-NP', 'O')
Compared with the incidences of western countries, those of ovarian cancer and prostate cancer are much lower in Korea, as most Asian countries.
('Compared', 'Compare', 'VBN', 'B-PP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('incidences', 'incidence', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('western', 'western', 'JJ', 'B-NP', 'O')
('countries,', 'countries,', 'NN', 'I-NP', 'O')
('those', 'those', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('ovarian', 'ovarian', 'JJ', 'B-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('prostate', 'prostate', 'NN', 'B-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('much', 'much', 'RB', 'B-ADJP', 'O')
('lower', 'low', 'JJR', 'I-ADJP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Korea,', 'Korea,', 'NNP', 'B-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('most', 'most', 'JJS', 'B-NP', 'O')
('Asian', 'Asian', 'JJ', 'I-NP', 'O')
('countries.', 'countries.', 'NNS', 'I-NP', 'O')
Breast and colorectal cancers also show lower incidences, but those are one of the most rapidly increasing cancers in Korea.
('Breast', 'Breast', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('colorectal', 'colorectal', 'JJ', 'B-NP', 'O')
('cancers', 'cancer', 'NNS', 'I-NP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('show', 'show', 'VBP', 'B-VP', 'O')
('lower', 'low', 'JJR', 'B-NP', 'O')
('incidences,', 'incidences,', 'NN', 'I-NP', 'O')
('but', 'but', 'CC', 'O', 'O')
('those', 'those', 'DT', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('one', 'one', 'CD', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'O', 'O')
('most', 'most', 'RBS', 'B-ADVP', 'O')
('rapidly', 'rapidly', 'RB', 'I-ADVP', 'O')
('increasing', 'increase', 'VBG', 'B-VP', 'O')
('cancers', 'cancer', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Korea.', 'Korea.', 'NNP', 'B-NP', 'O')
On the other hand, stomach cancers, the most common malignancy in Korea (65.7for men, 25.7 for women per 100,000 person years) does not show strong familial aggregation.
('On', 'On', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('other', 'other', 'JJ', 'I-NP', 'O')
('hand,', 'hand,', 'NN', 'I-NP', 'O')
('stomach', 'stomach', 'NN', 'I-NP', 'O')
('cancers,', 'cancers,', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('common', 'common', 'JJ', 'I-NP', 'O')
('malignancy', 'malignancy', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Korea', 'Korea', 'NNP', 'B-NP', 'O')
('(65.7for', '(65.7for', 'CC', 'O', 'O')
('men,', 'men,', 'VBD', 'B-VP', 'O')
('25.7', '25.7', 'CD', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('women', 'woman', 'NNS', 'B-NP', 'O')
('per', 'per', 'IN', 'B-PP', 'O')
('100,000', '100,000', 'CD', 'B-NP', 'O')
('person', 'person', 'NN', 'I-NP', 'O')
('years)', 'years)', 'NN', 'I-NP', 'O')
('does', 'do', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('show', 'show', 'VB', 'I-VP', 'O')
('strong', 'strong', 'JJ', 'B-NP', 'O')
('familial', 'familial', 'JJ', 'I-NP', 'O')
('aggregation.', 'aggregation.', 'NN', 'I-NP', 'O')
In the study, the author attempted to compare the parameters of genetic contribution among the common cancers in Korean population; breast, colorectal, and stomach cancers.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('study,', 'study,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('author', 'author', 'NN', 'I-NP', 'O')
('attempted', 'attempt', 'VBD', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('compare', 'compare', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('parameters', 'parameter', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('contribution', 'contribution', 'NN', 'I-NP', 'O')
('among', 'among', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('common', 'common', 'JJ', 'I-NP', 'O')
('cancers', 'cancer', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Korean', 'Korean', 'JJ', 'B-NP', 'O')
('population;', 'population;', 'NN', 'I-NP', 'O')
('breast,', 'breast,', 'NN', 'I-NP', 'O')
('colorectal,', 'colorectal,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('stomach', 'stomach', 'NN', 'I-NP', 'O')
('cancers.', 'cancers.', 'NNS', 'I-NP', 'O')
So far, there have been only a few reports about the overall genetic contribution to breast and colorectal cancers and most of them are reports in western populations (Fearon, 1997; Aarino, et al., 1999; Lichtenstein eta/., 2000).
('So', 'So', 'RB', 'B-PP', 'O')
('far,', 'far,', 'IN', 'I-PP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('only', 'only', 'RB', 'B-NP', 'O')
('a', 'a', 'DT', 'I-NP', 'O')
('few', 'few', 'JJ', 'I-NP', 'O')
('reports', 'report', 'NNS', 'I-NP', 'O')
('about', 'about', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('overall', 'overall', 'JJ', 'I-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('contribution', 'contribution', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('breast', 'breast', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('colorectal', 'colorectal', 'JJ', 'B-NP', 'O')
('cancers', 'cancer', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('most', 'most', 'JJS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('them', 'them', 'PRP', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('reports', 'report', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('western', 'western', 'JJ', 'B-NP', 'B-cell_type')
('populations', 'population', 'NNS', 'I-NP', 'I-cell_type')
('(Fearon,', '(Fearon,', 'NNP', 'B-NP', 'O')
('1997;', '1997;', 'CD', 'I-NP', 'O')
('Aarino,', 'Aarino,', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'NNP', 'I-NP', 'O')
('1999;', '1999;', ':', 'O', 'O')
('Lichtenstein', 'Lichtenstein', 'NNP', 'B-NP', 'O')
('eta/.,', 'eta/.,', 'NNP', 'I-NP', 'O')
('2000).', '2000).', '.', 'O', 'O')
The author and other collaborators have been organizing the Korean Twin Registry which has 154,783 pairs of twins, and 63,666 pairs of adult twins among them.
('The', 'The', 'DT', 'B-NP', 'O')
('author', 'author', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('collaborators', 'collaborator', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('organizing', 'organize', 'VBG', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Korean', 'Korean', 'NNP', 'I-NP', 'O')
('Twin', 'Twin', 'NNP', 'I-NP', 'O')
('Registry', 'Registry', 'NNP', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('154,783', '154,783', 'CD', 'B-NP', 'O')
('pairs', 'pair', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('twins,', 'twins,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('63,666', '63,666', 'CD', 'B-NP', 'O')
('pairs', 'pair', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('adult', 'adult', 'JJ', 'B-NP', 'O')
('twins', 'twin', 'NNS', 'I-NP', 'O')
('among', 'among', 'IN', 'B-PP', 'O')
('them.', 'them.', 'NN', 'B-NP', 'O')
And the registry is linked to the medical utilization, death certificate, and cancer registry data since 1992, resulting in more than 12 years of cancer occurrence follow-up (Sung etal., 2002).
('And', 'And', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('registry', 'registry', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('linked', 'link', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('medical', 'medical', 'JJ', 'I-NP', 'O')
('utilization,', 'utilization,', 'NN', 'I-NP', 'O')
('death', 'death', 'NN', 'I-NP', 'O')
('certificate,', 'certificate,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('cancer', 'cancer', 'NN', 'B-NP', 'O')
('registry', 'registry', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('since', 'since', 'IN', 'B-PP', 'O')
('1992,', '1992,', 'CD', 'B-NP', 'O')
('resulting', 'result', 'VBG', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('more', 'more', 'JJR', 'B-NP', 'O')
('than', 'than', 'IN', 'I-NP', 'O')
('12', '12', 'CD', 'I-NP', 'O')
('years', 'year', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cancer', 'cancer', 'NN', 'B-NP', 'O')
('occurrence', 'occurrence', 'NN', 'I-NP', 'O')
('follow-up', 'follow-up', 'NN', 'I-NP', 'O')
('(Sung', '(Sung', 'NNP', 'I-NP', 'O')
('etal.,', 'etal.,', 'NNP', 'I-NP', 'O')
('2002).', '2002).', '.', 'O', 'O')
The registry, with information on twins, and a range of disease outcomes allows to estimate population level genetic parameters.
('The', 'The', 'DT', 'B-NP', 'O')
('registry,', 'registry,', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('information', 'information', 'NN', 'B-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('twins,', 'twins,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('range', 'range', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('disease', 'disease', 'NN', 'B-NP', 'O')
('outcomes', 'outcome', 'NNS', 'I-NP', 'O')
('allows', 'allow', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('estimate', 'estimate', 'VB', 'I-VP', 'O')
('population', 'population', 'NN', 'B-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('parameters.', 'parameters.', 'NNS', 'I-NP', 'O')
For relatively common diseases, it was possible to demonstrate preliminary results (Sung etal., 2002).
('For', 'For', 'IN', 'B-PP', 'O')
('relatively', 'relatively', 'RB', 'B-NP', 'O')
('common', 'common', 'JJ', 'I-NP', 'O')
('diseases,', 'diseases,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('possible', 'possible', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('demonstrate', 'demonstrate', 'VB', 'I-VP', 'O')
('preliminary', 'preliminary', 'JJ', 'B-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('(Sung', '(Sung', 'IN', 'B-PP', 'O')
('etal.,', 'etal.,', 'NN', 'B-NP', 'O')
('2002).', '2002).', 'CD', 'I-NP', 'O')
In the study, with longer follow-up period, the author attempted to estimate more reliable genetic parameter from large twin registry which can represent general population.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('study,', 'study,', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('longer', 'long', 'JJR', 'B-NP', 'O')
('follow-up', 'follow-up', 'NN', 'I-NP', 'O')
('period,', 'period,', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('author', 'author', 'NN', 'I-NP', 'O')
('attempted', 'attempt', 'VBD', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('estimate', 'estimate', 'VB', 'I-VP', 'O')
('more', 'more', 'RBR', 'B-NP', 'O')
('reliable', 'reliable', 'JJ', 'I-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('parameter', 'parameter', 'NN', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('large', 'large', 'JJ', 'B-NP', 'O')
('twin', 'twin', 'JJ', 'I-NP', 'O')
('registry', 'registry', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('represent', 'represent', 'VB', 'I-VP', 'O')
('general', 'general', 'JJ', 'B-NP', 'O')
('population.', 'population.', 'NN', 'I-NP', 'O')
Total of 63,666 adult twin pairs more than 30 years of age, were analyzed.
('Total', 'Total', 'JJ', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('63,666', '63,666', 'CD', 'B-NP', 'O')
('adult', 'adult', 'JJ', 'I-NP', 'O')
('twin', 'twin', 'NN', 'I-NP', 'O')
('pairs', 'pair', 'NNS', 'I-NP', 'O')
('more', 'more', 'JJR', 'B-NP', 'O')
('than', 'than', 'IN', 'I-NP', 'O')
('30', '30', 'CD', 'I-NP', 'O')
('years', 'year', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('age,', 'age,', 'NN', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('analyzed.', 'analyzed.', 'VBN', 'I-VP', 'O')
The details of the Korean Twin Registry were described in previous report (Sung etal.,2002).
('The', 'The', 'DT', 'B-NP', 'O')
('details', 'detail', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Korean', 'Korean', 'NNP', 'I-NP', 'O')
('Twin', 'Twin', 'NNP', 'I-NP', 'O')
('Registry', 'Registry', 'NNP', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('described', 'describe', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('previous', 'previous', 'JJ', 'B-NP', 'O')
('report', 'report', 'NN', 'I-NP', 'O')
('(Sung', '(Sung', 'NNP', 'I-NP', 'O')
('etal.,', 'etal.,', 'NNP', 'I-NP', 'O')
('2002).', '2002).', '.', 'O', 'O')
In the register, disease outcomes are followed since 1990s.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('register,', 'register,', 'NN', 'I-NP', 'O')
('disease', 'disease', 'NN', 'I-NP', 'O')
('outcomes', 'outcome', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('followed', 'follow', 'VBN', 'I-VP', 'O')
('since', 'since', 'IN', 'B-PP', 'O')
('1990s.', '1990s.', 'CD', 'B-NP', 'O')
Cancer occurrence was identified from three data sources: national cancer registry, medical utilization of National Health Insurance, and cause of death report data.
('Cancer', 'Cancer', 'NN', 'B-NP', 'O')
('occurrence', 'occurrence', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('identified', 'identify', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('three', 'three', 'CD', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('sources:', 'sources:', 'JJ', 'I-NP', 'O')
('national', 'national', 'JJ', 'I-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('registry,', 'registry,', 'NN', 'I-NP', 'O')
('medical', 'medical', 'JJ', 'I-NP', 'O')
('utilization', 'utilization', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('National', 'National', 'NNP', 'B-NP', 'O')
('Health', 'Health', 'NNP', 'I-NP', 'O')
('Insurance,', 'Insurance,', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('cause', 'cause', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('death', 'death', 'NN', 'B-NP', 'O')
('report', 'report', 'NN', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
To estimate population level prevalence, which is an independent parameter for calculating familial recurrence risk, a normative cohort representing Korean population was used.
