PrimateDB: Development of Primate Genome DB and Web ServiceThe comparative analysis of the human and primate genomes including the chimpanzee can reveal unique types of information impossible to obtain from comparing the human genome with the genomes of other vertebrates.
('PrimateDB:', 'PrimateDB:', 'NNP', 'B-NP', 'O')
Human, chimpanzee, gorilla, and orangutan genome sequences were retrieved from the UCSC Genome Browser by using human RefSeq.
('Human,', 'Human,', 'JJ', 'B-NP', 'O')
('chimpanzee,', 'chimpanzee,', 'NN', 'I-NP', 'O')
('gorilla,', 'gorilla,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('orangutan', 'orangutan', 'JJ', 'B-NP', 'B-DNA')
('genome', 'genome', 'NN', 'I-NP', 'I-DNA')
('sequences', 'sequence', 'NNS', 'I-NP', 'I-DNA')
('were', 'be', 'VBD', 'B-VP', 'O')
('retrieved', 'retrieve', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('UCSC', 'UCSC', 'NNP', 'I-NP', 'B-DNA')
('Genome', 'Genome', 'NNP', 'I-NP', 'I-DNA')
('Browser', 'Browser', 'NNP', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('human', 'human', 'JJ', 'B-NP', 'O')
('RefSeq.', 'RefSeq.', 'NNP', 'I-NP', 'O')
The human andchimpanzee genome sequences were annotated by using both CENSOR (Version 4.X; http://www.girinst.org ) and RepeatMasker (Smit and Green, unpublished work; http://repeatmasker.genome.washingthon.edu ).
('The', 'The', 'DT', 'B-NP', 'O')
('human', 'human', 'JJ', 'I-NP', 'B-DNA')
('and', 'and', 'CC', 'I-NP', 'I-DNA')
('chimpanzee', 'chimpanzee', 'NN', 'I-NP', 'I-DNA')
('genome', 'genome', 'NN', 'I-NP', 'I-DNA')
('sequences', 'sequence', 'NNS', 'I-NP', 'I-DNA')
('were', 'be', 'VBD', 'B-VP', 'O')
('annotated', 'annotate', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('both', 'both', 'CC', 'O', 'O')
('CENSOR', 'CENSOR', 'NN', 'B-NP', 'O')
('(Version', '(Version', 'NN', 'I-NP', 'O')
('4.X;', '4.X;', 'NN', 'I-NP', 'O')
('http://www.girinst.org', 'http://www.girinst.org', 'NN', 'I-NP', 'O')
(')', ')', ')', 'O', 'O')
('and', 'and', 'CC', 'O', 'O')
('RepeatMasker', 'RepeatMasker', 'NNP', 'B-NP', 'O')
('(Smit', '(Smit', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Green,', 'Green,', 'NNP', 'I-NP', 'O')
('unpublished', 'unpublished', 'JJ', 'I-NP', 'O')
('work;', 'work;', 'NN', 'I-NP', 'O')
('http://repeatmasker.genome.washingthon.edu', 'http://repeatmasker.genome.washingthon.edu', 'NN', 'I-NP', 'O')
(').', ').', '.', 'O', 'O')
The resulting data were stored to MySQL database.
('The', 'The', 'DT', 'B-NP', 'O')
('resulting', 'result', 'VBG', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('stored', 'store', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('MySQL', 'MySQL', 'NN', 'B-NP', 'O')
('database.', 'database.', 'NN', 'I-NP', 'O')
Analysis of repeat elements was executed by dividing genome region into UTR, exon and intron, respectively.
('Analysis', 'Analysis', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('repeat', 'repeat', 'NN', 'B-NP', 'B-DNA')
('elements', 'element', 'NNS', 'I-NP', 'I-DNA')
('was', 'be', 'VBD', 'B-VP', 'O')
('executed', 'execute', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('dividing', 'divide', 'VBG', 'B-VP', 'O')
('genome', 'genome', 'NN', 'B-NP', 'O')
('region', 'region', 'NN', 'I-NP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('UTR,', 'UTR,', 'NN', 'B-NP', 'B-DNA')
('exon', 'exon', 'NN', 'I-NP', 'I-DNA')
('and', 'and', 'CC', 'O', 'O')
('intron,', 'intron,', 'NN', 'B-NP', 'O')
('respectively.', 'respectively.', 'NN', 'I-NP', 'O')
The outcome of queries can be sequence alignment, genomic locus inwhich retroelements are embedded and sequence of families and subfamilies, map image, and gene symbol information (Fig.
('The', 'The', 'DT', 'B-NP', 'O')
('outcome', 'outcome', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('queries', 'query', 'NNS', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('sequence', 'sequence', 'NN', 'B-NP', 'O')
('alignment,', 'alignment,', 'IN', 'B-PP', 'O')
('genomic', 'genomic', 'JJ', 'B-NP', 'O')
('locus', 'locus', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('retroelements', 'retroelement', 'NNS', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('embedded', 'embed', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'O', 'O')
('sequence', 'sequence', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('families', 'family', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('subfamilies,', 'subfamilies,', 'NN', 'B-NP', 'O')
('map', 'map', 'NN', 'I-NP', 'O')
('image,', 'image,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('symbol', 'symbol', 'NN', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('(Fig.', '(Fig.', 'NN', 'I-NP', 'O')
2).
('2).', '2).', 'LS', 'B-LST', 'O')
Image of retroelement was made by using GD library.
('Image', 'Image', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('retroelement', 'retroelement', 'NN', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('made', 'make', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('GD', 'GD', 'NN', 'B-NP', 'O')
('library.', 'library.', 'NN', 'I-NP', 'O')
The database provides links to a variety of related resources on the Internet.
('The', 'The', 'DT', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('links', 'link', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('variety', 'variety', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('related', 'related', 'JJ', 'B-NP', 'O')
('resources', 'resource', 'NNS', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Internet.', 'Internet.', 'NNP', 'I-NP', 'O')
Through these links the user can access related human and chimpanzee genome map information available in the UCSC Genome Browser and NCBI and they are used as a reference to the most recent genome map.
('Through', 'Through', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('links', 'link', 'NNS', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('user', 'user', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('access', 'access', 'VB', 'I-VP', 'O')
('related', 'relate', 'VBN', 'B-NP', 'O')
('human', 'human', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'I-NP', 'O')
('genome', 'genome', 'NN', 'I-NP', 'O')
('map', 'map', 'NN', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('available', 'available', 'JJ', 'B-ADJP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('UCSC', 'UCSC', 'NNP', 'I-NP', 'B-DNA')
('Genome', 'Genome', 'NNP', 'I-NP', 'I-DNA')
('Browser', 'Browser', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('NCBI', 'NCBI', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('they', 'they', 'PRP', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('reference', 'reference', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('recent', 'recent', 'JJ', 'I-NP', 'O')
('genome', 'genome', 'NN', 'I-NP', 'O')
('map.', 'map.', 'NN', 'I-NP', 'O')
The HTML interface for PrimteDB (Fig.
('The', 'The', 'DT', 'B-NP', 'O')
('HTML', 'HTML', 'NN', 'I-NP', 'O')
('interface', 'interface', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('PrimteDB', 'PrimteDB', 'NNP', 'B-NP', 'O')
('(Fig.', '(Fig.', 'NNP', 'I-NP', 'O')
3) is made by using PERL and PHP.
('3)', '3)', 'LS', 'B-LST', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('made', 'make', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('PERL', 'PERL', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'I-NP', 'O')
('PHP.', 'PHP.', 'NN', 'I-NP', 'O')
There are five web pages: The main page, contig search, retroelement search, reference, and analysis tools.
('There', 'There', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('five', 'five', 'CD', 'B-NP', 'O')
('web', 'web', 'JJ', 'I-NP', 'O')
('pages:', 'pages:', 'NN', 'I-NP', 'O')
('The', 'The', 'DT', 'B-NP', 'O')
('main', 'main', 'JJ', 'I-NP', 'O')
('page,', 'page,', 'NN', 'I-NP', 'O')
('contig', 'contig', 'NN', 'I-NP', 'O')
('search,', 'search,', 'NN', 'I-NP', 'O')
('retroelement', 'retroelement', 'NN', 'I-NP', 'O')
('search,', 'search,', 'NN', 'I-NP', 'O')
('reference,', 'reference,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('tools.', 'tools.', 'NNS', 'I-NP', 'O')
The PrimateDB web interface allows access of data through graphical or list browsing, searching by keywords, names or sequences of repeat family and class.
('The', 'The', 'DT', 'B-NP', 'O')
('PrimateDB', 'PrimateDB', 'NN', 'I-NP', 'O')
('web', 'web', 'NN', 'I-NP', 'O')
('interface', 'interface', 'NN', 'I-NP', 'O')
('allows', 'allow', 'VBZ', 'B-VP', 'O')
('access', 'access', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('through', 'through', 'IN', 'B-PP', 'O')
('graphical', 'graphical', 'JJ', 'B-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('list', 'list', 'NN', 'I-NP', 'O')
('browsing,', 'browsing,', 'NN', 'I-NP', 'O')
('searching', 'search', 'VBG', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('keywords,', 'keywords,', 'NN', 'B-NP', 'O')
('names', 'name', 'NNS', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('sequences', 'sequence', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('repeat', 'repeat', 'NN', 'B-NP', 'O')
('family', 'family', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('class.', 'class.', 'NN', 'B-NP', 'O')
The schematic physical map presents the extent and locations of genes and retroelements in the area defined by the user query.
('The', 'The', 'DT', 'B-NP', 'O')
('schematic', 'schematic', 'JJ', 'I-NP', 'O')
('physical', 'physical', 'JJ', 'I-NP', 'O')
('map', 'map', 'NN', 'I-NP', 'O')
('presents', 'present', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('extent', 'extent', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('locations', 'location', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('retroelements', 'retroelement', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('area', 'area', 'NN', 'I-NP', 'O')
('defined', 'define', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('user', 'user', 'NN', 'I-NP', 'O')
('query.', 'query.', 'NN', 'I-NP', 'O')
Alignment of the nucleotide sequences queried by user can be retrieved.
('Alignment', 'Alignment', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('nucleotide', 'nucleotide', 'NN', 'I-NP', 'B-DNA')
('sequences', 'sequence', 'NNS', 'I-NP', 'I-DNA')
('queried', 'query', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('user', 'user', 'NN', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('retrieved.', 'retrieved.', 'VBN', 'I-VP', 'O')
Analytic pipeline for comparative approach of primate genome information mainly from the NCBI Trace archive of chimpanzee genome was designed and constructed.
('Analytic', 'Analytic', 'JJ', 'B-NP', 'O')
('pipeline', 'pipeline', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('comparative', 'comparative', 'JJ', 'B-NP', 'O')
('approach', 'approach', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('primate', 'primate', 'JJ', 'B-NP', 'O')
('genome', 'genome', 'NN', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('mainly', 'mainly', 'RB', 'B-ADVP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('NCBI', 'NCBI', 'NNP', 'I-NP', 'O')
('Trace', 'Trace', 'NNP', 'I-NP', 'O')
('archive', 'archive', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'B-NP', 'B-DNA')
('genome', 'genome', 'NN', 'I-NP', 'I-DNA')
('was', 'be', 'VBD', 'B-VP', 'O')
('designed', 'design', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'O', 'O')
('constructed.', 'constructed.', 'VBN', 'B-VP', 'O')
Through the analysis system other primate genomes were included and analyzed.
('Through', 'Through', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('system', 'system', 'NN', 'I-NP', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('primate', 'primate', 'JJ', 'I-NP', 'B-DNA')
('genomes', 'genome', 'NNS', 'I-NP', 'I-DNA')
('were', 'be', 'VBD', 'B-VP', 'O')
('included', 'include', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'O', 'O')
('analyzed.', 'analyzed.', 'VBN', 'B-VP', 'O')
As human genome as a reference chimpanzee genome was also compared for the comparative analysis of retroelement from which functional repeat can be analyzed.
('As', 'As', 'IN', 'B-SBAR', 'O')
('human', 'human', 'JJ', 'B-NP', 'B-DNA')
('genome', 'genome', 'NN', 'I-NP', 'I-DNA')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('reference', 'reference', 'NN', 'I-NP', 'B-DNA')
('chimpanzee', 'chimpanzee', 'NN', 'I-NP', 'I-DNA')
('genome', 'genome', 'NN', 'I-NP', 'I-DNA')
('was', 'be', 'VBD', 'B-VP', 'O')
('also', 'also', 'RB', 'I-VP', 'O')
('compared', 'compare', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('comparative', 'comparative', 'JJ', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('retroelement', 'retroelement', 'NN', 'B-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('functional', 'functional', 'JJ', 'B-NP', 'O')
('repeat', 'repeat', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('analyzed.', 'analyzed.', 'VBN', 'I-VP', 'O')
Based upon the present databases evolutionary analysis of genome of primates including retroelements to understand human uniqueness should be stimulated.
('Based', 'Base', 'VBN', 'B-VP', 'O')
('upon', 'upon', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('present', 'present', 'JJ', 'I-NP', 'O')
('databases', 'database', 'NNS', 'I-NP', 'O')
('evolutionary', 'evolutionary', 'JJ', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genome', 'genome', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('primates', 'primate', 'NNS', 'B-NP', 'O')
('including', 'include', 'VBG', 'B-PP', 'O')
('retroelements', 'retroelement', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('understand', 'understand', 'VB', 'I-VP', 'O')
('human', 'human', 'JJ', 'B-NP', 'O')
('uniqueness', 'uniqueness', 'NN', 'I-NP', 'O')
('should', 'should', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('stimulated.', 'stimulated.', 'VBN', 'I-VP', 'O')
