Supervised Model for Identifying Differentially Expressed Genes in DNA Microarray Gene Expression Dataset Using Biological Pathway InformationMicroarray technology makes it possible to measure the expressions of tens of thousands of genes simultaneously under various experimental conditions.
('Supervised', 'Supervised', 'NNP', 'B-NP', 'O')
Pathway information can be regarded as a collection of biological knowledge, thus we are trying to determine the optimal threshold so that the consequential connectivity structure can be the most compatible with the existing pathway information.
('Pathway', 'Pathway', 'NN', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('regarded', 'regard', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('collection', 'collection', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('biological', 'biological', 'JJ', 'B-NP', 'O')
('knowledge,', 'knowledge,', 'NN', 'I-NP', 'O')
('thus', 'thus', 'RB', 'O', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('trying', 'try', 'VBG', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('determine', 'determine', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('optimal', 'optimal', 'JJ', 'I-NP', 'O')
('threshold', 'threshold', 'NN', 'I-NP', 'O')
('so', 'so', 'IN', 'B-SBAR', 'O')
('that', 'that', 'IN', 'I-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('consequential', 'consequential', 'JJ', 'I-NP', 'O')
('connectivity', 'connectivity', 'NN', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('compatible', 'compatible', 'JJ', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('existing', 'exist', 'VBG', 'I-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('information.', 'information.', 'NN', 'I-NP', 'O')
Most of previous models that shared with our goal used only intrinsic information in the miroarray expression data.
('Most', 'Most', 'JJS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('previous', 'previous', 'JJ', 'B-NP', 'O')
('models', 'model', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('shared', 'share', 'VBD', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('goal', 'goal', 'NN', 'I-NP', 'O')
('used', 'use', 'VBD', 'B-VP', 'O')
('only', 'only', 'RB', 'B-NP', 'O')
('intrinsic', 'intrinsic', 'JJ', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('miroarray', 'miroarray', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
The significant feature of our model is that it uses established knowledge as a reference to determine the direction of analyzingmicroarray dataset.
('The', 'The', 'DT', 'B-NP', 'O')
('significant', 'significant', 'JJ', 'I-NP', 'O')
('feature', 'feature', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('uses', 'use', 'VBZ', 'B-VP', 'O')
('established', 'established', 'JJ', 'B-NP', 'O')
('knowledge', 'knowledge', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('reference', 'reference', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('determine', 'determine', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('direction', 'direction', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('analyzing', 'analyze', 'VBG', 'B-VP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('dataset.', 'dataset.', 'NN', 'I-NP', 'O')
We hope that our proposed method could contribute to construct biologically meaningful structure from microarray data sets.
('We', 'We', 'PRP', 'B-NP', 'O')
('hope', 'hope', 'VBP', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('proposed', 'propose', 'VBN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('could', 'could', 'MD', 'B-VP', 'O')
('contribute', 'contribute', 'VB', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('construct', 'construct', 'VB', 'I-VP', 'O')
('biologically', 'biologically', 'RB', 'B-NP', 'O')
('meaningful', 'meaningful', 'JJ', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('sets.', 'sets.', 'NN', 'I-NP', 'O')
In order to compare structures of two heterogeneous types of data, microarray expression data and biological pathway data, we introduce the common templatestructure, a graph, which involves the interactive information of genes from two sources of data.
('In', 'In', 'IN', 'B-SBAR', 'O')
('order', 'order', 'NN', 'O', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('compare', 'compare', 'VB', 'I-VP', 'O')
('structures', 'structure', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('heterogeneous', 'heterogeneous', 'JJ', 'I-NP', 'O')
('types', 'type', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('data,', 'data,', 'NN', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('biological', 'biological', 'JJ', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('data,', 'data,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('introduce', 'introduce', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('common', 'common', 'JJ', 'I-NP', 'O')
('template', 'template', 'NN', 'I-NP', 'O')
('structure,', 'structure,', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('graph,', 'graph,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('involves', 'involve', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('interactive', 'interactive', 'JJ', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('sources', 'source', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('data.', 'data.', 'NN', 'B-NP', 'O')
We use the Rosetta compendium dataset (Hugh et al., 2000), which is hitherto the most systematic approach to profile yeast genes, as a source of microarray expression data to analysis.
('We', 'We', 'PRP', 'B-NP', 'O')
('use', 'use', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Rosetta', 'Rosetta', 'NNP', 'I-NP', 'O')
('compendium', 'compendium', 'NN', 'I-NP', 'O')
('dataset', 'dataset', 'NN', 'I-NP', 'O')
('(Hugh', '(Hugh', 'NNP', 'I-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2000),', '2000),', 'CD', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('hitherto', 'hitherto', 'RB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('systematic', 'systematic', 'JJ', 'I-NP', 'O')
('approach', 'approach', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('profile', 'profile', 'VB', 'I-VP', 'O')
('yeast', 'yeast', 'NN', 'B-NP', 'O')
('genes,', 'genes,', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('source', 'source', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('analysis.', 'analysis.', 'VB', 'I-VP', 'O')
The dataset is consisted of 300 microarray experiment results, which contain 287 diverse gene mutations and 13 chemical treatments.
('The', 'The', 'DT', 'B-NP', 'O')
('dataset', 'dataset', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('consisted', 'consist', 'VBN', 'I-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('300', '300', 'CD', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('experiment', 'experiment', 'NN', 'I-NP', 'O')
('results,', 'results,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('contain', 'contain', 'VBP', 'B-VP', 'O')
('287', '287', 'CD', 'B-NP', 'O')
('diverse', 'diverse', 'JJ', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('mutations', 'mutation', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('13', '13', 'CD', 'B-NP', 'O')
('chemical', 'chemical', 'NN', 'I-NP', 'O')
('treatments.', 'treatments.', 'NN', 'I-NP', 'O')
They all cover 6,153 genes in each microarray data.
('They', 'They', 'PRP', 'B-NP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('cover', 'cover', 'VBP', 'B-VP', 'O')
('6,153', '6,153', 'CD', 'B-NP', 'B-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('in', 'in', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
The log-expression ratio values are used as entries of expression matrix, and these values are normalized so that mean and standard deviation of each column are 0 and 1, respectively.
('The', 'The', 'DT', 'B-NP', 'O')
('log-expression', 'log-expression', 'NN', 'I-NP', 'O')
('ratio', 'ratio', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('entries', 'entry', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('expression', 'expression', 'NN', 'B-NP', 'O')
('matrix,', 'matrix,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('normalized', 'normalize', 'VBN', 'I-VP', 'O')
('so', 'so', 'IN', 'B-SBAR', 'O')
('that', 'that', 'IN', 'I-SBAR', 'O')
('mean', 'mean', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('standard', 'standard', 'JJ', 'I-NP', 'O')
('deviation', 'deviation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('column', 'column', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('0', '0', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('1,', '1,', 'CD', 'I-NP', 'O')
('respectively.', 'respectively.', 'NN', 'I-NP', 'O')
In each experiment, we are trying to identify differentially expressed genes (or DEGs), which are usually determined by genes whose expression levels (or its suitable statistics) exceed some threshold.
('In', 'In', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('experiment,', 'experiment,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('trying', 'try', 'VBG', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('identify', 'identify', 'VB', 'I-VP', 'O')
('differentially', 'differentially', 'RB', 'B-NP', 'B-DNA')
('expressed', 'express', 'VBN', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('(or', '(or', 'VBP', 'B-VP', 'O')
('DEGs),', 'DEGs),', 'NN', 'B-NP', 'B-protein')
('which', 'which', 'WDT', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('usually', 'usually', 'RB', 'I-VP', 'O')
('determined', 'determine', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('whose', 'whose', 'WP$', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('levels', 'level', 'NNS', 'I-NP', 'O')
('(or', '(or', 'VBP', 'B-VP', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('suitable', 'suitable', 'JJ', 'I-NP', 'O')
('statistics)', 'statistics)', 'NN', 'I-NP', 'O')
('exceed', 'exceed', 'VBP', 'B-VP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('threshold.', 'threshold.', 'NN', 'I-NP', 'O')
We here note that once DEGs are determined, the graph structure on the whole genes is naturally introduced by linking co-differentially expressed genes.
('We', 'We', 'PRP', 'B-NP', 'O')
('here', 'here', 'RB', 'B-ADVP', 'O')
('note', 'note', 'VBP', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('once', 'once', 'RB', 'B-ADVP', 'O')
('DEGs', 'DEG', 'NNS', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('determined,', 'determined,', 'VBG', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('graph', 'graph', 'NN', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('whole', 'whole', 'JJ', 'I-NP', 'B-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('is', 'be', 'VBZ', 'B-VP', 'O')
('naturally', 'naturally', 'RB', 'I-VP', 'O')
('introduced', 'introduce', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('linking', 'link', 'VBG', 'B-VP', 'O')
('co-differentially', 'co-differentially', 'RB', 'B-NP', 'O')
('expressed', 'express', 'VBN', 'I-NP', 'O')
('genes.', 'genes.', 'NNS', 'I-NP', 'O')
Here by co-differently expressed genes we mean that they are DEGs under the same experimental condition.
('Here', 'Here', 'RB', 'B-ADVP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('co-differently', 'co-differently', 'RB', 'B-NP', 'B-DNA')
('expressed', 'express', 'VBN', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('we', 'we', 'PRP', 'B-NP', 'O')
('mean', 'mean', 'VBP', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('they', 'they', 'PRP', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('DEGs', 'DEG', 'NNS', 'B-NP', 'O')
('under', 'under', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('same', 'same', 'JJ', 'I-NP', 'O')
('experimental', 'experimental', 'JJ', 'I-NP', 'O')
('condition.', 'condition.', 'NN', 'I-NP', 'O')
In thispaper, we find optimal thresholds in the sense that the resulting secondary graph structure is most similar to the graph constructed from pathway knowledge.
('In', 'In', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('paper,', 'paper,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('find', 'find', 'VBP', 'B-VP', 'O')
('optimal', 'optimal', 'JJ', 'B-NP', 'O')
('thresholds', 'threshold', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('sense', 'sense', 'NN', 'I-NP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('resulting', 'result', 'VBG', 'I-NP', 'O')
('secondary', 'secondary', 'JJ', 'I-NP', 'O')
('graph', 'graph', 'NN', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('most', 'most', 'RBS', 'B-ADJP', 'O')
('similar', 'similar', 'JJ', 'I-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('graph', 'graph', 'NN', 'I-NP', 'O')
('constructed', 'construct', 'VBN', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('pathway', 'pathway', 'NN', 'B-NP', 'O')
('knowledge.', 'knowledge.', 'NN', 'I-NP', 'O')
KEGG (Kyoto Encyclopedia of genes and genomes) database (Kanehisa, 1996) is taken as the source of pathway knowledge.
('KEGG', 'KEGG', 'NNP', 'B-NP', 'O')
('(Kyoto', '(Kyoto', 'NNP', 'I-NP', 'O')
('Encyclopedia', 'Encyclopedia', 'NNP', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('genomes)', 'genomes)', 'NN', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('(Kanehisa,', '(Kanehisa,', 'NN', 'I-NP', 'O')
('1996)', '1996)', 'CD', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('taken', 'take', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('source', 'source', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('pathway', 'pathway', 'NN', 'B-NP', 'O')
('knowledge.', 'knowledge.', 'NN', 'I-NP', 'O')
Note that it provides 88 biological pathways including 84 metabolic pathways and 4 regulatory pathways.
('Note', 'Note', 'VB', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('88', '88', 'CD', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('pathways', 'pathway', 'NNS', 'I-NP', 'O')
('including', 'include', 'VBG', 'B-PP', 'O')
('84', '84', 'CD', 'B-NP', 'O')
('metabolic', 'metabolic', 'JJ', 'I-NP', 'O')
('pathways', 'pathway', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('4', '4', 'CD', 'B-NP', 'O')
('regulatory', 'regulatory', 'JJ', 'I-NP', 'O')
('pathways.', 'pathways.', 'NNS', 'I-NP', 'O')
Among these 88 pathways, we select 43 pathways that include 12 or more genes to avoid the perturbation caused by scarcity of basis knowledge.
('Among', 'Among', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('88', '88', 'CD', 'I-NP', 'O')
('pathways,', 'pathways,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('select', 'select', 'VBP', 'B-VP', 'O')
('43', '43', 'CD', 'B-NP', 'O')
('pathways', 'pathway', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('include', 'include', 'VBP', 'B-VP', 'O')
('12', '12', 'CD', 'B-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('more', 'more', 'JJR', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('avoid', 'avoid', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('perturbation', 'perturbation', 'NN', 'I-NP', 'O')
('caused', 'cause', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('scarcity', 'scarcity', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('basis', 'basis', 'NN', 'B-NP', 'O')
('knowledge.', 'knowledge.', 'NN', 'I-NP', 'O')
KEGG database presents a pathway with participating genes and relations between them.
('KEGG', 'KEGG', 'NN', 'B-NP', 'B-protein')
('database', 'database', 'NN', 'I-NP', 'I-protein')
('presents', 'present', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('participating', 'participate', 'VBG', 'B-VP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('relations', 'relation', 'NNS', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('them.', 'them.', 'NN', 'B-NP', 'O')
In constructing 43 pathway graphs from the information, we make a node for each gene and link a pair of nodes when they are assigned one of the relations listed above.
('In', 'In', 'IN', 'B-PP', 'O')
('constructing', 'construct', 'VBG', 'B-VP', 'O')
('43', '43', 'CD', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('graphs', 'graph', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('information,', 'information,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('make', 'make', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('node', 'node', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('link', 'link', 'VB', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('pair', 'pair', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('nodes', 'node', 'NNS', 'B-NP', 'O')
('when', 'when', 'WRB', 'B-ADVP', 'O')
('they', 'they', 'PRP', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('assigned', 'assign', 'VBN', 'I-VP', 'O')
('one', 'one', 'CD', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('relations', 'relation', 'NNS', 'I-NP', 'O')
('listed', 'list', 'VBN', 'B-VP', 'O')
('above.', 'above.', 'RB', 'B-ADVP', 'O')
Merging these 43 pathways graphs, we build the single pathway graph of 570 genes as nodes, which will be used as a template to determine DEGs.
('Merging', 'Merge', 'VBG', 'B-VP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('43', '43', 'CD', 'I-NP', 'O')
('pathways', 'pathway', 'NNS', 'I-NP', 'O')
('graphs,', 'graphs,', ',', 'O', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('build', 'build', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('single', 'single', 'JJ', 'I-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('graph', 'graph', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('570', '570', 'CD', 'B-NP', 'B-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('as', 'as', 'IN', 'B-PP', 'O')
('nodes,', 'nodes,', 'NN', 'B-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('template', 'template', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('determine', 'determine', 'VB', 'I-VP', 'O')
('DEGs.', 'DEGs.', 'NN', 'B-NP', 'O')
Here we introduce the notion of compatibility between two graphs, in the general context of graph theory.
('Here', 'Here', 'RB', 'B-ADVP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('introduce', 'introduce', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('notion', 'notion', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('compatibility', 'compatibility', 'NN', 'B-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('graphs,', 'graphs,', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('general', 'general', 'JJ', 'I-NP', 'O')
('context', 'context', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('graph', 'graph', 'NN', 'B-NP', 'O')
('theory.', 'theory.', '.', 'O', 'O')
The geodesic distance d(g,h: G) between two nodes g and h is defined by the length of shortest path between two nodes in the graph G. This distance represents the global structure of graph.
('The', 'The', 'DT', 'B-NP', 'O')
('geodesic', 'geodesic', 'JJ', 'I-NP', 'O')
('distance', 'distance', 'NN', 'I-NP', 'O')
('d(g,h:', 'd(g,h:', 'NN', 'I-NP', 'O')
('G)', 'G)', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('nodes', 'node', 'NNS', 'I-NP', 'O')
('g', 'g', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('h', 'h', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('defined', 'define', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('length', 'length', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('shortest', 'shortest', 'NN', 'B-NP', 'O')
('path', 'path', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('nodes', 'node', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('graph', 'graph', 'NN', 'I-NP', 'O')
('G.', 'G.', 'NNP', 'I-NP', 'O')
('This', 'This', 'DT', 'B-NP', 'O')
('distance', 'distance', 'NN', 'I-NP', 'O')
('represents', 'represent', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('global', 'global', 'JJ', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('graph.', 'graph.', 'NN', 'B-NP', 'O')
