Nomogram for Predicting Survival for Oral Squamous Cell Carcinoma.
('Nomogram', 'Nomogram', 'NN', 'B-NP', 'O')
('embedding', 'embed', 'VBG', 'B-VP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('nomogram.', 'nomogram.', 'NN', 'I-NP', 'O')
The created nomogram was evaluated by cindex.
('The', 'The', 'DT', 'B-NP', 'O')
('created', 'create', 'VBN', 'I-NP', 'O')
('nomogram', 'nomogram', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('evaluated', 'evaluate', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('cindex.', 'cindex.', 'NN', 'B-NP', 'O')
Nomogram is a graphical representation of a statistical model and provides the probability of a particular clinical outcome, such as death or recurrence (Kattan et al., 1998).
('Nomogram', 'Nomogram', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('graphical', 'graphical', 'JJ', 'I-NP', 'O')
('representation', 'representation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('statistical', 'statistical', 'JJ', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('probability', 'probability', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('particular', 'particular', 'JJ', 'I-NP', 'O')
('clinical', 'clinical', 'JJ', 'I-NP', 'O')
('outcome,', 'outcome,', 'NN', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('death', 'death', 'NN', 'B-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('recurrence', 'recurrence', 'NN', 'I-NP', 'O')
('(Kattan', '(Kattan', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('1998).', '1998).', 'CD', 'B-NP', 'O')
It has been constructed for predicting survival in prostate cancer (Kattan et al., 1999; Stephenson et al., 2005a), vulvar cancer (Rouzier et al., 2006), osteosarcoma (Kim et al., 2009), renal cancer (Karakiewicz et al., 2007), breast cancer (Rouzier et al., 2005), and advanced NonSmallCell Lung cancer (Hoang et al., 2005).
('It', 'It', 'PRP', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('constructed', 'construct', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('predicting', 'predict', 'VBG', 'B-VP', 'O')
('survival', 'survival', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('prostate', 'prostate', 'NN', 'B-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('(Kattan', '(Kattan', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'NNP', 'I-NP', 'O')
('1999;', '1999;', ':', 'O', 'O')
('Stephenson', 'Stephenson', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'NN', 'I-NP', 'O')
('2005a),', '2005a),', 'VBD', 'B-VP', 'O')
('vulvar', 'vulvar', 'JJ', 'B-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('(Rouzier', '(Rouzier', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'NN', 'I-NP', 'O')
('2006),', '2006),', 'VBD', 'B-VP', 'O')
('osteosarcoma', 'osteosarcoma', 'NN', 'B-NP', 'B-protein')
('(Kim', '(Kim', 'NNP', 'I-NP', 'I-protein')
('et', 'et', 'NNP', 'I-NP', 'I-protein')
('al.,', 'al.,', 'NN', 'I-NP', 'I-protein')
('2009),', '2009),', 'VBD', 'B-VP', 'I-protein')
('renal', 'renal', 'JJ', 'B-NP', 'I-protein')
('cancer', 'cancer', 'NN', 'I-NP', 'I-protein')
('(Karakiewicz', '(Karakiewicz', 'NNP', 'I-NP', 'I-protein')
('et', 'et', 'NNP', 'I-NP', 'I-protein')
('al.,', 'al.,', 'NN', 'I-NP', 'I-protein')
('2007),', '2007),', 'VBD', 'B-VP', 'I-protein')
('breast', 'breast', 'NN', 'B-NP', 'I-protein')
('cancer', 'cancer', 'NN', 'I-NP', 'I-protein')
('(Rouzier', '(Rouzier', 'NNP', 'I-NP', 'I-protein')
('et', 'et', 'NNP', 'I-NP', 'I-protein')
('al.,', 'al.,', 'NN', 'I-NP', 'I-protein')
('2005),', '2005),', 'VBD', 'B-VP', 'O')
('and', 'and', 'CC', 'O', 'O')
('advanced', 'advance', 'VBD', 'B-VP', 'O')
('NonSmallCell', 'NonSmallCell', 'NNP', 'B-NP', 'O')
('Lung', 'Lung', 'NNP', 'I-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('(Hoang', '(Hoang', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2005).', '2005).', 'CD', 'B-NP', 'O')
Furthermore, nomograms have been shown to be superior to the traditional staging systems in predicting the features of various cancers (Hoang et al., 2005; Karakiewicz et al., 2007; Kattan et al., 1999; Kim et al., 2009; Rouzier et al., 2006; Rouzier et al., 2005; Stephenson et al., 2005a).
('Furthermore,', 'Furthermore,', 'NN', 'B-NP', 'O')
('nomograms', 'nomogram', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('shown', 'show', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('superior', 'superior', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('traditional', 'traditional', 'JJ', 'I-NP', 'O')
('staging', 'stag', 'VBG', 'I-NP', 'O')
('systems', 'system', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('predicting', 'predict', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('features', 'feature', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('various', 'various', 'JJ', 'B-NP', 'O')
('cancers', 'cancer', 'NNS', 'I-NP', 'O')
('(Hoang', '(Hoang', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2005;', '2005;', ':', 'O', 'O')
('Karakiewicz', 'Karakiewicz', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2007;', '2007;', ':', 'O', 'O')
('Kattan', 'Kattan', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'NNP', 'I-NP', 'O')
('1999;', '1999;', ':', 'O', 'O')
('Kim', 'Kim', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2009;', '2009;', ':', 'O', 'O')
('Rouzier', 'Rouzier', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2006;', '2006;', ':', 'O', 'O')
('Rouzier', 'Rouzier', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2005;', '2005;', ':', 'O', 'O')
('Stephenson', 'Stephenson', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2005a).', '2005a).', 'CD', 'B-NP', 'O')
We retrospectively investigated 96 patients (71 men and 25 women) with primary OSCC who underwent surgical ablation between January 1994 and June 2003 at the Yonsei Dental Hospital in Seoul, Korea.
('We', 'We', 'PRP', 'B-NP', 'O')
('retrospectively', 'retrospectively', 'RB', 'B-ADVP', 'O')
('investigated', 'investigate', 'VBD', 'B-VP', 'O')
('96', '96', 'CD', 'B-NP', 'O')
('patients', 'patient', 'NNS', 'I-NP', 'O')
('(71', '(71', 'CD', 'B-NP', 'O')
('men', 'man', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('25', '25', 'CD', 'B-NP', 'O')
('women)', 'women)', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('primary', 'primary', 'JJ', 'B-NP', 'O')
('OSCC', 'OSCC', 'NN', 'I-NP', 'O')
('who', 'who', 'WP', 'B-NP', 'O')
('underwent', 'undergo', 'VBD', 'B-VP', 'O')
('surgical', 'surgical', 'JJ', 'B-NP', 'O')
('ablation', 'ablation', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('January', 'January', 'NNP', 'B-NP', 'O')
('1994', '1994', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('June', 'June', 'NNP', 'B-NP', 'O')
('2003', '2003', 'CD', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Yonsei', 'Yonsei', 'NNP', 'I-NP', 'O')
('Dental', 'Dental', 'NNP', 'I-NP', 'O')
('Hospital', 'Hospital', 'NNP', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Seoul,', 'Seoul,', 'NNP', 'B-NP', 'O')
('Korea.', 'Korea.', 'NNP', 'I-NP', 'O')
The tumor location was the tongue in 26 cases, gingiva in 56 cases, and other sites in 14 cases, which included the buccal cheek, floor of mouth and lower lip.
('The', 'The', 'DT', 'B-NP', 'O')
('tumor', 'tumor', 'NN', 'I-NP', 'O')
('location', 'location', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('tongue', 'tongue', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('26', '26', 'CD', 'B-NP', 'O')
('cases,', 'cases,', 'NN', 'I-NP', 'O')
('gingiva', 'gingiva', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('56', '56', 'CD', 'B-NP', 'O')
('cases,', 'cases,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('sites', 'site', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('14', '14', 'CD', 'B-NP', 'O')
('cases,', 'cases,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('included', 'include', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('buccal', 'buccal', 'JJ', 'I-NP', 'O')
('cheek,', 'cheek,', 'NN', 'I-NP', 'O')
('floor', 'floor', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('mouth', 'mouth', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('lower', 'low', 'JJR', 'B-NP', 'O')
('lip.', 'lip.', 'NN', 'I-NP', 'O')
The pathological stage was divided into two groups, early and advanced.
('The', 'The', 'DT', 'B-NP', 'O')
('pathological', 'pathological', 'JJ', 'I-NP', 'O')
('stage', 'stage', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('divided', 'divide', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('groups,', 'groups,', 'NN', 'I-NP', 'O')
('early', 'early', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('advanced.', 'advanced.', 'JJ', 'I-NP', 'O')
The I and II stages were grouped into the early group, and the III and IV stages were grouped into the advanced group.
('The', 'The', 'DT', 'B-NP', 'O')
('I', 'I', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('II', 'II', 'CD', 'I-NP', 'O')
('stages', 'stage', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('grouped', 'group', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('early', 'early', 'JJ', 'I-NP', 'O')
('group,', 'group,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('III', 'III', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('IV', 'IV', 'CD', 'I-NP', 'O')
('stages', 'stage', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('grouped', 'group', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('advanced', 'advance', 'VBN', 'I-NP', 'O')
('group.', 'group.', 'NN', 'I-NP', 'O')
The pathologic (pTMN) classification and staging were classified according to the 6th edition of AJCC (American Joint Committee on Cancer).
('The', 'The', 'DT', 'B-NP', 'O')
('pathologic', 'pathologic', 'JJ', 'I-NP', 'O')
('(pTMN)', '(pTMN)', 'NN', 'I-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('staging', 'staging', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('classified', 'classify', 'VBN', 'I-VP', 'O')
('according', 'accord', 'VBG', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('6th', '6th', 'JJ', 'I-NP', 'O')
('edition', 'edition', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('AJCC', 'AJCC', 'NNP', 'B-NP', 'O')
('(American', '(American', 'NNP', 'I-NP', 'O')
('Joint', 'Joint', 'NNP', 'I-NP', 'O')
('Committee', 'Committee', 'NNP', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('Cancer).', 'Cancer).', 'NNP', 'B-NP', 'O')
Immunohistochemical staining for p53 was performed using an EnVision-HRP detection system (Dako, Carpinteria, CA, USA).
('Immunohistochemical', 'Immunohistochemical', 'JJ', 'B-NP', 'O')
('staining', 'staining', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('p53', 'p53', 'NN', 'B-NP', 'B-protein')
('was', 'be', 'VBD', 'B-VP', 'O')
('performed', 'perform', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'I-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('EnVision-HRP', 'EnVision-HRP', 'NN', 'I-NP', 'O')
('detection', 'detection', 'NN', 'I-NP', 'O')
('system', 'system', 'NN', 'I-NP', 'O')
('(Dako,', '(Dako,', 'NNP', 'I-NP', 'O')
('Carpinteria,', 'Carpinteria,', 'NNP', 'I-NP', 'O')
('CA,', 'CA,', 'NNP', 'I-NP', 'O')
('USA).', 'USA).', 'NNP', 'I-NP', 'O')
The primary antibody was the p53 monoclonal antibody, which specifically stained p53 (Dako).
('The', 'The', 'DT', 'B-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'B-protein')
('antibody', 'antibody', 'NN', 'I-NP', 'I-protein')
('was', 'be', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('p53', 'p53', 'NN', 'I-NP', 'B-protein')
('monoclonal', 'monoclonal', 'JJ', 'I-NP', 'I-protein')
('antibody,', 'antibody,', 'NN', 'I-NP', 'I-protein')
('which', 'which', 'WDT', 'B-NP', 'O')
('specifically', 'specifically', 'RB', 'B-ADVP', 'O')
('stained', 'stain', 'VBD', 'B-VP', 'O')
('p53', 'p53', 'NN', 'B-NP', 'B-protein')
('(Dako).', '(Dako).', 'NNP', 'B-NP', 'O')
Sections (3μm thick) were cut from tumor tissue blocks mounted on slides and sections were dried for 1-2 hours at 56oC.
('Sections', 'Section', 'NNS', 'B-NP', 'O')
('(3μm', '(3μm', 'NN', 'I-NP', 'O')
('thick)', 'thick)', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('cut', 'cut', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('tumor', 'tumor', 'NN', 'B-NP', 'O')
('tissue', 'tissue', 'NN', 'I-NP', 'O')
('blocks', 'block', 'VBZ', 'B-VP', 'O')
('mounted', 'mount', 'VBN', 'I-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('slides', 'slide', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('sections', 'section', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('dried', 'dry', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('1-2', '1-2', 'CD', 'B-NP', 'O')
('hours', 'hour', 'NNS', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('56oC.', '56oC.', 'NN', 'B-NP', 'O')
Briefly, sections were deparaffinized in xylene and were rehydrated in graded alcohol.
('Briefly,', 'Briefly,', 'NNP', 'B-NP', 'O')
('sections', 'section', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('deparaffinized', 'deparaffinize', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('xylene', 'xylene', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('rehydrated', 'rehydrate', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('graded', 'grade', 'VBN', 'B-NP', 'O')
('alcohol.', 'alcohol.', 'NN', 'I-NP', 'O')
After antigen retrieval by the addition of citrate buffer (pH, 6.0) with the use of an autoclave at full power for 4 min, tissue sections were treated with 3% hydrogen peroxide for 10 min to block endogenous peroxidase.
('After', 'After', 'IN', 'B-PP', 'O')
('antigen', 'antigen', 'NN', 'B-NP', 'O')
('retrieval', 'retrieval', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('addition', 'addition', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('citrate', 'citrate', 'NN', 'B-NP', 'O')
('buffer', 'buffer', 'NN', 'I-NP', 'O')
('(pH,', '(pH,', 'NNP', 'B-NP', 'O')
('6.0)', '6.0)', 'CD', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('use', 'use', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('autoclave', 'autoclave', 'NN', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('full', 'full', 'JJ', 'B-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('4', '4', 'CD', 'B-NP', 'O')
('min,', 'min,', 'NN', 'I-NP', 'O')
('tissue', 'tissue', 'NN', 'I-NP', 'O')
('sections', 'section', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('treated', 'treat', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('3%', '3%', 'NN', 'B-NP', 'O')
('hydrogen', 'hydrogen', 'NN', 'I-NP', 'O')
('peroxide', 'peroxide', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('10', '10', 'CD', 'B-NP', 'O')
('min', 'min', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('block', 'block', 'VB', 'I-VP', 'O')
('endogenous', 'endogenous', 'JJ', 'B-NP', 'O')
('peroxidase.', 'peroxidase.', 'NN', 'I-NP', 'O')
Sections were incubated with p53 (1:50) in a humid chamber overnight at 4oC.
('Sections', 'Section', 'NNS', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('incubated', 'incubate', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('p53', 'p53', 'NN', 'B-NP', 'B-protein')
('(1:50)', '(1:50)', 'NN', 'I-NP', 'I-protein')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('humid', 'humid', 'JJ', 'I-NP', 'O')
('chamber', 'chamber', 'NN', 'I-NP', 'O')
('overnight', 'overnight', 'NN', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('4oC.', '4oC.', 'NNP', 'B-NP', 'O')
Slides were then incubated with Envision reagent followed by incubation with Diaminobenzidine (DAB) chromogen, slides were counterstained with Mayer’s hematoxylin, and then mounted.
('Slides', 'Slide', 'NNS', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('then', 'then', 'RB', 'I-VP', 'O')
('incubated', 'incubate', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('Envision', 'Envision', 'NN', 'B-NP', 'O')
('reagent', 'reagent', 'NN', 'I-NP', 'O')
('followed', 'follow', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('incubation', 'incubation', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('Diaminobenzidine', 'Diaminobenzidine', 'NN', 'B-NP', 'O')
('(DAB)', '(DAB)', 'NN', 'I-NP', 'O')
('chromogen,', 'chromogen,', 'NN', 'I-NP', 'O')
('slides', 'slide', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('counterstained', 'counterstaine', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('Mayer’s', 'Mayer’', 'NNS', 'B-NP', 'O')
('hematoxylin,', 'hematoxylin,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('then', 'then', 'RB', 'B-VP', 'O')
('mounted.', 'mounted.', 'VB', 'I-VP', 'O')
All of the stained sections were imaged by a light microscope.
('All', 'All', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('stained', 'stain', 'VBN', 'I-NP', 'O')
('sections', 'section', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('imaged', 'image', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('light', 'light', 'NN', 'I-NP', 'O')
('microscope.', 'microscope.', 'NN', 'I-NP', 'O')
Immunohistochemical staining was evaluated by an investigator who did not know the clinicopathological characteristics or the clinical outcome of the patients.
('Immunohistochemical', 'Immunohistochemical', 'JJ', 'B-NP', 'O')
('staining', 'staining', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('evaluated', 'evaluate', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('investigator', 'investigator', 'NN', 'I-NP', 'O')
('who', 'who', 'WP', 'B-NP', 'O')
('did', 'do', 'VBD', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('know', 'know', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('clinicopathological', 'clinicopathological', 'JJ', 'I-NP', 'O')
('characteristics', 'characteristic', 'NNS', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('clinical', 'clinical', 'JJ', 'I-NP', 'O')
('outcome', 'outcome', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('patients.', 'patients.', 'NN', 'I-NP', 'O')
Specimens were considered positive for staining when the tumor cells had dark brown nuclei, and specimens were considered negative for staining when the tumor cells had only blue nuclei.
('Specimens', 'Specimen', 'NNS', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('considered', 'consider', 'VBN', 'I-VP', 'O')
('positive', 'positive', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('staining', 'stain', 'VBG', 'B-VP', 'O')
('when', 'when', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('tumor', 'tumor', 'NN', 'I-NP', 'B-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('had', 'have', 'VBD', 'B-VP', 'O')
('dark', 'dark', 'JJ', 'B-NP', 'O')
('brown', 'brown', 'JJ', 'I-NP', 'O')
('nuclei,', 'nuclei,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('specimens', 'specimen', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('considered', 'consider', 'VBN', 'I-VP', 'O')
('negative', 'negative', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('staining', 'stain', 'VBG', 'B-VP', 'O')
('when', 'when', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('tumor', 'tumor', 'NN', 'I-NP', 'B-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('had', 'have', 'VBD', 'B-VP', 'O')
('only', 'only', 'RB', 'B-NP', 'O')
('blue', 'blue', 'JJ', 'I-NP', 'O')
('nuclei.', 'nuclei.', 'NN', 'I-NP', 'O')
The percentage of stained tumor cells was graded using a four-point scale (0, ＋1, ＋2, ＋3, ＋4) as follows: 0, none of the tumor cells were stained; ＋1, ≤25% of the tumor cells were stained; ＋2, 25% to ≤50% of the tumor cells were stained; ＋3, 50% to ≤75% of the tumor cells were stained; ＋4, ＞75% of tumor cells were stained.
('The', 'The', 'DT', 'B-NP', 'O')
('percentage', 'percentage', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('stained', 'stain', 'VBN', 'B-NP', 'B-cell_type')
('tumor', 'tumor', 'NN', 'I-NP', 'I-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('was', 'be', 'VBD', 'B-VP', 'O')
('graded', 'grade', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('four-point', 'four-point', 'JJ', 'I-NP', 'O')
('scale', 'scale', 'NN', 'I-NP', 'O')
('(0,', '(0,', 'NN', 'I-NP', 'O')
('＋1,', '＋1,', 'NN', 'I-NP', 'O')
('＋2,', '＋2,', 'NN', 'I-NP', 'O')
('＋3,', '＋3,', 'NN', 'I-NP', 'O')
('＋4)', '＋4)', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('follows:', 'follows:', 'NN', 'B-NP', 'O')
('0,', '0,', 'CD', 'I-NP', 'O')
('none', 'none', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
