Gene Expression Analysis for Statin-induced Cytotoxicity from Rat Primary Hepatocytes.
('Gene', 'Gene', 'NN', 'B-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2005).', '2005).', 'CD', 'B-NP', 'O')
According to adverse effect reports, it seemed that all of these hepatic adverse effects do not have any significant increase with statin therapy (Abu, et al., 2005).
('According', 'Accord', 'VBG', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('adverse', 'adverse', 'JJ', 'B-NP', 'O')
('effect', 'effect', 'NN', 'I-NP', 'O')
('reports,', 'reports,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('seemed', 'seem', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('hepatic', 'hepatic', 'JJ', 'I-NP', 'O')
('adverse', 'adverse', 'JJ', 'I-NP', 'O')
('effects', 'effect', 'NNS', 'I-NP', 'O')
('do', 'do', 'VBP', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('have', 'have', 'VB', 'I-VP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('significant', 'significant', 'JJ', 'I-NP', 'O')
('increase', 'increase', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('statin', 'statin', 'NN', 'B-NP', 'O')
('therapy', 'therapy', 'NN', 'I-NP', 'O')
('(Abu,', '(Abu,', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2005).', '2005).', 'CD', 'B-NP', 'O')
However, as the use of lipid lowering treatment including statins was extended to a larger number of highrisk patients, the potential of statininduced liver toxicity became a major concern for the safety profile of statins.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('use', 'use', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('lipid', 'lipid', 'NN', 'B-NP', 'O')
('lowering', 'lower', 'VBG', 'B-VP', 'O')
('treatment', 'treatment', 'NN', 'B-NP', 'O')
('including', 'include', 'VBG', 'B-PP', 'O')
('statins', 'statin', 'NNS', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('extended', 'extend', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('larger', 'large', 'JJR', 'I-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('highrisk', 'highrisk', 'NN', 'B-NP', 'O')
('patients,', 'patients,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('potential', 'potential', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('statininduced', 'statininduce', 'VBN', 'B-NP', 'O')
('liver', 'liver', 'NN', 'I-NP', 'O')
('toxicity', 'toxicity', 'NN', 'I-NP', 'O')
('became', 'become', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('major', 'major', 'JJ', 'I-NP', 'O')
('concern', 'concern', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('safety', 'safety', 'NN', 'I-NP', 'O')
('profile', 'profile', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('statins.', 'statins.', 'NN', 'B-NP', 'O')
Moreover, a largescale clinical study encouraged the use of statins in a wide range of patients at varying levels of risk for cardiovascular events and independently of baseline cholesterol levels (Heart Protection Study, 2002, Wilmshurst et al., 2002).
('Moreover,', 'Moreover,', 'JJR', 'B-NP', 'O')
('a', 'a', 'DT', 'I-NP', 'O')
('largescale', 'largescale', 'JJ', 'I-NP', 'O')
('clinical', 'clinical', 'JJ', 'I-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('encouraged', 'encourage', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('use', 'use', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('statins', 'statin', 'NNS', 'B-NP', 'B-protein')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('wide', 'wide', 'JJ', 'I-NP', 'O')
('range', 'range', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('patients', 'patient', 'NNS', 'B-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('varying', 'vary', 'VBG', 'B-NP', 'O')
('levels', 'level', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('risk', 'risk', 'NN', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('cardiovascular', 'cardiovascular', 'JJ', 'B-NP', 'O')
('events', 'event', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('independently', 'independently', 'RB', 'B-ADVP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('baseline', 'baseline', 'NN', 'B-NP', 'O')
('cholesterol', 'cholesterol', 'NN', 'I-NP', 'O')
('levels', 'level', 'NNS', 'I-NP', 'O')
('(Heart', '(Heart', 'NNP', 'B-NP', 'O')
('Protection', 'Protection', 'NNP', 'I-NP', 'O')
('Study,', 'Study,', 'NNP', 'I-NP', 'O')
('2002,', '2002,', 'VBD', 'B-VP', 'O')
('Wilmshurst', 'Wilmshurst', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2002).', '2002).', 'CD', 'B-NP', 'O')
Taken together, it seemed that the most concerning issue for statin safety resides its potential to cause acute liver failure during wide use of cholesterol lowering therapy.
('Taken', 'Take', 'VBN', 'B-NP', 'O')
('together,', 'together,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('seemed', 'seem', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('concerning', 'concerning', 'JJ', 'I-NP', 'O')
('issue', 'issue', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('statin', 'statin', 'NN', 'B-NP', 'O')
('safety', 'safety', 'NN', 'I-NP', 'O')
('resides', 'reside', 'VBZ', 'B-VP', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('potential', 'potential', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('cause', 'cause', 'VB', 'I-VP', 'O')
('acute', 'acute', 'JJ', 'B-NP', 'O')
('liver', 'liver', 'NN', 'I-NP', 'O')
('failure', 'failure', 'NN', 'I-NP', 'O')
('during', 'during', 'IN', 'B-PP', 'O')
('wide', 'wide', 'JJ', 'B-NP', 'O')
('use', 'use', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cholesterol', 'cholesterol', 'NN', 'B-NP', 'O')
('lowering', 'lowering', 'NN', 'I-NP', 'O')
('therapy.', 'therapy.', 'RB', 'B-ADVP', 'O')
To address this concern, it would be helpful to understand underlying mechanism of statinin  duced toxicity using a commonly used system.
('To', 'To', 'TO', 'B-VP', 'O')
('address', 'address', 'VB', 'I-VP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('concern,', 'concern,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('would', 'would', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('helpful', 'helpful', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('understand', 'understand', 'VB', 'I-VP', 'O')
('underlying', 'underlie', 'VBG', 'I-VP', 'O')
('mechanism', 'mechanism', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('statinin', 'statinin', 'NN', 'B-NP', 'B-protein')
('duced', 'duce', 'VBD', 'B-VP', 'O')
('toxicity', 'toxicity', 'NN', 'B-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('commonly', 'commonly', 'RB', 'I-NP', 'O')
('used', 'use', 'VBN', 'I-NP', 'O')
('system.', 'system.', 'NN', 'I-NP', 'O')
In the presented work, rat primary hepatocytes were used as a model system to assess statin-induced toxicity by combining microarray technique.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('presented', 'present', 'VBN', 'I-NP', 'B-cell_type')
('work,', 'work,', 'NN', 'I-NP', 'I-cell_type')
('rat', 'rat', 'NN', 'I-NP', 'I-cell_type')
('primary', 'primary', 'JJ', 'I-NP', 'I-cell_type')
('hepatocytes', 'hepatocyte', 'NNS', 'I-NP', 'I-cell_type')
('were', 'be', 'VBD', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('system', 'system', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('assess', 'assess', 'VB', 'I-VP', 'O')
('statin-induced', 'statin-induced', 'JJ', 'B-NP', 'O')
('toxicity', 'toxicity', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('combining', 'combine', 'VBG', 'B-VP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('technique.', 'technique.', 'NN', 'I-NP', 'O')
This effort will provide deeper knowledge of the mechanisms responsible for the toxic effects of statins along with putative indicator genes for statin -induced toxicity in rat primary hepatocytes.
('This', 'This', 'DT', 'B-NP', 'O')
('effort', 'effort', 'NN', 'I-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('provide', 'provide', 'VB', 'I-VP', 'O')
('deeper', 'deep', 'JJR', 'B-NP', 'O')
('knowledge', 'knowledge', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('mechanisms', 'mechanism', 'NNS', 'I-NP', 'O')
('responsible', 'responsible', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('toxic', 'toxic', 'JJ', 'I-NP', 'O')
('effects', 'effect', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('statins', 'statin', 'NNS', 'B-NP', 'O')
('along', 'along', 'IN', 'B-PP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('putative', 'putative', 'JJ', 'B-NP', 'B-DNA')
('indicator', 'indicator', 'NN', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('for', 'for', 'IN', 'B-PP', 'O')
('statin', 'statin', 'NN', 'B-NP', 'O')
('-induced', '-induced', 'JJ', 'I-NP', 'O')
('toxicity', 'toxicity', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('rat', 'rat', 'NN', 'B-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'O')
('hepatocytes.', 'hepatocytes.', 'NN', 'I-NP', 'O')
Rat primary hepatocytes were isolated using a modified method described in elsewhere (Klaunig, et al. )
('Rat', 'Rat', 'NN', 'B-NP', 'B-cell_type')
('primary', 'primary', 'JJ', 'I-NP', 'I-cell_type')
('hepatocytes', 'hepatocyte', 'NNS', 'I-NP', 'I-cell_type')
('were', 'be', 'VBD', 'B-VP', 'O')
('isolated', 'isolate', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('modified', 'modify', 'VBN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('described', 'describe', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('elsewhere', 'elsewhere', 'RB', 'B-NP', 'O')
('(Klaunig,', '(Klaunig,', 'NNP', 'I-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.', 'al.', 'FW', 'I-NP', 'O')
(')', ')', ')', 'O', 'O')
and by Percoll centrifugation.
('and', 'and', 'CC', 'O', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('Percoll', 'Percoll', 'NN', 'B-NP', 'O')
('centrifugation.', 'centrifugation.', 'NN', 'I-NP', 'O')
All media and reagents were purchased from Gibco (NY, USA) unless mentioned differently.
('All', 'All', 'DT', 'B-NP', 'O')
('media', 'medium', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('reagents', 'reagent', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('purchased', 'purchase', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('Gibco', 'Gibco', 'NNP', 'B-NP', 'O')
('(NY,', '(NY,', 'NNP', 'I-NP', 'O')
('USA)', 'USA)', 'NNP', 'I-NP', 'O')
('unless', 'unless', 'IN', 'B-SBAR', 'O')
('mentioned', 'mention', 'VBN', 'B-NP', 'O')
('differently.', 'differently.', 'NN', 'I-NP', 'O')
In brief, liver was perfused via portal vein first with Ca2＋/Mg2＋ free Hank’s balanced salt solution (HBSS-) containing 0.5 mM EGTA and 10 mM HEPES for 2∼3 min and then with HBSS with Ca2＋/Mg2＋ containing 10 mM HEPES and 0.5 mg/ml collagenase (Wako) for 6∼7 min at a flow rate of 20 ml/min.
('In', 'In', 'IN', 'B-PP', 'O')
('brief,', 'brief,', 'NN', 'B-NP', 'O')
('liver', 'liver', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('perfused', 'perfuse', 'VBN', 'I-VP', 'O')
('via', 'via', 'IN', 'B-PP', 'O')
('portal', 'portal', 'JJ', 'B-NP', 'O')
('vein', 'vein', 'NN', 'I-NP', 'O')
('first', 'first', 'RB', 'B-ADVP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('Ca2＋/Mg2＋', 'Ca2＋/Mg2＋', 'NN', 'B-NP', 'B-protein')
('free', 'free', 'JJ', 'I-NP', 'I-protein')
('Hank’s', 'Hank’', 'NNS', 'I-NP', 'I-protein')
('balanced', 'balance', 'VBD', 'B-VP', 'O')
('salt', 'salt', 'NN', 'B-NP', 'O')
('solution', 'solution', 'NN', 'I-NP', 'O')
('(HBSS-)', '(HBSS-)', 'NN', 'I-NP', 'O')
('containing', 'contain', 'VBG', 'B-VP', 'O')
('0.5', '0.5', 'CD', 'B-NP', 'O')
('mM', 'mM', 'NN', 'I-NP', 'O')
('EGTA', 'EGTA', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('10', '10', 'CD', 'B-NP', 'O')
('mM', 'mM', 'NN', 'I-NP', 'O')
('HEPES', 'HEPES', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('2∼3', '2∼3', 'CD', 'B-NP', 'O')
('min', 'min', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('then', 'then', 'RB', 'B-ADVP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('HBSS', 'HBSS', 'NN', 'B-NP', 'B-protein')
('with', 'with', 'IN', 'B-PP', 'O')
('Ca2＋/Mg2＋', 'Ca2＋/Mg2＋', 'NN', 'B-NP', 'O')
('containing', 'contain', 'VBG', 'B-VP', 'O')
('10', '10', 'CD', 'B-NP', 'O')
('mM', 'mM', 'NN', 'I-NP', 'O')
('HEPES', 'HEPES', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('0.5', '0.5', 'CD', 'B-NP', 'O')
('mg/ml', 'mg/ml', 'NN', 'I-NP', 'O')
('collagenase', 'collagenase', 'NN', 'I-NP', 'O')
('(Wako)', '(Wako)', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('6∼7', '6∼7', 'CD', 'B-NP', 'O')
('min', 'min', 'NN', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('flow', 'flow', 'NN', 'I-NP', 'O')
('rate', 'rate', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('20', '20', 'CD', 'B-NP', 'O')
('ml/min.', 'ml/min.', 'NN', 'I-NP', 'O')
Perfused livers were isolated, decapsulated and dispersed in ice-cold HBSS-.
('Perfused', 'Perfuse', 'VBN', 'B-NP', 'O')
('livers', 'liver', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('isolated,', 'isolated,', 'NN', 'I-VP', 'O')
('decapsulated', 'decapsulate', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('dispersed', 'disperse', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('ice-cold', 'ice-cold', 'JJ', 'B-NP', 'O')
('HBSS-.', 'HBSS-.', 'NN', 'I-NP', 'O')
Dispersed cells were filtered with 100μm meshes, rinsed and suspended in icecold 50% (v/v) Percoll (Amersham, NJ, USA) and centrifuged at 50 g for 10 min at 4oC.
('Dispersed', 'Disperse', 'VBN', 'B-NP', 'B-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('were', 'be', 'VBD', 'B-VP', 'O')
('filtered', 'filter', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('100μm', '100μm', 'NN', 'B-NP', 'O')
('meshes,', 'meshes,', 'NN', 'I-NP', 'O')
('rinsed', 'rinse', 'VBN', 'B-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('suspended', 'suspend', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('icecold', 'icecold', 'NN', 'B-NP', 'B-protein')
('50%', '50%', 'CD', 'I-NP', 'I-protein')
('(v/v)', '(v/v)', 'LS', 'O', 'O')
('Percoll', 'Percoll', 'NNP', 'B-NP', 'O')
('(Amersham,', '(Amersham,', 'NNP', 'I-NP', 'O')
('NJ,', 'NJ,', 'NNP', 'I-NP', 'O')
('USA)', 'USA)', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('centrifuged', 'centrifuge', 'VBN', 'B-VP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('50', '50', 'CD', 'B-NP', 'O')
('g', 'g', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('10', '10', 'CD', 'B-NP', 'O')
('min', 'min', 'NN', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('4oC.', '4oC.', 'NN', 'B-NP', 'O')
Hepatocytes were rinsed and suspended in Williams’ E culture media supplemented with 10% (v/v) FCS, 2 mM L-glutamate, 100 U/ml penicillin, 100μg/ml streptomycin and 10 mM HEPES.
('Hepatocytes', 'Hepatocyte', 'NNS', 'B-NP', 'B-cell_type')
('were', 'be', 'VBD', 'B-VP', 'O')
('rinsed', 'rinse', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'O', 'O')
('suspended', 'suspend', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Williams’', 'Williams’', 'NNP', 'B-NP', 'O')
('E', 'E', 'NNP', 'I-NP', 'O')
('culture', 'culture', 'NN', 'I-NP', 'O')
('media', 'medium', 'NNS', 'I-NP', 'O')
('supplemented', 'supplement', 'VBN', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('10%', '10%', 'CD', 'B-NP', 'O')
('(v/v)', '(v/v)', 'LS', 'I-NP', 'O')
('FCS,', 'FCS,', 'NN', 'I-NP', 'B-protein')
('2', '2', 'CD', 'I-NP', 'I-protein')
('mM', 'mM', 'NN', 'I-NP', 'O')
('L-glutamate,', 'L-glutamate,', 'NN', 'I-NP', 'O')
('100', '100', 'CD', 'I-NP', 'O')
('U/ml', 'U/ml', 'NN', 'I-NP', 'O')
('penicillin,', 'penicillin,', 'NN', 'I-NP', 'O')
('100μg/ml', '100μg/ml', 'NN', 'I-NP', 'O')
('streptomycin', 'streptomycin', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('10', '10', 'CD', 'B-NP', 'O')
('mM', 'mM', 'NN', 'I-NP', 'O')
('HEPES.', 'HEPES.', 'NN', 'I-NP', 'O')
Cell cultures showing more than 80% viability, based on trypan blue exclusion, were used for further experiment.
('Cell', 'Cell', 'NN', 'B-NP', 'B-cell_line')
('cultures', 'culture', 'NNS', 'I-NP', 'I-cell_line')
('showing', 'show', 'VBG', 'B-VP', 'O')
('more', 'more', 'JJR', 'B-NP', 'O')
('than', 'than', 'IN', 'I-NP', 'O')
('80%', '80%', 'CD', 'I-NP', 'O')
('viability,', 'viability,', 'NN', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('trypan', 'trypan', 'NN', 'B-NP', 'O')
('blue', 'blue', 'JJ', 'I-NP', 'O')
('exclusion,', 'exclusion,', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('further', 'further', 'JJ', 'B-NP', 'O')
('experiment.', 'experiment.', 'NNS', 'I-NP', 'O')
All cultures were maintained at 37oC in a watersaturated 5% CO2 incubator and culture media were changed every day.
('All', 'All', 'DT', 'B-NP', 'O')
('cultures', 'culture', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('maintained', 'maintain', 'VBN', 'I-VP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('37oC', '37oC', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('watersaturated', 'watersaturated', 'JJ', 'I-NP', 'O')
('5%', '5%', 'NN', 'I-NP', 'O')
('CO2', 'CO2', 'NN', 'I-NP', 'O')
('incubator', 'incubator', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('culture', 'culture', 'NN', 'I-NP', 'O')
('media', 'medium', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('changed', 'change', 'VBN', 'I-VP', 'O')
('every', 'every', 'DT', 'B-NP', 'O')
('day.', 'day.', 'NN', 'I-NP', 'O')
Resazurin assay was performed to estimate cell toxicity of each drug using rat primary hepatocytes.
('Resazurin', 'Resazurin', 'NN', 'B-NP', 'O')
('assay', 'assay', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('performed', 'perform', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('estimate', 'estimate', 'VB', 'I-VP', 'O')
('cell', 'cell', 'NN', 'B-NP', 'O')
('toxicity', 'toxicity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('drug', 'drug', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('rat', 'rat', 'NN', 'B-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'O')
('hepatocytes.', 'hepatocytes.', 'NN', 'I-NP', 'O')
Drugs were first dissolved in DMSO (Sigma), diluted to the desired concentration with water and administrated to cells for 24 hours.
('Drugs', 'Drug', 'NNS', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('first', 'first', 'RB', 'I-VP', 'O')
('dissolved', 'dissolve', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('DMSO', 'DMSO', 'NN', 'B-NP', 'O')
('(Sigma),', '(Sigma),', 'NN', 'I-NP', 'O')
('diluted', 'dilute', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('desired', 'desire', 'VBN', 'I-NP', 'O')
('concentration', 'concentration', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('water', 'water', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('administrated', 'administrate', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('cells', 'cell', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('24', '24', 'CD', 'B-NP', 'O')
('hours.', 'hours.', 'NNS', 'I-NP', 'O')
Then 20μL of CellTiter-Blue (Promega) were added and the treated cells were cultivated in CO2 incubator (NuAire, US/NU-4350G) for 4 hours.
('Then', 'Then', 'RB', 'B-NP', 'O')
('20μL', '20μL', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('CellTiter-Blue', 'CellTiter-Blue', 'JJ', 'B-NP', 'O')
('(Promega)', '(Promega)', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('added', 'add', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('treated', 'treat', 'VBN', 'I-NP', 'B-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('were', 'be', 'VBD', 'B-VP', 'O')
('cultivated', 'cultivate', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('CO2', 'CO2', 'NN', 'B-NP', 'O')
('incubator', 'incubator', 'NN', 'I-NP', 'O')
('(NuAire,', '(NuAire,', 'NN', 'I-NP', 'O')
('US/NU-4350G)', 'US/NU-4350G)', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('4', '4', 'CD', 'B-NP', 'O')
('hours.', 'hours.', 'NN', 'I-NP', 'O')
The level of toxicity was observed by optical density using microplate reader (SpectraMax plus/384, Molecular Devices, USA) at wavelength of 570 nm.
('The', 'The', 'DT', 'B-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('toxicity', 'toxicity', 'NN', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('observed', 'observe', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('optical', 'optical', 'JJ', 'B-NP', 'O')
('density', 'density', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('microplate', 'microplate', 'NN', 'B-NP', 'O')
('reader', 'reader', 'NN', 'I-NP', 'O')
('(SpectraMax', '(SpectraMax', 'NN', 'I-NP', 'O')
('plus/384,', 'plus/384,', 'NN', 'I-NP', 'O')
('Molecular', 'Molecular', 'NNP', 'I-NP', 'O')
('Devices,', 'Devices,', 'NNP', 'I-NP', 'O')
('USA)', 'USA)', 'NNP', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('wavelength', 'wavelength', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('570', '570', 'CD', 'B-NP', 'O')
('nm.', 'nm.', 'NN', 'I-NP', 'O')
The analytic grade statins were purchased from Sequoia Research Product (Pangbourne, UK).
('The', 'The', 'DT', 'B-NP', 'O')
('analytic', 'analytic', 'JJ', 'I-NP', 'O')
('grade', 'grade', 'NN', 'I-NP', 'O')
('statins', 'statin', 'NNS', 'I-NP', 'O')
