ORF Miner: a Web-based ORF Search Tool.
('ORF', 'ORF', 'NN', 'B-NP', 'B-DNA')
('CDS', 'CDS', 'NN', 'I-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('actual', 'actual', 'JJ', 'I-NP', 'O')
('region', 'region', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('DNA', 'DNA', 'NN', 'B-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('translated', 'translate', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('form', 'form', 'VB', 'I-VP', 'O')
('proteins.', 'proteins.', 'NN', 'B-NP', 'O')
In Eukaryotes, while the ORF may contain introns as well, the CDS refers to contiguous coding sequence or concatenated exons that can be divided into codons.
('In', 'In', 'IN', 'B-PP', 'O')
('Eukaryotes,', 'Eukaryotes,', 'NNP', 'B-NP', 'O')
('while', 'while', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('ORF', 'ORF', 'NN', 'I-NP', 'B-DNA')
('may', 'may', 'MD', 'B-VP', 'O')
('contain', 'contain', 'VB', 'I-VP', 'O')
('introns', 'intron', 'NNS', 'B-NP', 'B-DNA')
('as', 'as', 'IN', 'B-PP', 'O')
('well,', 'well,', 'NN', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('CDS', 'CDS', 'NN', 'I-NP', 'B-protein')
('refers', 'refer', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('contiguous', 'contiguous', 'JJ', 'B-NP', 'O')
('coding', 'cod', 'VBG', 'I-NP', 'O')
('sequence', 'sequence', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('concatenated', 'concatenate', 'VBN', 'B-NP', 'O')
('exons', 'exon', 'NNS', 'I-NP', 'B-DNA')
('that', 'that', 'WDT', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('divided', 'divide', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('codons.', 'codons.', 'NN', 'B-NP', 'O')
In Prokaryotes, the ORF and the CDS can be considered the same entity.
('In', 'In', 'IN', 'B-PP', 'O')
('Prokaryotes,', 'Prokaryotes,', 'NNP', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('ORF', 'ORF', 'NN', 'I-NP', 'B-DNA')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('CDS', 'CDS', 'NN', 'I-NP', 'B-protein')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('considered', 'consider', 'VBN', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('same', 'same', 'JJ', 'I-NP', 'O')
('entity.', 'entity.', 'NN', 'I-NP', 'O')
As mentioned above, the ORF can be a good indication of the presence of a CDS or a gene and the determination of ORFs is the first step toward the gene prediction, especially for prokaryotes.
('As', 'As', 'IN', 'B-SBAR', 'O')
('mentioned', 'mention', 'VBN', 'B-VP', 'O')
('above,', 'above,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('ORF', 'ORF', 'NN', 'I-NP', 'B-DNA')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('good', 'good', 'JJ', 'I-NP', 'O')
('indication', 'indication', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('presence', 'presence', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('CDS', 'CDS', 'NN', 'I-NP', 'B-protein')
('or', 'or', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('determination', 'determination', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('ORFs', 'ORF', 'NNS', 'B-NP', 'B-DNA')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('first', 'first', 'JJ', 'I-NP', 'O')
('step', 'step', 'NN', 'I-NP', 'O')
('toward', 'toward', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('prediction,', 'prediction,', 'VBD', 'B-VP', 'O')
('especially', 'especially', 'RB', 'B-ADVP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('prokaryotes.', 'prokaryotes.', 'NN', 'B-NP', 'O')
Furthermore, ample ORFs of specific organisms are required to build a general probabilistic model of the gene structural and compositional properties of genomic DNA sequences of the corresponding organisms, which is introduced and applied to the problem of identifying genes in unannotated genomic sequences.
('Furthermore,', 'Furthermore,', 'IN', 'B-PP', 'O')
('ample', 'ample', 'JJ', 'B-NP', 'O')
('ORFs', 'ORF', 'NNS', 'I-NP', 'B-DNA')
('of', 'of', 'IN', 'B-PP', 'O')
('specific', 'specific', 'JJ', 'B-NP', 'O')
('organisms', 'organism', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('required', 'require', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('build', 'build', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('general', 'general', 'JJ', 'I-NP', 'O')
('probabilistic', 'probabilistic', 'JJ', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('structural', 'structural', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('compositional', 'compositional', 'JJ', 'I-NP', 'O')
('properties', 'property', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genomic', 'genomic', 'JJ', 'B-NP', 'B-DNA')
('DNA', 'DNA', 'NN', 'I-NP', 'I-DNA')
('sequences', 'sequence', 'NNS', 'I-NP', 'I-DNA')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('corresponding', 'correspond', 'VBG', 'I-NP', 'O')
('organisms,', 'organisms,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('introduced', 'introduce', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('applied', 'apply', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('problem', 'problem', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('identifying', 'identify', 'VBG', 'B-VP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('unannotated', 'unannotated', 'JJ', 'B-NP', 'O')
('genomic', 'genomic', 'JJ', 'I-NP', 'O')
('sequences.', 'sequences.', 'NNS', 'I-NP', 'O')
In terms of sequence annotation, it may be reasonable that all possible ORFs should be provided regardless of high specificity and the curator should decide on which ORFs are actually coding regions.
('In', 'In', 'IN', 'B-PP', 'O')
('terms', 'term', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('sequence', 'sequence', 'NN', 'B-NP', 'O')
('annotation,', 'annotation,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('reasonable', 'reasonable', 'JJ', 'B-ADJP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('possible', 'possible', 'JJ', 'I-NP', 'O')
('ORFs', 'ORF', 'NNS', 'I-NP', 'B-DNA')
('should', 'should', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('provided', 'provide', 'VBN', 'I-VP', 'O')
('regardless', 'regardless', 'RB', 'B-ADVP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('high', 'high', 'JJ', 'B-NP', 'O')
('specificity', 'specificity', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('curator', 'curator', 'NN', 'I-NP', 'O')
('should', 'should', 'MD', 'B-VP', 'O')
('decide', 'decide', 'VB', 'I-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('ORFs', 'ORF', 'NNS', 'B-NP', 'B-DNA')
('are', 'be', 'VBP', 'B-VP', 'O')
('actually', 'actually', 'RB', 'I-VP', 'O')
('coding', 'cod', 'VBG', 'I-VP', 'O')
('regions.', 'regions.', 'NNS', 'B-NP', 'O')
In these respects, we have developed a webbased ORF search tool, the ORF Miner, which fo  cuses on identifying literal ORF based on genetic codes.
('In', 'In', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('respects,', 'respects,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('developed', 'develop', 'VBN', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('webbased', 'webbased', 'JJ', 'I-NP', 'O')
('ORF', 'ORF', 'NN', 'I-NP', 'O')
('search', 'search', 'NN', 'I-NP', 'O')
('tool,', 'tool,', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('ORF', 'ORF', 'NN', 'I-NP', 'B-DNA')
('Miner,', 'Miner,', 'NNP', 'B-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('fo', 'fo', 'VBP', 'B-VP', 'O')
('cuses', 'cus', 'NNS', 'B-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('identifying', 'identify', 'VBG', 'B-VP', 'O')
('literal', 'literal', 'JJ', 'B-NP', 'O')
('ORF', 'ORF', 'NN', 'I-NP', 'B-DNA')
('based', 'base', 'VBN', 'B-PP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('codes.', 'codes.', 'NNS', 'I-NP', 'O')
The ORF Miner is implemented in PHP and GD graphics library on a PC server of which the operating system is Red Hat Linux 3.4.3-9.
('The', 'The', 'DT', 'B-NP', 'O')
('ORF', 'ORF', 'NNP', 'I-NP', 'B-DNA')
('Miner', 'Miner', 'NNP', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('implemented', 'implement', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('PHP', 'PHP', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('GD', 'GD', 'NN', 'B-NP', 'O')
('graphics', 'graphic', 'NNS', 'I-NP', 'O')
('library', 'library', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('PC', 'PC', 'NN', 'I-NP', 'O')
('server', 'server', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('operating', 'operating', 'NN', 'I-NP', 'O')
('system', 'system', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('Red', 'Red', 'NNP', 'B-NP', 'O')
('Hat', 'Hat', 'NNP', 'I-NP', 'O')
('Linux', 'Linux', 'NNP', 'I-NP', 'O')
('3.4.3-9.', '3.4.3-9.', 'CD', 'I-NP', 'O')
EL4.
('EL4.', 'EL4.', 'LS', 'B-LST', 'O')
It can run on any Linux or Unix system that has PHP version 5.2 or higher and GD version 2.0 or higher alike installed and be available via a Apache web server.
('It', 'It', 'PRP', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('run', 'run', 'VB', 'I-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('Linux', 'Linux', 'NNP', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('Unix', 'Unix', 'NNP', 'I-NP', 'O')
('system', 'system', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('PHP', 'PHP', 'NN', 'B-NP', 'B-protein')
('version', 'version', 'NN', 'I-NP', 'I-protein')
('5.2', '5.2', 'CD', 'B-NP', 'I-protein')
('or', 'or', 'CC', 'I-NP', 'O')
('higher', 'high', 'JJR', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('GD', 'GD', 'NN', 'I-NP', 'B-protein')
('version', 'version', 'NN', 'I-NP', 'I-protein')
('2.0', '2.0', 'CD', 'B-NP', 'I-protein')
('or', 'or', 'CC', 'I-NP', 'O')
('higher', 'high', 'JJR', 'I-NP', 'O')
('alike', 'alike', 'RB', 'B-VP', 'O')
('installed', 'instal', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'O', 'O')
('be', 'be', 'VB', 'B-VP', 'O')
('available', 'available', 'JJ', 'B-ADJP', 'O')
('via', 'via', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('Apache', 'Apache', 'NNP', 'I-NP', 'O')
('web', 'web', 'NNP', 'I-NP', 'O')
('server.', 'server.', 'NNP', 'I-NP', 'O')
The client requests the web server to run a PHP-CGI server, the ORF Miner, with a set of input parameters.
('The', 'The', 'DT', 'B-NP', 'O')
('client', 'client', 'NN', 'I-NP', 'O')
('requests', 'request', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('web', 'web', 'NN', 'I-NP', 'O')
('server', 'server', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('run', 'run', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('PHP-CGI', 'PHP-CGI', 'NN', 'I-NP', 'B-protein')
('server,', 'server,', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('ORF', 'ORF', 'NN', 'I-NP', 'B-DNA')
('Miner,', 'Miner,', 'NNP', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('input', 'input', 'NN', 'B-NP', 'O')
('parameters.', 'parameters.', 'NN', 'I-NP', 'O')
In response to the request, the web server runs the ORF Miner and receives the output results that will be transmitted to be finally displayed in the client (Fig.
('In', 'In', 'IN', 'B-PP', 'O')
('response', 'response', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('request,', 'request,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('web', 'web', 'NN', 'I-NP', 'O')
('server', 'server', 'NN', 'I-NP', 'O')
('runs', 'run', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('ORF', 'ORF', 'NNP', 'I-NP', 'B-DNA')
('Miner', 'Miner', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('receives', 'receive', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('output', 'output', 'NN', 'I-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('transmitted', 'transmit', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('finally', 'finally', 'RB', 'I-VP', 'O')
('displayed', 'display', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('client', 'client', 'NN', 'I-NP', 'O')
('(Fig.', '(Fig.', 'NNP', 'B-NP', 'O')
1).
('1).', '1).', 'LS', 'B-LST', 'O')
The parameters for this tool consist of input sequence, genetic code, minimum ORF size, and display data type (Fig.
('The', 'The', 'DT', 'B-NP', 'O')
('parameters', 'parameter', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('tool', 'tool', 'NN', 'I-NP', 'O')
('consist', 'consist', 'VBP', 'B-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('input', 'input', 'NN', 'B-NP', 'O')
('sequence,', 'sequence,', 'NN', 'I-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('code,', 'code,', 'NN', 'I-NP', 'O')
('minimum', 'minimum', 'NN', 'I-NP', 'O')
('ORF', 'ORF', 'NN', 'I-NP', 'O')
('size,', 'size,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('display', 'display', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('type', 'type', 'NN', 'I-NP', 'O')
('(Fig.', '(Fig.', 'NNP', 'I-NP', 'O')
2).
('2).', '2).', 'LS', 'B-LST', 'O')
The input sequence can be directly cut and pasted into the edit box or be uploaded from a file.
('The', 'The', 'DT', 'B-NP', 'O')
('input', 'input', 'NN', 'I-NP', 'B-DNA')
('sequence', 'sequence', 'NN', 'I-NP', 'I-DNA')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('directly', 'directly', 'RB', 'I-VP', 'O')
('cut', 'cut', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('pasted', 'paste', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('edit', 'edit', 'NN', 'I-NP', 'B-DNA')
('box', 'box', 'NN', 'I-NP', 'I-DNA')
('or', 'or', 'CC', 'O', 'O')
('be', 'be', 'VB', 'B-VP', 'O')
('uploaded', 'uploade', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('file.', 'file.', 'NN', 'I-NP', 'O')
Both of FASTA format and plain text format are allowed for the input sequence.
('Both', 'Both', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('FASTA', 'FASTA', 'NN', 'B-NP', 'B-protein')
('format', 'format', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('plain', 'plain', 'JJ', 'B-NP', 'O')
('text', 'text', 'NN', 'I-NP', 'O')
('format', 'format', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('allowed', 'allow', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('input', 'input', 'NN', 'I-NP', 'O')
('sequence.', 'sequence.', 'NN', 'I-NP', 'O')
In case of genetic code parameter, 17 genetic codes are provided to be exclusively chosen among them.
('In', 'In', 'IN', 'B-PP', 'O')
('case', 'case', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('code', 'code', 'NN', 'I-NP', 'O')
('parameter,', 'parameter,', 'NN', 'I-NP', 'O')
('17', '17', 'CD', 'I-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('codes', 'code', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('provided', 'provide', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('exclusively', 'exclusively', 'RB', 'I-VP', 'O')
('chosen', 'choose', 'VBN', 'I-VP', 'O')
('among', 'among', 'IN', 'B-PP', 'O')
('them.', 'them.', 'NN', 'B-NP', 'O')
This tool identifies all open reading frames using the standard or alternative genetic codes.
('This', 'This', 'DT', 'B-NP', 'O')
('tool', 'tool', 'NN', 'I-NP', 'O')
('identifies', 'identify', 'VBZ', 'B-VP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('open', 'open', 'JJ', 'I-NP', 'B-DNA')
('reading', 'reading', 'NN', 'I-NP', 'I-DNA')
('frames', 'frame', 'NNS', 'I-NP', 'I-DNA')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('standard', 'standard', 'JJ', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('alternative', 'alternative', 'JJ', 'I-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('codes.', 'codes.', 'NN', 'I-NP', 'O')
Moreover, the parameter “Output sequence type” can be set to one of ‘Nucleotide’, ‘Peptide’ or ‘Both’ and the user can specify the minimum ORF size as a parameter.
('Moreover,', 'Moreover,', 'JJR', 'B-NP', 'O')
('the', 'the', 'DT', 'I-NP', 'O')
('parameter', 'parameter', 'NN', 'I-NP', 'O')
('“Output', '“Output', 'NN', 'I-NP', 'O')
('sequence', 'sequence', 'NN', 'I-NP', 'O')
('type”', 'type”', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('set', 'set', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('one', 'one', 'CD', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('‘Nucleotide’,', '‘Nucleotide’,', 'NN', 'B-NP', 'B-protein')
('‘Peptide’', '‘Peptide’', 'NN', 'I-NP', 'I-protein')
('or', 'or', 'CC', 'I-NP', 'O')
('‘Both’', '‘Both’', 'NN', 'I-NP', 'B-protein')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('user', 'user', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('specify', 'specify', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('minimum', 'minimum', 'JJ', 'I-NP', 'O')
('ORF', 'ORF', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('parameter.', 'parameter.', 'NN', 'I-NP', 'O')
A minimum ORF size prevents short ORFs from being detected and displayed.
('A', 'A', 'DT', 'B-NP', 'O')
('minimum', 'minimum', 'JJ', 'I-NP', 'O')
('ORF', 'ORF', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('prevents', 'prevent', 'VBZ', 'B-VP', 'O')
('short', 'short', 'JJ', 'B-NP', 'O')
('ORFs', 'ORF', 'NNS', 'I-NP', 'B-DNA')
('from', 'from', 'IN', 'B-PP', 'O')
('being', 'be', 'VBG', 'B-VP', 'O')
('detected', 'detect', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'O', 'O')
('displayed.', 'displayed.', 'NN', 'B-NP', 'O')
The strategy of ORF Miner to detect ORFs can be summarized as follows:  a.
('The', 'The', 'DT', 'B-NP', 'O')
('strategy', 'strategy', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('ORF', 'ORF', 'NNP', 'B-NP', 'B-DNA')
('Miner', 'Miner', 'NNP', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('detect', 'detect', 'VB', 'I-VP', 'O')
('ORFs', 'ORF', 'NNS', 'B-NP', 'B-DNA')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('summarized', 'summarize', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('follows:', 'follows:', 'NN', 'B-NP', 'O')
('a.', 'a.', 'NN', 'I-NP', 'O')
Check if all the parameters are set correctly before proceeding forward.
('Check', 'Check', 'VB', 'B-VP', 'O')
('if', 'if', 'IN', 'B-SBAR', 'O')
('all', 'all', 'PDT', 'B-NP', 'O')
('the', 'the', 'DT', 'I-NP', 'O')
('parameters', 'parameter', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('set', 'set', 'VBN', 'I-VP', 'O')
('correctly', 'correctly', 'RB', 'B-ADVP', 'O')
('before', 'before', 'IN', 'B-PP', 'O')
('proceeding', 'proceed', 'VBG', 'B-VP', 'O')
('forward.', 'forward.', 'RB', 'B-ADVP', 'O')
An error message will be displayed in case there is something wrong with any parameter setting.
('An', 'An', 'DT', 'B-NP', 'O')
('error', 'error', 'NN', 'I-NP', 'O')
('message', 'message', 'NN', 'I-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('displayed', 'display', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-SBAR', 'O')
('case', 'case', 'NN', 'O', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('something', 'something', 'NN', 'B-NP', 'O')
('wrong', 'wrong', 'JJ', 'B-ADJP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('parameter', 'parameter', 'NN', 'I-NP', 'O')
('setting.', 'setting.', 'NN', 'I-NP', 'O')
b.
('b.', 'b.', 'LS', 'B-LST', 'O')
Read the input DNA sequence in six reading frames.
('Read', 'Read', 'VB', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('input', 'input', 'NN', 'I-NP', 'B-DNA')
('DNA', 'DNA', 'NN', 'I-NP', 'I-DNA')
('sequence', 'sequence', 'NN', 'I-NP', 'I-DNA')
('in', 'in', 'IN', 'B-PP', 'O')
('six', 'six', 'CD', 'B-NP', 'O')
('reading', 'reading', 'NN', 'I-NP', 'O')
('frames.', 'frames.', 'NN', 'I-NP', 'O')
The input sequence will be considered as the forward strand.
('The', 'The', 'DT', 'B-NP', 'O')
('input', 'input', 'NN', 'I-NP', 'B-DNA')
('sequence', 'sequence', 'NN', 'I-NP', 'I-DNA')
('will', 'will', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('considered', 'consider', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('forward', 'forward', 'NN', 'I-NP', 'O')
('strand.', 'strand.', 'NN', 'I-NP', 'O')
Three are in the forward and three in the reverse direction.
('Three', 'Three', 'CD', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('forward', 'forward', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('three', 'three', 'CD', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('reverse', 'reverse', 'NN', 'I-NP', 'O')
('direction.', 'direction.', 'NN', 'I-NP', 'O')
