COCAW: A Genome-wide Pattern Search System for Designing Microbial Probes.
('COCAW:', 'COCAW:', 'NNP', 'B-NP', 'O')
('running', 'running', 'NN', 'I-NP', 'O')
('time', 'time', 'NN', 'I-NP', 'O')
('increases', 'increase', 'VBZ', 'B-VP', 'O')
('rapidly', 'rapidly', 'RB', 'B-ADVP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('compared', 'compare', 'VBN', 'B-NP', 'O')
('genomes,', 'genomes,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('still', 'still', 'RB', 'B-ADVP', 'O')
('very', 'very', 'RB', 'B-ADJP', 'O')
('practical', 'practical', 'JJ', 'I-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('conserved', 'conserve', 'VBN', 'B-NP', 'O')
('region', 'region', 'NN', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('species', 'specie', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('genus.', 'genus.', 'NNS', 'I-NP', 'O')
COCAW is a tool for scanning multiple genomes for conserved regions and it could be useful for genomewide detection of the patterns as probes among a group of genomes.
('COCAW', 'COCAW', 'NN', 'B-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('tool', 'tool', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('scanning', 'scan', 'VBG', 'B-VP', 'O')
('multiple', 'multiple', 'JJ', 'B-NP', 'B-DNA')
('genomes', 'genome', 'NNS', 'I-NP', 'I-DNA')
('for', 'for', 'IN', 'B-PP', 'O')
('conserved', 'conserve', 'VBN', 'B-NP', 'O')
('regions', 'region', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('could', 'could', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('useful', 'useful', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('genomewide', 'genomewide', 'JJ', 'B-NP', 'O')
('detection', 'detection', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('patterns', 'pattern', 'NNS', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('probes', 'probe', 'NNS', 'B-NP', 'O')
('among', 'among', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('group', 'group', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genomes.', 'genomes.', 'NN', 'B-NP', 'O')
Currently it shows the detected conserved regions with a little graphical interface, and it will be upgraded for more practical and informational interface especially for multiple genome processing.
('Currently', 'Currently', 'RB', 'B-ADVP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('shows', 'show', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('detected', 'detect', 'VBN', 'I-NP', 'O')
('conserved', 'conserve', 'VBN', 'I-NP', 'O')
('regions', 'region', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('little', 'little', 'JJ', 'I-NP', 'O')
('graphical', 'graphical', 'JJ', 'I-NP', 'O')
('interface,', 'interface,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('upgraded', 'upgrade', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('more', 'more', 'RBR', 'B-NP', 'O')
('practical', 'practical', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('informational', 'informational', 'JJ', 'I-NP', 'O')
('interface', 'interface', 'NN', 'I-NP', 'O')
('especially', 'especially', 'RB', 'B-ADVP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('multiple', 'multiple', 'JJ', 'B-NP', 'O')
('genome', 'genome', 'NN', 'I-NP', 'O')
('processing.', 'processing.', 'NN', 'I-NP', 'O')
COCAW finds out conserved regions among multiple genomes.
('COCAW', 'COCAW', 'NN', 'B-NP', 'B-protein')
('finds', 'find', 'VBZ', 'B-VP', 'O')
('out', 'out', 'RP', 'B-PRT', 'O')
('conserved', 'conserve', 'VBN', 'B-NP', 'O')
('regions', 'region', 'NNS', 'I-NP', 'O')
('among', 'among', 'IN', 'B-PP', 'O')
('multiple', 'multiple', 'JJ', 'B-NP', 'O')
('genomes.', 'genomes.', 'NNS', 'I-NP', 'O')
As a groupspecific pattern is an exclusively conserved region, it is not only conserved in the group but also should not be in other genomes.
('As', 'As', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('groupspecific', 'groupspecific', 'JJ', 'I-NP', 'O')
('pattern', 'pattern', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('exclusively', 'exclusively', 'RB', 'I-NP', 'O')
('conserved', 'conserve', 'VBN', 'I-NP', 'O')
('region,', 'region,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'B-VP', 'O')
('only', 'only', 'RB', 'I-VP', 'O')
('conserved', 'conserve', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('group', 'group', 'NN', 'I-NP', 'O')
('but', 'but', 'CC', 'O', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('should', 'should', 'MD', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('genomes.', 'genomes.', 'NNS', 'I-NP', 'O')
So for detecting very strict group specific patterns, more complicated and timeconsuming processes are additionally required.
('So', 'So', 'RB', 'B-ADVP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('detecting', 'detect', 'VBG', 'B-VP', 'O')
('very', 'very', 'RB', 'B-NP', 'O')
('strict', 'strict', 'JJ', 'I-NP', 'O')
('group', 'group', 'NN', 'I-NP', 'O')
('specific', 'specific', 'JJ', 'I-NP', 'O')
('patterns,', 'patterns,', 'NN', 'I-NP', 'O')
('more', 'more', 'RBR', 'B-NP', 'O')
('complicated', 'complicated', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('timeconsuming', 'timeconsuming', 'JJ', 'I-NP', 'O')
('processes', 'process', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('additionally', 'additionally', 'RB', 'I-VP', 'O')
('required.', 'required.', 'VBN', 'I-VP', 'O')
More practical algorithms should be developed for massive number of genomes with practical user interfaces for diverse applications.
('More', 'More', 'RBR', 'B-NP', 'O')
('practical', 'practical', 'JJ', 'I-NP', 'O')
('algorithms', 'algorithm', 'NNS', 'I-NP', 'O')
('should', 'should', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('developed', 'develop', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('massive', 'massive', 'JJ', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genomes', 'genome', 'NNS', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('practical', 'practical', 'JJ', 'B-NP', 'O')
('user', 'user', 'NN', 'I-NP', 'O')
('interfaces', 'interface', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('diverse', 'diverse', 'JJ', 'B-NP', 'O')
('applications.', 'applications.', 'NNS', 'I-NP', 'O')
