Recovery of Genes Epigenetically Altered by the Histone Deacetylase Inhibitor Scriptaid and Demethylating Agent 5-Azacytidine in Human Leukemia Cells.
('Recovery', 'Recovery', 'NN', 'B-NP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('overcome', 'overcome', 'VB', 'I-VP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('resistance.', 'resistance.', 'NN', 'I-NP', 'O')
Second, a multitarget hit strategy seems to benefit cancer therapy.
('Second,', 'Second,', 'VB', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('multitarget', 'multitarget', 'JJ', 'I-NP', 'O')
('hit', 'hit', 'NN', 'I-NP', 'O')
('strategy', 'strategy', 'NN', 'I-NP', 'O')
('seems', 'seem', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('benefit', 'benefit', 'VB', 'I-VP', 'O')
('cancer', 'cancer', 'NN', 'B-NP', 'O')
('therapy.', 'therapy.', 'RB', 'B-ADVP', 'O')
As we dissect critical cell cycle, proliferation, apoptosis, angiogenesis, and signaling pathways, we can develop molecules to target them (Bishton et al., 2007).
('As', 'As', 'IN', 'B-SBAR', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('dissect', 'dissect', 'VBP', 'B-VP', 'O')
('critical', 'critical', 'JJ', 'B-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('cycle,', 'cycle,', 'NN', 'I-NP', 'O')
('proliferation,', 'proliferation,', 'NN', 'I-NP', 'O')
('apoptosis,', 'apoptosis,', 'NN', 'I-NP', 'O')
('angiogenesis,', 'angiogenesis,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('signaling', 'signaling', 'NN', 'I-NP', 'O')
('pathways,', 'pathways,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('develop', 'develop', 'VB', 'I-VP', 'O')
('molecules', 'molecule', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('target', 'target', 'VB', 'I-VP', 'O')
('them', 'them', 'PRP', 'B-NP', 'O')
('(Bishton', '(Bishton', 'NNP', 'B-NP', 'O')
('et', 'et', 'VBD', 'B-VP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2007).', '2007).', 'CD', 'B-NP', 'O')
It is clear that in addition to the effect on histone acetylation, nonhistone targets are critical for the effects of these drugs.
('It', 'It', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('clear', 'clear', 'JJ', 'B-ADJP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('addition', 'addition', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('effect', 'effect', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('histone', 'histone', 'NN', 'B-NP', 'B-protein')
('acetylation,', 'acetylation,', 'NN', 'I-NP', 'I-protein')
('nonhistone', 'nonhistone', 'JJ', 'I-NP', 'I-protein')
('targets', 'target', 'NNS', 'I-NP', 'I-protein')
('are', 'be', 'VBP', 'B-VP', 'O')
('critical', 'critical', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('effects', 'effect', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('drugs.', 'drugs.', 'NNS', 'I-NP', 'O')
Such targets for hyperacetylation include p53, αtubulin, HIF1α, and HSP90 (Bali et al., 2005; Huang et al., 2002; Kawaguchi et al., 2003; Qian et al., 2006).
('Such', 'Such', 'JJ', 'B-NP', 'O')
('targets', 'target', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('hyperacetylation', 'hyperacetylation', 'NN', 'B-NP', 'O')
('include', 'include', 'VBP', 'B-VP', 'O')
('p53,', 'p53,', 'NN', 'B-NP', 'B-protein')
('αtubulin,', 'αtubulin,', 'NN', 'I-NP', 'I-protein')
('HIF1α,', 'HIF1α,', 'NN', 'I-NP', 'I-protein')
('and', 'and', 'CC', 'O', 'O')
('HSP90', 'HSP90', 'NN', 'B-NP', 'B-protein')
('(Bali', '(Bali', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2005;', '2005;', ':', 'O', 'O')
('Huang', 'Huang', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2002;', '2002;', ':', 'O', 'O')
('Kawaguchi', 'Kawaguchi', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2003;', '2003;', ':', 'O', 'O')
('Qian', 'Qian', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2006).', '2006).', 'CD', 'B-NP', 'O')
Finally, the good toxicity profile of these agents make them suitable for combina  tion therapy (Rasheed et al., 2007).
('Finally,', 'Finally,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('good', 'good', 'JJ', 'I-NP', 'O')
('toxicity', 'toxicity', 'NN', 'I-NP', 'O')
('profile', 'profile', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('agents', 'agent', 'NNS', 'I-NP', 'O')
('make', 'make', 'VBP', 'B-VP', 'O')
('them', 'them', 'PRP', 'B-NP', 'O')
('suitable', 'suitable', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('combina', 'combina', 'NN', 'B-NP', 'O')
('tion', 'tion', 'NN', 'I-NP', 'O')
('therapy', 'therapy', 'NN', 'I-NP', 'O')
('(Rasheed', '(Rasheed', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2007).', '2007).', 'CD', 'B-NP', 'O')
The HL-60 leukemic cell line was obtained from Korean Cell Line Bank (KCLB).
('The', 'The', 'DT', 'B-NP', 'O')
('HL-60', 'HL-60', 'NN', 'I-NP', 'B-cell_line')
('leukemic', 'leukemic', 'JJ', 'I-NP', 'I-cell_line')
('cell', 'cell', 'NN', 'I-NP', 'I-cell_line')
('line', 'line', 'NN', 'I-NP', 'I-cell_line')
('was', 'be', 'VBD', 'B-VP', 'O')
('obtained', 'obtain', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('Korean', 'Korean', 'NNP', 'B-NP', 'B-cell_line')
('Cell', 'Cell', 'NNP', 'I-NP', 'I-cell_line')
('Line', 'Line', 'NNP', 'I-NP', 'I-cell_line')
('Bank', 'Bank', 'NNP', 'I-NP', 'O')
('(KCLB).', '(KCLB).', 'NNP', 'I-NP', 'O')
Cell lines were cultured at 37oC (5% CO2) in RPMI 1640 medium, supplemented with 10% fetal calf serum and 1% penicillin/streptomycin (all purchased from Sigma-Aldrich Co.  Ltd.  Poole, UK).
('Cell', 'Cell', 'NN', 'B-NP', 'B-cell_line')
('lines', 'line', 'NNS', 'I-NP', 'I-cell_line')
('were', 'be', 'VBD', 'B-VP', 'O')
('cultured', 'culture', 'VBN', 'I-VP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('37oC', '37oC', 'NN', 'B-NP', 'O')
('(5%', '(5%', 'NN', 'I-NP', 'O')
('CO2)', 'CO2)', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('RPMI', 'RPMI', 'NN', 'B-NP', 'O')
('1640', '1640', 'CD', 'I-NP', 'O')
('medium,', 'medium,', 'NN', 'I-NP', 'O')
('supplemented', 'supplement', 'VBN', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('10%', '10%', 'CD', 'B-NP', 'O')
('fetal', 'fetal', 'JJ', 'I-NP', 'O')
('calf', 'calf', 'NN', 'I-NP', 'O')
('serum', 'serum', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('1%', '1%', 'NN', 'B-NP', 'O')
('penicillin/streptomycin', 'penicillin/streptomycin', 'NN', 'I-NP', 'O')
('(all', '(all', 'NN', 'I-NP', 'O')
('purchased', 'purchase', 'VBN', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('Sigma-Aldrich', 'Sigma-Aldrich', 'NNP', 'B-NP', 'O')
('Co.', 'Co.', 'NNP', 'I-NP', 'O')
('Ltd.', 'Ltd.', 'NNP', 'I-NP', 'O')
('Poole,', 'Poole,', 'NNP', 'I-NP', 'O')
('UK).', 'UK).', 'NNP', 'I-NP', 'O')
5-azacytidine (12.25μM) and 0.83μM scriptaid were used.
('5-azacytidine', '5-azacytidine', 'NN', 'B-NP', 'O')
('(12.25μM)', '(12.25μM)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('0.83μM', '0.83μM', 'NN', 'B-NP', 'O')
('scriptaid', 'scriptaid', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('used.', 'used.', 'VBN', 'I-VP', 'O')
A 2-mL solution of control and 5azacytidine 2.5μL, scriptaid 2.5μL combination regimen were compared (Table 1).
('A', 'A', 'DT', 'B-NP', 'O')
('2-mL', '2-mL', 'NN', 'I-NP', 'O')
('solution', 'solution', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('control', 'control', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('5azacytidine', '5azacytidine', 'NN', 'I-NP', 'O')
('2.5μL,', '2.5μL,', 'NN', 'I-NP', 'O')
('scriptaid', 'scriptaid', 'VBD', 'B-VP', 'O')
('2.5μL', '2.5μL', 'NN', 'B-NP', 'O')
('combination', 'combination', 'NN', 'I-NP', 'O')
('regimen', 'regiman', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('compared', 'compare', 'VBN', 'I-VP', 'O')
('(Table', '(Table', 'JJ', 'B-NP', 'O')
('1).', '1).', 'CD', 'I-NP', 'O')
Cell viability curves were drawn from the combination-treated cells (Fig.
('Cell', 'Cell', 'NN', 'B-NP', 'O')
('viability', 'viability', 'NN', 'I-NP', 'O')
('curves', 'curve', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('drawn', 'draw', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('combination-treated', 'combination-treated', 'JJ', 'I-NP', 'O')
('cells', 'cell', 'NNS', 'I-NP', 'O')
('(Fig.', '(Fig.', 'NNP', 'B-NP', 'O')
1).
('1).', '1).', 'LS', 'B-LST', 'O')
Cell number and viability were further assessed by using the WST-1 reagent (Roche, Indianapols, USA).
('Cell', 'Cell', 'NN', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('viability', 'viability', 'NN', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('further', 'further', 'RB', 'I-VP', 'O')
('assessed', 'assess', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('WST-1', 'WST-1', 'NN', 'I-NP', 'O')
('reagent', 'reagent', 'NN', 'I-NP', 'O')
('(Roche,', '(Roche,', 'NNP', 'I-NP', 'O')
('Indianapols,', 'Indianapols,', 'NNP', 'I-NP', 'O')
('USA).', 'USA).', 'NNP', 'I-NP', 'O')
This colorimetric assay measures the metabolic activity of viable cells based on cleavage of the tetrazolium salt WST1 into formazan by mitochondrial dehydrogenase in live cells.
('This', 'This', 'DT', 'B-NP', 'O')
('colorimetric', 'colorimetric', 'JJ', 'I-NP', 'O')
('assay', 'assay', 'NN', 'I-NP', 'O')
('measures', 'measure', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('metabolic', 'metabolic', 'JJ', 'I-NP', 'O')
('activity', 'activity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('viable', 'viable', 'JJ', 'B-NP', 'B-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('based', 'base', 'VBN', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('cleavage', 'cleavage', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('tetrazolium', 'tetrazolium', 'NN', 'I-NP', 'O')
('salt', 'salt', 'NN', 'I-NP', 'O')
('WST1', 'WST1', 'NN', 'I-NP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('formazan', 'formazan', 'NN', 'B-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('mitochondrial', 'mitochondrial', 'JJ', 'B-NP', 'B-protein')
('dehydrogenase', 'dehydrogenase', 'NN', 'I-NP', 'I-protein')
('in', 'in', 'IN', 'B-PP', 'O')
('live', 'live', 'JJ', 'B-NP', 'O')
('cells.', 'cells.', 'NNS', 'I-NP', 'O')
Cells under different treatments were plated at 1×104 cells/0.32 cm2 in a 96well plate and were maintained for 48 hr at 37oC in 8.5% CO2.
('Cells', 'Cell', 'NNS', 'B-NP', 'O')
('under', 'under', 'IN', 'B-PP', 'O')
('different', 'different', 'JJ', 'B-NP', 'O')
('treatments', 'treatment', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('plated', 'plat', 'VBN', 'I-VP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('1×104', '1×104', 'CD', 'B-NP', 'O')
('cells/0.32', 'cells/0.32', 'NNS', 'I-NP', 'O')
('cm2', 'cm2', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('96well', '96well', 'NN', 'I-NP', 'O')
('plate', 'plate', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('maintained', 'maintain', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('48', '48', 'CD', 'B-NP', 'O')
('hr', 'hr', 'NN', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('37oC', '37oC', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('8.5%', '8.5%', 'CD', 'B-NP', 'O')
('CO2.', 'CO2.', 'NN', 'I-NP', 'O')
Absorbance readings were normalized against control wells with medium alone.
('Absorbance', 'Absorbance', 'NN', 'B-NP', 'O')
('readings', 'reading', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('normalized', 'normalize', 'VBN', 'I-VP', 'O')
('against', 'against', 'IN', 'B-PP', 'O')
('control', 'control', 'NN', 'B-NP', 'O')
('wells', 'well', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('medium', 'medium', 'NN', 'B-NP', 'O')
('alone.', 'alone.', 'RB', 'B-ADVP', 'O')
All experiments were performed independently at least 3 times in triplicate per experimental point.
('All', 'All', 'DT', 'B-NP', 'O')
('experiments', 'experiment', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('performed', 'perform', 'VBN', 'I-VP', 'O')
('independently', 'independently', 'RB', 'B-NP', 'O')
('at', 'at', 'IN', 'I-NP', 'O')
('least', 'least', 'JJS', 'I-NP', 'O')
('3', '3', 'CD', 'I-NP', 'O')
('times', 'time', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('triplicate', 'triplicate', 'NN', 'B-NP', 'O')
('per', 'per', 'IN', 'B-PP', 'O')
('experimental', 'experimental', 'JJ', 'B-NP', 'O')
('point.', 'point.', 'NN', 'I-NP', 'O')
Total RNA was isolated from cell lines using Nucleospin RNA II (MachereyNagel, Germany).
('Total', 'Total', 'JJ', 'B-NP', 'O')
('RNA', 'RNA', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('isolated', 'isolate', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('cell', 'cell', 'NN', 'B-NP', 'B-cell_line')
('lines', 'line', 'NNS', 'I-NP', 'I-cell_line')
('using', 'use', 'VBG', 'B-VP', 'O')
('Nucleospin', 'Nucleospin', 'NN', 'B-NP', 'B-protein')
('RNA', 'RNA', 'NN', 'I-NP', 'I-protein')
('II', 'II', 'CD', 'I-NP', 'I-protein')
('(MachereyNagel,', '(MachereyNagel,', 'NNP', 'I-NP', 'O')
('Germany).', 'Germany).', 'NNP', 'I-NP', 'O')
RNA quality was assessed using a NanoDrop ND1000 (NanoDrop Technologies, Wilmington, USA) spectrophotometer.
('RNA', 'RNA', 'NN', 'B-NP', 'O')
('quality', 'quality', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('assessed', 'assess', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('NanoDrop', 'NanoDrop', 'NNP', 'I-NP', 'O')
('ND1000', 'ND1000', 'NNP', 'I-NP', 'O')
('(NanoDrop', '(NanoDrop', 'NNP', 'I-NP', 'O')
('Technologies,', 'Technologies,', 'NNP', 'I-NP', 'O')
('Wilmington,', 'Wilmington,', 'NNP', 'I-NP', 'O')
('USA)', 'USA)', 'NNP', 'I-NP', 'O')
('spectrophotometer.', 'spectrophotometer.', 'NN', 'I-NP', 'O')
Extracted RNA was stored at 70oC.
('Extracted', 'Extract', 'VBN', 'B-NP', 'B-RNA')
('RNA', 'RNA', 'NN', 'I-NP', 'I-RNA')
('was', 'be', 'VBD', 'B-VP', 'O')
('stored', 'store', 'VBN', 'I-VP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('70oC.', '70oC.', 'NNP', 'B-NP', 'O')
Total RNA yield was quantified by densitometric assessment of both ribosomal bands using the FlourChem Digital Imaging System (Alpha Inotek, Inc., San Leandro, CA, USA).
('Total', 'Total', 'JJ', 'B-NP', 'O')
('RNA', 'RNA', 'NN', 'I-NP', 'O')
('yield', 'yield', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('quantified', 'quantify', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('densitometric', 'densitometric', 'JJ', 'B-NP', 'O')
('assessment', 'assessment', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('both', 'both', 'DT', 'B-NP', 'O')
('ribosomal', 'ribosomal', 'JJ', 'I-NP', 'O')
('bands', 'band', 'NNS', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('FlourChem', 'FlourChem', 'NNP', 'I-NP', 'O')
('Digital', 'Digital', 'NNP', 'I-NP', 'O')
('Imaging', 'Imaging', 'NNP', 'I-NP', 'O')
('System', 'System', 'NNP', 'I-NP', 'O')
('(Alpha', '(Alpha', 'NNP', 'I-NP', 'O')
('Inotek,', 'Inotek,', 'NNP', 'I-NP', 'O')
('Inc.,', 'Inc.,', 'NNP', 'I-NP', 'O')
('San', 'San', 'NNP', 'I-NP', 'O')
('Leandro,', 'Leandro,', 'NNP', 'I-NP', 'O')
('CA,', 'CA,', 'NNP', 'I-NP', 'O')
('USA).', 'USA).', 'NNP', 'I-NP', 'O')
The microarray hybridization was performed using the Illumina Gene Expression 48K Chip (Illumina).
('The', 'The', 'DT', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('hybridization', 'hybridization', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('performed', 'perform', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Illumina', 'Illumina', 'NNP', 'I-NP', 'B-DNA')
('Gene', 'Gene', 'NNP', 'I-NP', 'I-DNA')
('Expression', 'Expression', 'NNP', 'I-NP', 'O')
('48K', '48K', 'NNP', 'I-NP', 'O')
('Chip', 'Chip', 'NNP', 'I-NP', 'O')
('(Illumina).', '(Illumina).', 'NNP', 'I-NP', 'O')
Data visualization, clustering, and differential analysis were carried out with BeadStudio software (Illumina) and the GeneSpring GX program, 7.3 (Silicon Genetics).
('Data', 'Datum', 'NNS', 'B-NP', 'O')
('visualization,', 'visualization,', 'IN', 'B-PP', 'O')
('clustering,', 'clustering,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('differential', 'differential', 'JJ', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('carried', 'carry', 'VBN', 'I-VP', 'O')
('out', 'out', 'RP', 'B-PRT', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('BeadStudio', 'BeadStudio', 'NNP', 'B-NP', 'O')
('software', 'software', 'NN', 'I-NP', 'O')
('(Illumina)', '(Illumina)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('GeneSpring', 'GeneSpring', 'NN', 'I-NP', 'O')
('GX', 'GX', 'NN', 'I-NP', 'O')
('program,', 'program,', 'NN', 'I-NP', 'O')
('7.3', '7.3', 'CD', 'I-NP', 'O')
('(Silicon', '(Silicon', 'NNP', 'I-NP', 'O')
('Genetics).', 'Genetics).', 'NNP', 'I-NP', 'O')
The 5-azacytidine and scriptaid combination regimen-treated leukemia cells were decreased after 48 hours of incubation.
('The', 'The', 'DT', 'B-NP', 'O')
('5-azacytidine', '5-azacytidine', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('scriptaid', 'scriptaid', 'VBD', 'B-VP', 'O')
('combination', 'combination', 'NN', 'B-NP', 'O')
('regimen-treated', 'regimen-treated', 'JJ', 'I-NP', 'O')
('leukemia', 'leukemia', 'NN', 'I-NP', 'O')
('cells', 'cell', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('decreased', 'decrease', 'VBN', 'I-VP', 'O')
('after', 'after', 'IN', 'B-PP', 'O')
('48', '48', 'CD', 'B-NP', 'O')
('hours', 'hour', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('incubation.', 'incubation.', 'NN', 'B-NP', 'O')
The demethylating agent and HDACi combination regimen can be an option to decrease leukemia cells (Fig.
('The', 'The', 'DT', 'B-NP', 'O')
('demethylating', 'demethylate', 'VBG', 'I-NP', 'O')
('agent', 'agent', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('HDACi', 'HDACi', 'NN', 'I-NP', 'O')
('combination', 'combination', 'NN', 'I-NP', 'O')
('regimen', 'regimen', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('option', 'option', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('decrease', 'decrease', 'VB', 'I-VP', 'O')
('leukemia', 'leukemia', 'NN', 'B-NP', 'B-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('(Fig.', '(Fig.', 'NNP', 'B-NP', 'O')
1).
('1).', '1).', 'LS', 'B-LST', 'O')
There were 78 expressed genes after treatment with 5-azacytidine (Fig.
('There', 'There', 'EX', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('78', '78', 'CD', 'B-NP', 'B-DNA')
('expressed', 'express', 'VBN', 'B-VP', 'I-DNA')
('genes', 'gene', 'NNS', 'B-NP', 'I-DNA')
('after', 'after', 'IN', 'B-PP', 'O')
('treatment', 'treatment', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('5-azacytidine', '5-azacytidine', 'NN', 'B-NP', 'O')
('(Fig.', '(Fig.', 'NNP', 'B-NP', 'O')
2, 3).
('2,', '2,', 'LS', 'B-LST', 'O')
('3).', '3).', '.', 'O', 'O')
Ninety-nine genes were expressed after treatment with scriptaid (Fig.
('Ninety-nine', 'Ninety-nine', 'CD', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('expressed', 'express', 'VBN', 'I-VP', 'O')
('after', 'after', 'IN', 'B-PP', 'O')
('treatment', 'treatment', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('scriptaid', 'scriptaid', 'NN', 'B-NP', 'O')
('(Fig.', '(Fig.', 'NNP', 'B-NP', 'O')
2, 3).
('2,', '2,', 'LS', 'B-LST', 'O')
('3).', '3).', '.', 'O', 'O')
Sixty genes overlapped between the 5-azacytidine treatment and scriptaid treatment (Fig.
('Sixty', 'Sixty', 'CD', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('overlapped', 'overlap', 'VBN', 'B-VP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('5-azacytidine', '5-azacytidine', 'NN', 'I-NP', 'O')
('treatment', 'treatment', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('scriptaid', 'scriptaid', 'NN', 'B-NP', 'O')
('treatment', 'treatment', 'NN', 'I-NP', 'O')
('(Fig.', '(Fig.', 'NNP', 'B-NP', 'O')
2).
('2).', '2).', 'LS', 'B-LST', 'O')
After treatment with both 5-azacytidine and scriptaid, which is a combination of a demethylating agent and an HDACi, there was a remarkable gene expression profile change (Fig.
('After', 'After', 'IN', 'B-PP', 'O')
('treatment', 'treatment', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('both', 'both', 'CC', 'O', 'O')
('5-azacytidine', '5-azacytidine', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('scriptaid,', 'scriptaid,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('combination', 'combination', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('demethylating', 'demethylate', 'VBG', 'I-NP', 'O')
('agent', 'agent', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('HDACi,', 'HDACi,', 'NNP', 'I-NP', 'B-DNA')
('there', 'there', 'EX', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('remarkable', 'remarkable', 'JJ', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('profile', 'profile', 'NN', 'I-NP', 'O')
('change', 'change', 'NN', 'I-NP', 'O')
('(Fig.', '(Fig.', 'NNP', 'B-NP', 'O')
4, Table 2).
