Finding Interesting Genes Using Reliability in Various Gene Expression Models.
('Finding', 'Find', 'VBG', 'B-VP', 'O')
('finding', 'find', 'VBG', 'B-VP', 'O')
('differentially', 'differentially', 'RB', 'B-NP', 'B-DNA')
('expressed', 'express', 'VBN', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('are', 'be', 'VBP', 'B-VP', 'O')
('ANOVA', 'ANOVA', 'NNP', 'B-NP', 'O')
('(Churchill,', '(Churchill,', 'NNP', 'I-NP', 'O')
('2004)', '2004)', 'LS', 'B-LST', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('HLM', 'HLM', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('oneway', 'oneway', 'NN', 'B-NP', 'O')
('ANOVA', 'ANOVA', 'NNP', 'I-NP', 'O')
('(Chu', '(Chu', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2002).', '2002).', 'CD', 'B-NP', 'O')
These models compare the expression values across experimental treatments for each gene.
('These', 'These', 'DT', 'B-NP', 'O')
('models', 'model', 'NNS', 'I-NP', 'O')
('compare', 'compare', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('across', 'across', 'IN', 'B-PP', 'O')
('experimental', 'experimental', 'JJ', 'B-NP', 'O')
('treatments', 'treatment', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('gene.', 'gene.', 'NN', 'I-NP', 'O')
Genes that have differential expression on different treatments, relative to its variance over all chips, will have a low pvalue.
('Genes', 'Gene', 'NNS', 'B-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('differential', 'differential', 'JJ', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('different', 'different', 'JJ', 'B-NP', 'O')
('treatments,', 'treatments,', 'NN', 'I-NP', 'O')
('relative', 'relative', 'JJ', 'B-ADVP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('variance', 'variance', 'NN', 'I-NP', 'O')
('over', 'over', 'IN', 'B-PP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('chips,', 'chips,', 'NN', 'I-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('have', 'have', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('low', 'low', 'JJ', 'I-NP', 'O')
('pvalue.', 'pvalue.', 'NN', 'I-NP', 'O')
Both of these methods use the summary expression value.
('Both', 'Both', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
('use', 'use', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('summary', 'summary', 'JJ', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('value.', 'value.', 'NN', 'I-NP', 'O')
In practice, with our data we have found that they also yield somewhat unsatisfactory results.
('In', 'In', 'IN', 'B-PP', 'O')
('practice,', 'practice,', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('found', 'find', 'VBN', 'I-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('they', 'they', 'PRP', 'B-NP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('yield', 'yield', 'VBP', 'B-VP', 'O')
('somewhat', 'somewhat', 'RB', 'B-NP', 'O')
('unsatisfactory', 'unsatisfactory', 'JJ', 'I-NP', 'O')
('results.', 'results.', 'NNS', 'I-NP', 'O')
Many genes on the resulting lists have relatively flat, uninteresting profiles, and yet, many genes filtered from the list have relatively structured, interesting profiles.
('Many', 'Many', 'JJ', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('resulting', 'result', 'VBG', 'I-NP', 'O')
('lists', 'list', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('relatively', 'relatively', 'RB', 'B-NP', 'O')
('flat,', 'flat,', 'JJ', 'I-NP', 'O')
('uninteresting', 'uninteresting', 'JJ', 'I-NP', 'O')
('profiles,', 'profiles,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('yet,', 'yet,', 'NN', 'B-VP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('filtered', 'filter', 'VBN', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('list', 'list', 'NN', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('relatively', 'relatively', 'RB', 'B-NP', 'O')
('structured,', 'structured,', 'JJ', 'I-NP', 'O')
('interesting', 'interesting', 'JJ', 'I-NP', 'O')
('profiles.', 'profiles.', 'NN', 'I-NP', 'O')
This has motivated us to consider using the PM value in addition to the summary expression value to evaluate the significance of genes.
('This', 'This', 'DT', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('motivated', 'motivate', 'VBN', 'I-VP', 'O')
('us', 'us', 'PRP', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('consider', 'consider', 'VB', 'I-VP', 'O')
('using', 'use', 'VBG', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('PM', 'PM', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('addition', 'addition', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('evaluate', 'evaluate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('significance', 'significance', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes.', 'genes.', 'NN', 'B-NP', 'O')
Table 1 and Table 2 show ANOVA results for two sample genes, 265670_s_at and 249093_at.
('Table', 'Table', 'JJ', 'B-NP', 'O')
('1', '1', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Table', 'Table', 'JJ', 'B-NP', 'O')
('2', '2', 'CD', 'I-NP', 'O')
('show', 'show', 'NN', 'I-NP', 'O')
('ANOVA', 'ANOVA', 'NN', 'I-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('genes,', 'genes,', 'NN', 'I-NP', 'O')
('265670_s_at', '265670_s_at', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('249093_at.', '249093_at.', 'CD', 'I-NP', 'O')
The pval   　 ues for both genes are very small, less than 107, suggesting that both genes have significantly different expression between treatments.
('The', 'The', 'DT', 'B-NP', 'O')
('pval', 'pval', 'NN', 'I-NP', 'O')
('\u3000', '\u3000', 'NN', 'I-NP', 'O')
('ues', 'ue', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('both', 'both', 'DT', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('very', 'very', 'RB', 'B-ADJP', 'O')
('small,', 'small,', 'RB', 'I-ADJP', 'O')
('less', 'less', 'JJR', 'I-ADJP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('107,', '107,', 'CD', 'B-NP', 'O')
('suggesting', 'suggest', 'VBG', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('both', 'both', 'DT', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('significantly', 'significantly', 'RB', 'B-NP', 'O')
('different', 'different', 'JJ', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('treatments.', 'treatments.', 'NN', 'B-NP', 'O')
A closer look, however, is revealing.
('A', 'A', 'DT', 'B-NP', 'O')
('closer', 'close', 'JJR', 'I-NP', 'O')
('look,', 'look,', 'NN', 'I-NP', 'O')
('however,', 'however,', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('revealing.', 'revealing.', 'RB', 'B-ADVP', 'O')
The gene 265670_s_at has a very large mean square treatment effect, 4.9763, and a small mean square error, resulting in a high F value and low p-value.
('The', 'The', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('265670_s_at', '265670_s_at', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('very', 'very', 'RB', 'I-NP', 'O')
('large', 'large', 'JJ', 'I-NP', 'O')
('mean', 'mean', 'JJ', 'I-NP', 'O')
('square', 'square', 'JJ', 'I-NP', 'O')
('treatment', 'treatment', 'NN', 'I-NP', 'O')
('effect,', 'effect,', 'NN', 'I-NP', 'O')
('4.9763,', '4.9763,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('small', 'small', 'JJ', 'I-NP', 'O')
('mean', 'mean', 'JJ', 'I-NP', 'O')
('square', 'square', 'NN', 'I-NP', 'O')
('error,', 'error,', 'NN', 'I-NP', 'O')
('resulting', 'result', 'VBG', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('high', 'high', 'JJ', 'I-NP', 'O')
('F', 'F', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('low', 'low', 'JJ', 'B-NP', 'O')
('p-value.', 'p-value.', 'NN', 'I-NP', 'O')
In contrast, the gene 249093_at has a small mean square treatment effect, 0.1653, and a very small mean square error effect, 0.0001, which also yields a high F value and low p-value.
('In', 'In', 'IN', 'B-PP', 'O')
('contrast,', 'contrast,', 'NN', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('249093_at', '249093_at', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('small', 'small', 'JJ', 'I-NP', 'O')
('mean', 'mean', 'JJ', 'I-NP', 'O')
('square', 'square', 'JJ', 'I-NP', 'O')
('treatment', 'treatment', 'NN', 'I-NP', 'O')
('effect,', 'effect,', 'NN', 'I-NP', 'O')
('0.1653,', '0.1653,', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('very', 'very', 'RB', 'I-NP', 'O')
('small', 'small', 'JJ', 'I-NP', 'O')
('mean', 'mean', 'JJ', 'I-NP', 'O')
('square', 'square', 'JJ', 'I-NP', 'O')
('error', 'error', 'NN', 'I-NP', 'O')
('effect,', 'effect,', 'NN', 'I-NP', 'O')
('0.0001,', '0.0001,', 'CD', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('yields', 'yield', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('high', 'high', 'JJ', 'I-NP', 'O')
('F', 'F', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('low', 'low', 'JJ', 'B-NP', 'O')
('p-value.', 'p-value.', 'NN', 'I-NP', 'O')
The profiles of these two genes are also plotted in Fig.
('The', 'The', 'DT', 'B-NP', 'O')
('profiles', 'profile', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('two', 'two', 'CD', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('also', 'also', 'RB', 'I-VP', 'O')
('plotted', 'plot', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Fig.', 'Fig.', 'NNP', 'B-NP', 'O')
1.
('1.', '1.', 'LS', 'B-LST', 'O')
Although both genes are significant according to the ANOVA table, the genes are not alike.
('Although', 'Although', 'IN', 'B-SBAR', 'O')
('both', 'both', 'DT', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('significant', 'significant', 'JJ', 'B-ADJP', 'O')
('according', 'accord', 'VBG', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('ANOVA', 'ANOVA', 'NN', 'I-NP', 'O')
('table,', 'table,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('not', 'not', 'RB', 'O', 'O')
('alike.', 'alike.', 'RB', 'B-ADVP', 'O')
One gene has very flat profiles, which makes it less interesting than the other gene.
('One', 'One', 'CD', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('very', 'very', 'RB', 'B-NP', 'O')
('flat', 'flat', 'JJ', 'I-NP', 'O')
('profiles,', 'profiles,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('makes', 'make', 'VBZ', 'B-VP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('less', 'less', 'RBR', 'B-ADJP', 'O')
('interesting', 'interesting', 'JJ', 'I-ADJP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('other', 'other', 'JJ', 'I-NP', 'O')
('gene.', 'gene.', 'NN', 'I-NP', 'O')
The two genes have another difference.
('The', 'The', 'DT', 'B-NP', 'O')
('two', 'two', 'CD', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('another', 'another', 'DT', 'B-NP', 'O')
('difference.', 'difference.', 'NN', 'I-NP', 'O')
The profiles of the PM values are also shown in Fig.
('The', 'The', 'DT', 'B-NP', 'O')
('profiles', 'profile', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('PM', 'PM', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('also', 'also', 'RB', 'I-VP', 'O')
('shown', 'show', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Fig.', 'Fig.', 'NNP', 'B-NP', 'O')
1.
('1.', '1.', 'LS', 'B-LST', 'O')
The gene 249093_at has a lot more variability in PM values than 265670_s_at.
('The', 'The', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('249093_at', '249093_at', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('lot', 'lot', 'NN', 'I-NP', 'O')
('more', 'more', 'JJR', 'B-NP', 'O')
('variability', 'variability', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('PM', 'PM', 'NN', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('265670_s_at.', '265670_s_at.', 'CD', 'B-NP', 'O')
The variability in the PM value should be incorporated into a model for detecting significant expression differences.
('The', 'The', 'DT', 'B-NP', 'O')
('variability', 'variability', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('PM', 'PM', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('should', 'should', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('incorporated', 'incorporate', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('detecting', 'detect', 'VBG', 'B-VP', 'O')
('significant', 'significant', 'JJ', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('differences.', 'differences.', 'NNS', 'I-NP', 'O')
Chu et al.
('Chu', 'Chu', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.', 'al.', 'FW', 'I-NP', 'O')
(2002) proposed using the HLM for oneway ANOVA, which is a classical linear mixed model, incorporating probe-level data, for modeling expression.
('(2002)', '(2002)', 'LS', 'B-LST', 'O')
('proposed', 'propose', 'VBN', 'B-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('HLM', 'HLM', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('oneway', 'oneway', 'NN', 'B-NP', 'O')
('ANOVA,', 'ANOVA,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('classical', 'classical', 'JJ', 'I-NP', 'O')
('linear', 'linear', 'JJ', 'I-NP', 'O')
('mixed', 'mix', 'VBN', 'I-NP', 'O')
('model,', 'model,', 'NN', 'I-NP', 'O')
('incorporating', 'incorporate', 'VBG', 'B-VP', 'O')
('probe-level', 'probe-level', 'JJ', 'B-NP', 'O')
('data,', 'data,', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('modeling', 'modeling', 'NN', 'B-NP', 'O')
('expression.', 'expression.', 'NN', 'I-NP', 'O')
To fit the model, they use standard maximum likelihood (ML) methods using the Proc Mixed procedure in SAS and apply it for each gene.
('To', 'To', 'TO', 'B-VP', 'O')
('fit', 'fit', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('model,', 'model,', 'NN', 'I-NP', 'O')
('they', 'they', 'PRP', 'B-NP', 'O')
('use', 'use', 'VBP', 'B-VP', 'O')
('standard', 'standard', 'JJ', 'B-NP', 'O')
('maximum', 'maximum', 'JJ', 'I-NP', 'O')
('likelihood', 'likelihood', 'NN', 'I-NP', 'O')
('(ML)', '(ML)', 'NN', 'I-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Proc', 'Proc', 'NNP', 'I-NP', 'O')
('Mixed', 'Mixed', 'NNP', 'I-NP', 'O')
('procedure', 'procedure', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('SAS', 'SAS', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('apply', 'apply', 'VB', 'B-VP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('gene.', 'gene.', 'NN', 'I-NP', 'O')
They also estimate the summary values from this model and use them for further analysis, like clustering.
('They', 'They', 'PRP', 'B-NP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('estimate', 'estimate', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('use', 'use', 'VB', 'B-VP', 'O')
('them', 'them', 'PRP', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('further', 'far', 'JJR', 'B-NP', 'O')
('analysis,', 'analysis,', 'NN', 'I-NP', 'O')
('like', 'like', 'IN', 'B-PP', 'O')
('clustering.', 'clustering.', 'NN', 'B-NP', 'O')
However, ML fitting for the model might be too sensitive to outliers.
('However,', 'However,', 'NNP', 'B-NP', 'O')
('ML', 'ML', 'NNP', 'I-NP', 'O')
('fitting', 'fit', 'VBG', 'B-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('might', 'might', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('too', 'too', 'RB', 'B-ADJP', 'O')
('sensitive', 'sensitive', 'JJ', 'I-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('outliers.', 'outliers.', 'VB', 'I-VP', 'O')
Fig.
('Fig.', 'Fig.', 'NNP', 'B-NP', 'O')
2 shows the difference between RMA summary values and summary values from the HLM model for two genes, 265670_s_at (■) and 249093_at (○).
('2', '2', 'CD', 'B-NP', 'O')
('shows', 'show', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('difference', 'difference', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('RMA', 'RMA', 'NN', 'B-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('summary', 'summary', 'NN', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('HLM', 'HLM', 'NN', 'I-NP', 'B-cell_line')
('model', 'model', 'NN', 'I-NP', 'I-cell_line')
('for', 'for', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('genes,', 'genes,', 'NN', 'I-NP', 'O')
('265670_s_at', '265670_s_at', 'NN', 'I-NP', 'O')
('(■)', '(■)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('249093_at', '249093_at', 'NN', 'I-NP', 'O')
('(○).', '(○).', 'LS', 'O', 'O')
For 265670_s_at, the estimated values from the HLM model are similar to the RMA summary values.
('For', 'For', 'IN', 'B-PP', 'O')
('265670_s_at,', '265670_s_at,', 'CD', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('estimated', 'estimate', 'VBN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('HLM', 'HLM', 'NN', 'I-NP', 'B-cell_line')
('model', 'model', 'NN', 'I-NP', 'I-cell_line')
('are', 'be', 'VBP', 'B-VP', 'O')
('similar', 'similar', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('RMA', 'RMA', 'NN', 'I-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('values.', 'values.', 'NN', 'I-NP', 'O')
However, the gene 249093_at, which has more varied PM values, shows quite different estimated values from the HLM model compared to the RMA summary values.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('249093_at,', '249093_at,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('more', 'more', 'RBR', 'B-NP', 'O')
('varied', 'varied', 'JJ', 'I-NP', 'O')
('PM', 'PM', 'NN', 'I-NP', 'O')
('values,', 'values,', 'NN', 'I-NP', 'O')
('shows', 'show', 'VBZ', 'B-VP', 'O')
('quite', 'quite', 'RB', 'B-NP', 'O')
('different', 'different', 'JJ', 'I-NP', 'O')
('estimated', 'estimate', 'VBN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('HLM', 'HLM', 'NN', 'I-NP', 'B-cell_line')
('model', 'model', 'NN', 'I-NP', 'I-cell_line')
('compared', 'compare', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('RMA', 'RMA', 'NN', 'I-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('values.', 'values.', 'NN', 'I-NP', 'O')
This is due to the variation in the PM values.
('This', 'This', 'DT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('due', 'due', 'IN', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('variation', 'variation', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('PM', 'PM', 'NN', 'I-NP', 'O')
('values.', 'values.', 'NN', 'I-NP', 'O')
In this paper, we define the reliability of a summary gene expression value using the variation of probelevel data and show how to use this reliability measure with models for gene expression analysis and associated variance modifications, such as SAM (Tusher et al., 2001) and eBayes (Smyth, 2004).
('In', 'In', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('paper,', 'paper,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('define', 'define', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('reliability', 'reliability', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('variation', 'variation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('probelevel', 'probelevel', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('show', 'show', 'VB', 'B-VP', 'O')
('how', 'how', 'WRB', 'B-ADVP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('use', 'use', 'VB', 'I-VP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('reliability', 'reliability', 'NN', 'I-NP', 'O')
('measure', 'measure', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('models', 'model', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
