A Computer-aided Design Tool with Semiautomatic Image-Processing Features for Visualizing Biological Pathways.
('A', 'A', 'DT', 'B-NP', 'O')
('initially', 'initially', 'RB', 'I-VP', 'O')
('displayed', 'display', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('additional', 'additional', 'JJ', 'B-NP', 'O')
('windows', 'window', 'NNS', 'I-NP', 'O')
('below', 'below', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('main', 'main', 'JJ', 'I-NP', 'O')
('editing', 'editing', 'NN', 'I-NP', 'O')
('window,', 'window,', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Fig.', 'Fig.', 'NNP', 'B-NP', 'O')
2a.
('2a.', '2a.', 'LS', 'B-LST', 'O')
They will be semiautomatically processed, converted into an XML format, and displayed in the main editing window, as in Fig.
('They', 'They', 'PRP', 'B-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('semiautomatically', 'semiautomatically', 'RB', 'B-NP', 'O')
('processed,', 'processed,', 'NN', 'I-NP', 'O')
('converted', 'convert', 'VBN', 'B-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('XML', 'XML', 'NN', 'I-NP', 'B-DNA')
('format,', 'format,', 'NN', 'I-NP', 'I-DNA')
('and', 'and', 'CC', 'O', 'O')
('displayed', 'display', 'VBD', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('main', 'main', 'JJ', 'I-NP', 'O')
('editing', 'editing', 'NN', 'I-NP', 'O')
('window,', 'window,', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Fig.', 'Fig.', 'NNP', 'B-NP', 'O')
2b.
('2b.', '2b.', 'LS', 'B-LST', 'O')
Each node and edge in the original image has to be confirmed by a user, one by one; double-clicking on any line or image nodes in the bottom window will result in the Object in the editor window.
('Each', 'Each', 'DT', 'B-NP', 'O')
('node', 'node', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('edge', 'edge', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('original', 'original', 'JJ', 'I-NP', 'O')
('image', 'image', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('confirmed', 'confirm', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('user,', 'user,', 'NN', 'I-NP', 'O')
('one', 'one', 'CD', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('one;', 'one;', 'NN', 'B-NP', 'O')
('double-clicking', 'double-clicking', 'JJ', 'B-ADJP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('line', 'line', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('image', 'image', 'NN', 'I-NP', 'O')
('nodes', 'node', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('bottom', 'bottom', 'NN', 'I-NP', 'O')
('window', 'window', 'NN', 'I-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('result', 'result', 'VB', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Object', 'Object', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('editor', 'editor', 'NN', 'I-NP', 'O')
('window.', 'window.', 'NN', 'I-NP', 'O')
By selecting an appropriate node type from the popup window, the user can create a new object in the main window.
('By', 'By', 'IN', 'B-PP', 'O')
('selecting', 'select', 'VBG', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('appropriate', 'appropriate', 'JJ', 'I-NP', 'O')
('node', 'node', 'NN', 'I-NP', 'O')
('type', 'type', 'NN', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('popup', 'popup', 'NN', 'I-NP', 'O')
('window,', 'window,', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('user', 'user', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('create', 'create', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('new', 'new', 'JJ', 'I-NP', 'O')
('object', 'object', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('main', 'main', 'JJ', 'I-NP', 'O')
('window.', 'window.', 'NN', 'I-NP', 'O')
The types and shapes of nodes are predefined.
('The', 'The', 'DT', 'B-NP', 'O')
('types', 'type', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('shapes', 'shape', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('nodes', 'node', 'NNS', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('predefined.', 'predefined.', 'JJ', 'B-ADJP', 'O')
The node types include proteinnode, chemical compoundnode, DNAnode, RNAnode, enzyme node, and others.
('The', 'The', 'DT', 'B-NP', 'O')
('node', 'node', 'NN', 'I-NP', 'O')
('types', 'type', 'NNS', 'I-NP', 'O')
('include', 'include', 'VBP', 'B-VP', 'O')
('proteinnode,', 'proteinnode,', 'NN', 'B-NP', 'O')
('chemical', 'chemical', 'NN', 'I-NP', 'O')
('compoundnode,', 'compoundnode,', 'NN', 'I-NP', 'O')
('DNAnode,', 'DNAnode,', 'NN', 'I-NP', 'O')
('RNAnode,', 'RNAnode,', 'NN', 'I-NP', 'O')
('enzyme', 'enzyme', 'NN', 'I-NP', 'O')
('node,', 'node,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('others.', 'others.', 'NN', 'B-NP', 'O')
In addition, users can define their own node type.
('In', 'In', 'IN', 'B-PP', 'O')
('addition,', 'addition,', 'NN', 'B-NP', 'O')
('users', 'user', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('define', 'define', 'VB', 'I-VP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('own', 'own', 'JJ', 'I-NP', 'O')
('node', 'node', 'NN', 'I-NP', 'O')
('type.', 'type.', 'NN', 'I-NP', 'O')
By selecting the exact concept from the popup menu, the user can specify an  appropriate edge type, too.
('By', 'By', 'IN', 'B-PP', 'O')
('selecting', 'select', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('exact', 'exact', 'JJ', 'I-NP', 'O')
('concept', 'concept', 'NN', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('popup', 'popup', 'NN', 'I-NP', 'O')
('menu,', 'menu,', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('user', 'user', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('specify', 'specify', 'VB', 'I-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('appropriate', 'appropriate', 'JJ', 'I-NP', 'O')
('edge', 'edge', 'NN', 'I-NP', 'O')
('type,', 'type,', 'NN', 'I-NP', 'O')
('too.', 'too.', 'NN', 'I-NP', 'O')
KEGG and BioCARTA visualize pathways in a static way.
('KEGG', 'KEGG', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('BioCARTA', 'BioCARTA', 'NN', 'I-NP', 'B-protein')
('visualize', 'visualize', 'VBP', 'B-VP', 'O')
('pathways', 'pathway', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('static', 'static', 'JJ', 'I-NP', 'O')
('way.', 'way.', 'NN', 'I-NP', 'O')
Pathway diagrams are manually drawn and stored as bitmap image files.
('Pathway', 'Pathway', 'NN', 'B-NP', 'O')
('diagrams', 'diagram', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('manually', 'manually', 'RB', 'I-VP', 'O')
('drawn', 'draw', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('stored', 'store', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('bitmap', 'bitmap', 'NN', 'B-NP', 'O')
('image', 'image', 'NN', 'I-NP', 'O')
('files.', 'files.', 'NNS', 'I-NP', 'O')
While this visualization style offers good pathway representation, it does not provide the facilities to create and visualize dynamic pathways.
('While', 'While', 'IN', 'B-SBAR', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('visualization', 'visualization', 'NN', 'I-NP', 'O')
('style', 'style', 'NN', 'I-NP', 'O')
('offers', 'offer', 'VBZ', 'B-VP', 'O')
('good', 'good', 'JJ', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('representation,', 'representation,', 'NN', 'I-NP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('does', 'do', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('provide', 'provide', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('facilities', 'facility', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('create', 'create', 'VB', 'I-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('visualize', 'visualize', 'VB', 'I-VP', 'O')
('dynamic', 'dynamic', 'JJ', 'B-NP', 'O')
('pathways.', 'pathways.', 'NNS', 'I-NP', 'O')
Fortunately, KEGG also provides XML files.
('Fortunately,', 'Fortunately,', 'NNP', 'B-NP', 'O')
('KEGG', 'KEGG', 'NNP', 'I-NP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('XML', 'XML', 'NN', 'B-NP', 'B-protein')
('files.', 'files.', 'NNS', 'I-NP', 'I-protein')
In the case that layout information is not provided in the XML file, an automatic layout module will be applied to display biological pathways.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('case', 'case', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('layout', 'layout', 'VBD', 'B-VP', 'O')
('information', 'information', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('provided', 'provide', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('XML', 'XML', 'NN', 'I-NP', 'O')
('file,', 'file,', 'VBD', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('automatic', 'automatic', 'JJ', 'I-NP', 'O')
('layout', 'layout', 'NN', 'I-NP', 'O')
('module', 'module', 'NN', 'I-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('applied', 'apply', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('display', 'display', 'VB', 'I-VP', 'O')
('biological', 'biological', 'JJ', 'B-NP', 'O')
('pathways.', 'pathways.', 'NNS', 'I-NP', 'O')
However, there are cases in which XML files are not provided in many other databases.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('cases', 'case', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('XML', 'XML', 'NN', 'B-NP', 'O')
('files', 'file', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('provided', 'provide', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('other', 'other', 'JJ', 'I-NP', 'O')
('databases.', 'databases.', 'NNS', 'I-NP', 'O')
In this case, we have to convert an image file directly to an XML file.
('In', 'In', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('case,', 'case,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('convert', 'convert', 'VB', 'I-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('image', 'image', 'NN', 'I-NP', 'O')
('file', 'file', 'NN', 'I-NP', 'O')
('directly', 'directly', 'RB', 'B-ADVP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('XML', 'XML', 'NN', 'I-NP', 'O')
('file.', 'file.', 'NN', 'I-NP', 'O')
In this paper, a computeraided approach to modify biological pathways, both in image and XML file format, is presented.
('In', 'In', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('paper,', 'paper,', 'NN', 'I-NP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('computeraided', 'computeraided', 'JJ', 'I-NP', 'O')
('approach', 'approach', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('modify', 'modify', 'VB', 'I-VP', 'O')
('biological', 'biological', 'JJ', 'B-NP', 'O')
('pathways,', 'pathways,', 'NN', 'I-NP', 'O')
('both', 'both', 'CC', 'B-PP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('image', 'image', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('XML', 'XML', 'NN', 'I-NP', 'O')
('file', 'file', 'NN', 'I-NP', 'O')
('format,', 'format,', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('presented.', 'presented.', 'VBN', 'I-VP', 'O')
To the best of our knowledge, we have not found any attempt to process biological pathway            images within the CAD environment.
('To', 'To', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('best', 'good', 'JJS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('knowledge,', 'knowledge,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('found', 'find', 'VBN', 'I-VP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('attempt', 'attempt', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('process', 'process', 'VB', 'I-VP', 'O')
('biological', 'biological', 'JJ', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('images', 'image', 'NNS', 'I-NP', 'O')
('within', 'within', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('CAD', 'CAD', 'NN', 'I-NP', 'O')
('environment.', 'environment.', 'NN', 'I-NP', 'O')
However, there are some thorny issues that need to be solved to fully automate this process.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('thorny', 'thorny', 'JJ', 'I-NP', 'O')
('issues', 'issue', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('need', 'need', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('solved', 'solve', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('fully', 'fully', 'RB', 'I-VP', 'O')
('automate', 'automate', 'VB', 'I-VP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('process.', 'process.', 'NN', 'I-NP', 'O')
Especially, an optical character recognition module should be added in the future to recognize characters in the image.
('Especially,', 'Especially,', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('optical', 'optical', 'JJ', 'I-NP', 'O')
('character', 'character', 'NN', 'I-NP', 'O')
('recognition', 'recognition', 'NN', 'I-NP', 'O')
('module', 'module', 'NN', 'I-NP', 'O')
('should', 'should', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('added', 'add', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('future', 'future', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('recognize', 'recognize', 'VB', 'I-VP', 'O')
('characters', 'character', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('image.', 'image.', 'NN', 'I-NP', 'O')
Currently, the characters in the original images are filtered out, and the names and types of each node are manually annotated by humans in a later process, as in Fig.
('Currently,', 'Currently,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('characters', 'character', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('original', 'original', 'JJ', 'I-NP', 'O')
('images', 'image', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('filtered', 'filter', 'VBN', 'I-VP', 'O')
('out,', 'out,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('names', 'name', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('types', 'type', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('node', 'node', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('manually', 'manually', 'RB', 'I-VP', 'O')
('annotated', 'annotate', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('humans', 'human', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('later', 'later', 'JJ', 'I-NP', 'O')
('process,', 'process,', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Fig.', 'Fig.', 'NNP', 'B-NP', 'O')
3.
('3.', '3.', 'LS', 'B-LST', 'O')
Once the characters can be recognized, the naming process of each node, by human intervention, can be fully automated in the majority of cases.
('Once', 'Once', 'RB', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('characters', 'character', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('recognized,', 'recognized,', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('naming', 'naming', 'JJ', 'I-NP', 'O')
('process', 'process', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('node,', 'node,', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'B-protein')
('intervention,', 'intervention,', 'NN', 'I-NP', 'I-protein')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('fully', 'fully', 'RB', 'I-VP', 'O')
('automated', 'automate', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('majority', 'majority', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cases.', 'cases.', 'NN', 'B-NP', 'O')
