AKAPDB: A-Kinase Anchoring Proteins Database.
AKAPDB can be useful to researchers by providing AKAPs information and integrated understanding of these diverse proteins.
('AKAPDB', 'AKAPDB', 'NN', 'B-NP', 'B-protein')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('useful', 'useful', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('researchers', 'researcher', 'NNS', 'B-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('providing', 'provide', 'VBG', 'B-VP', 'O')
('AKAPs', 'AKAP', 'NNS', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('integrated', 'integrate', 'VBN', 'B-NP', 'O')
('understanding', 'understanding', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('diverse', 'diverse', 'JJ', 'I-NP', 'O')
('proteins.', 'proteins.', 'NN', 'I-NP', 'O')
Raw data and information for AKAPDB were collected from a primary database such as NCBI.
('Raw', 'Raw', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('AKAPDB', 'AKAPDB', 'NN', 'B-NP', 'B-protein')
('were', 'be', 'VBD', 'B-VP', 'O')
('collected', 'collect', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('NCBI.', 'NCBI.', 'NN', 'B-NP', 'B-protein')
And the pub  lished scientific literatures resulted from queries with the terms ‘A-kinase-anchoring proteins’ and ‘AKAP’ were collected from PubMed (Wheeler et al., 2003) and Google Scholar.
('And', 'And', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('pub', 'pub', 'NN', 'I-NP', 'B-DNA')
('lished', 'lishe', 'VBD', 'B-VP', 'O')
('scientific', 'scientific', 'JJ', 'B-NP', 'O')
('literatures', 'literature', 'NNS', 'I-NP', 'O')
('resulted', 'result', 'VBD', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('queries', 'query', 'NNS', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('terms', 'term', 'NNS', 'I-NP', 'O')
('‘A-kinase-anchoring', '‘A-kinase-anchoring', 'JJ', 'I-NP', 'B-protein')
('proteins’', 'proteins’', 'NN', 'I-NP', 'I-protein')
('and', 'and', 'CC', 'I-NP', 'O')
('‘AKAP’', '‘AKAP’', 'NN', 'I-NP', 'B-protein')
('were', 'be', 'VBD', 'B-VP', 'O')
('collected', 'collect', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('PubMed', 'PubMed', 'NNP', 'B-NP', 'O')
('(Wheeler', '(Wheeler', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2003)', '2003)', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Google', 'Google', 'NNP', 'B-NP', 'O')
('Scholar.', 'Scholar.', 'NNP', 'I-NP', 'O')
Articles that have been identified to contain information suitable for the database were used to serve as the primary source for data in AKAPDB.
('Articles', 'Article', 'NNS', 'B-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('identified', 'identify', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('contain', 'contain', 'VB', 'I-VP', 'O')
('information', 'information', 'NN', 'B-NP', 'O')
('suitable', 'suitable', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('serve', 'serve', 'VB', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'O')
('source', 'source', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('AKAPDB.', 'AKAPDB.', 'NNP', 'B-NP', 'O')
Basic information, such as ‘Official symbol’, ‘Preferred Names’, ‘Other names’, ‘Organism’, ‘Function’, ‘mRNA’, and ‘Protein’, were collected from NCBI.
('Basic', 'Basic', 'JJ', 'B-NP', 'O')
('information,', 'information,', 'NN', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('‘Official', '‘Official', 'NNP', 'B-NP', 'O')
('symbol’,', 'symbol’,', 'VBD', 'B-VP', 'O')
('‘Preferred', '‘Preferred', 'NNP', 'B-NP', 'O')
('Names’,', 'Names’,', 'NNP', 'I-NP', 'O')
('‘Other', '‘Other', 'NNP', 'I-NP', 'O')
('names’,', 'names’,', 'VBD', 'B-VP', 'O')
('‘Organism’,', '‘Organism’,', 'NNP', 'B-NP', 'O')
('‘Function’,', '‘Function’,', 'NNP', 'I-NP', 'O')
('‘mRNA’,', '‘mRNA’,', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('‘Protein’,', '‘Protein’,', 'NNP', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('collected', 'collect', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('NCBI.', 'NCBI.', 'NN', 'B-NP', 'B-protein')
Cellular localization of AKAPs was collected from LOCATE (Fink et al., 2006) and eSLDB (Pierleoni et al., 2006).
('Cellular', 'Cellular', 'JJ', 'B-NP', 'O')
('localization', 'localization', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('AKAPs', 'AKAP', 'NNS', 'B-NP', 'B-protein')
('was', 'be', 'VBD', 'B-VP', 'O')
('collected', 'collect', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('LOCATE', 'LOCATE', 'NNP', 'B-NP', 'O')
('(Fink', '(Fink', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2006)', '2006)', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('eSLDB', 'eSLDB', 'NN', 'B-NP', 'O')
('(Pierleoni', '(Pierleoni', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2006).', '2006).', 'CD', 'B-NP', 'O')
And GPS 2.1 (Xue et al., 2008; Xue and Ren, 2009) served phosphorylation site which is important for function of AKAPs.
('And', 'And', 'CC', 'O', 'O')
('GPS', 'GPS', 'NNP', 'B-NP', 'B-protein')
('2.1', '2.1', 'CD', 'I-NP', 'I-protein')
('(Xue', '(Xue', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2008;', '2008;', ':', 'O', 'O')
('Xue', 'Xue', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Ren,', 'Ren,', 'NNP', 'I-NP', 'O')
('2009)', '2009)', 'CD', 'I-NP', 'O')
('served', 'serve', 'VBD', 'B-VP', 'O')
('phosphorylation', 'phosphorylation', 'NN', 'B-NP', 'B-protein')
('site', 'site', 'NN', 'I-NP', 'I-protein')
('which', 'which', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('important', 'important', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('function', 'function', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('AKAPs.', 'AKAPs.', 'NN', 'B-NP', 'B-protein')
SMART (Letunic et al., 2008) provides the prediction of domain.
('SMART', 'SMART', 'NNP', 'B-NP', 'O')
('(Letunic', '(Letunic', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'NN', 'I-NP', 'O')
('2008)', '2008)', 'CD', 'I-NP', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('prediction', 'prediction', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('domain.', 'domain.', 'NN', 'B-NP', 'O')
In addition, the predicted zebrafish AKAP partial sequences were derived from MegaBLAST (Wheeler et al., 2006).
('In', 'In', 'IN', 'B-PP', 'O')
('addition,', 'addition,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('predicted', 'predict', 'VBN', 'I-NP', 'O')
('zebrafish', 'zebrafish', 'NN', 'I-NP', 'B-DNA')
('AKAP', 'AKAP', 'NN', 'I-NP', 'I-DNA')
('partial', 'partial', 'JJ', 'I-NP', 'I-DNA')
('sequences', 'sequence', 'NNS', 'I-NP', 'I-DNA')
('were', 'be', 'VBD', 'B-VP', 'O')
('derived', 'derive', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('MegaBLAST', 'MegaBLAST', 'NNP', 'B-NP', 'O')
('(Wheeler', '(Wheeler', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2006).', '2006).', 'CD', 'B-NP', 'O')
AKAPDB focuses on the diverse protein function and cellular location.
('AKAPDB', 'AKAPDB', 'NN', 'B-NP', 'B-protein')
('focuses', 'focus', 'VBZ', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('diverse', 'diverse', 'JJ', 'I-NP', 'O')
('protein', 'protein', 'NN', 'I-NP', 'O')
('function', 'function', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('cellular', 'cellular', 'JJ', 'B-NP', 'O')
('location.', 'location.', 'NN', 'I-NP', 'O')
The records of AKAPDB consisted of diverse AKAPs.
('The', 'The', 'DT', 'B-NP', 'O')
('records', 'record', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('AKAPDB', 'AKAPDB', 'NN', 'B-NP', 'B-protein')
('consisted', 'consist', 'VBD', 'B-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('diverse', 'diverse', 'JJ', 'B-NP', 'O')
('AKAPs.', 'AKAPs.', 'NNS', 'I-NP', 'O')
Each of them contained 16 fields, including information on name, cellular localization, function, species, mRNA sequence, protein sequence, putative phosphorylation site and predicted zebrafish AKAP partial sequences.
('Each', 'Each', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('them', 'them', 'PRP', 'B-NP', 'O')
('contained', 'contain', 'VBD', 'B-VP', 'O')
('16', '16', 'CD', 'B-NP', 'O')
('fields,', 'fields,', 'NN', 'I-NP', 'O')
('including', 'include', 'VBG', 'B-PP', 'O')
('information', 'information', 'NN', 'B-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('name,', 'name,', 'NN', 'B-NP', 'O')
('cellular', 'cellular', 'JJ', 'I-NP', 'O')
('localization,', 'localization,', 'NN', 'I-NP', 'O')
('function,', 'function,', 'NN', 'I-NP', 'O')
('species,', 'species,', 'NN', 'I-NP', 'O')
('mRNA', 'mRNA', 'NN', 'I-NP', 'O')
('sequence,', 'sequence,', 'NN', 'I-NP', 'O')
('protein', 'protein', 'NN', 'I-NP', 'O')
('sequence,', 'sequence,', 'NN', 'I-NP', 'O')
('putative', 'putative', 'JJ', 'I-NP', 'O')
('phosphorylation', 'phosphorylation', 'NN', 'I-NP', 'B-protein')
('site', 'site', 'NN', 'I-NP', 'I-protein')
('and', 'and', 'CC', 'O', 'O')
('predicted', 'predict', 'VBD', 'B-VP', 'O')
('zebrafish', 'zebrafish', 'NN', 'B-NP', 'B-protein')
('AKAP', 'AKAP', 'NN', 'I-NP', 'I-protein')
('partial', 'partial', 'JJ', 'I-NP', 'O')
('sequences.', 'sequences.', 'NNS', 'I-NP', 'O')
Therefore, users can retrieve the data corresponding with names, Gene IDs, Protein IDs and species.
('Therefore,', 'Therefore,', 'DT', 'B-NP', 'O')
('users', 'user', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('retrieve', 'retrieve', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('corresponding', 'correspond', 'VBG', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('names,', 'names,', 'NN', 'B-NP', 'O')
('Gene', 'Gene', 'NNP', 'I-NP', 'O')
('IDs,', 'IDs,', 'NNP', 'I-NP', 'O')
('Protein', 'Protein', 'NNP', 'I-NP', 'O')
('IDs', 'IDs', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('species.', 'species.', 'NN', 'B-NP', 'O')
Structure of data is made up ‘Isoforms’, ‘Gene ID’, ‘Official symbol’, ‘Function’, ‘Preferred Names’, ‘Other names’, ‘Cellular localizations’, ‘Organism’, ‘mRNA ID’, ‘mRNA sequence’, ‘mRNA length’, ‘Protein ID’, ‘Protein sequence’, ‘Protein length’ and ‘Putative zebrafish AKAP’.
('Structure', 'Structure', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('made', 'make', 'VBN', 'I-VP', 'O')
('up', 'up', 'RP', 'B-PRT', 'O')
('‘Isoforms’,', '‘Isoforms’,', 'NNP', 'B-NP', 'B-RNA')
('‘Gene', '‘Gene', 'NNP', 'I-NP', 'I-RNA')
('ID’,', 'ID’,', 'NNP', 'I-NP', 'I-RNA')
('‘Official', '‘Official', 'NNP', 'I-NP', 'I-RNA')
('symbol’,', 'symbol’,', 'VBD', 'B-VP', 'I-RNA')
('‘Function’,', '‘Function’,', 'NNP', 'B-NP', 'I-RNA')
('‘Preferred', '‘Preferred', 'NNP', 'I-NP', 'I-RNA')
('Names’,', 'Names’,', 'NNP', 'I-NP', 'I-RNA')
('‘Other', '‘Other', 'NNP', 'I-NP', 'I-RNA')
('names’,', 'names’,', 'VBD', 'B-VP', 'I-RNA')
('‘Cellular', '‘Cellular', 'NNP', 'B-NP', 'I-RNA')
('localizations’,', 'localizations’,', 'NN', 'I-NP', 'I-RNA')
('‘Organism’,', '‘Organism’,', 'NNP', 'I-NP', 'I-RNA')
('‘mRNA', '‘mRNA', 'NNP', 'I-NP', 'I-RNA')
('ID’,', 'ID’,', 'NNP', 'I-NP', 'I-RNA')
('‘mRNA', '‘mRNA', 'NNP', 'I-NP', 'I-RNA')
('sequence’,', 'sequence’,', 'NN', 'I-NP', 'I-RNA')
('‘mRNA', '‘mRNA', 'NNP', 'I-NP', 'I-RNA')
('length’,', 'length’,', 'VBD', 'B-VP', 'O')
('‘Protein', '‘Protein', 'NNP', 'B-NP', 'O')
('ID’,', 'ID’,', 'NNP', 'I-NP', 'O')
('‘Protein', '‘Protein', 'NNP', 'I-NP', 'O')
('sequence’,', 'sequence’,', 'NN', 'I-NP', 'O')
('‘Protein', '‘Protein', 'NN', 'I-NP', 'O')
('length’', 'length’', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('‘Putative', '‘Putative', 'JJ', 'B-NP', 'O')
('zebrafish', 'zebrafish', 'NN', 'I-NP', 'O')
('AKAP’.', 'AKAP’.', 'NNP', 'B-NP', 'O')
The ‘Cellular localizations’ field represents the functional location of AKAPs in a cell.
('The', 'The', 'DT', 'B-NP', 'O')
('‘Cellular', '‘Cellular', 'JJ', 'I-NP', 'O')
('localizations’', 'localizations’', 'NN', 'I-NP', 'O')
('field', 'field', 'NN', 'I-NP', 'O')
('represents', 'represent', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('functional', 'functional', 'JJ', 'I-NP', 'O')
('location', 'location', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('AKAPs', 'AKAP', 'NNS', 'B-NP', 'B-protein')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('cell.', 'cell.', 'NN', 'I-NP', 'O')
The ‘Putative phosphorylation site’ field serves the functionally important domains of AKAPs.
('The', 'The', 'DT', 'B-NP', 'O')
('‘Putative', '‘Putative', 'JJ', 'I-NP', 'O')
('phosphorylation', 'phosphorylation', 'NN', 'I-NP', 'O')
('site’', 'site’', 'NN', 'I-NP', 'O')
('field', 'field', 'NN', 'I-NP', 'O')
('serves', 'serve', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('functionally', 'functionally', 'RB', 'I-NP', 'O')
('important', 'important', 'JJ', 'I-NP', 'O')
('domains', 'domain', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('AKAPs.', 'AKAPs.', 'NN', 'B-NP', 'B-protein')
And the ‘Domain prediction’ field represents a possible functional region.
('And', 'And', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('‘Domain', '‘Domain', 'NN', 'I-NP', 'O')
('prediction’', 'prediction’', 'NN', 'I-NP', 'O')
('field', 'field', 'NN', 'I-NP', 'O')
('represents', 'represent', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('possible', 'possible', 'JJ', 'I-NP', 'O')
('functional', 'functional', 'JJ', 'I-NP', 'O')
('region.', 'region.', 'NN', 'I-NP', 'O')
Also the 'Putative zebrafish AKAP' field provides potential zebrafish AKAP sequences.
('Also', 'Also', 'RB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
("'Putative", "'Putative", 'JJ', 'I-NP', 'O')
('zebrafish', 'zebrafish', 'NN', 'I-NP', 'O')
("AKAP'", "AKAP'", 'NN', 'I-NP', 'O')
('field', 'field', 'NN', 'I-NP', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('potential', 'potential', 'JJ', 'B-NP', 'O')
('zebrafish', 'zebrafish', 'NN', 'I-NP', 'O')
('AKAP', 'AKAP', 'NN', 'I-NP', 'O')
('sequences.', 'sequences.', 'NN', 'I-NP', 'O')
These fields are linked to NCBI for any additional information.
('These', 'These', 'DT', 'B-NP', 'O')
('fields', 'field', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('linked', 'link', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('NCBI', 'NCBI', 'NNP', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('additional', 'additional', 'JJ', 'I-NP', 'O')
('information.', 'information.', 'NN', 'I-NP', 'O')
AKAPDB contains total 500 records of proteins in all reported eukaryotic species from NCBI and the published scientific literature (Table 1).
('AKAPDB', 'AKAPDB', 'NN', 'B-NP', 'B-protein')
('contains', 'contain', 'VBZ', 'B-VP', 'O')
('total', 'total', 'JJ', 'B-NP', 'O')
('500', '500', 'CD', 'I-NP', 'O')
('records', 'record', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('proteins', 'protein', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('reported', 'report', 'VBN', 'I-NP', 'O')
('eukaryotic', 'eukaryotic', 'JJ', 'I-NP', 'O')
('species', 'specie', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('NCBI', 'NCBI', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('published', 'publish', 'VBN', 'I-NP', 'O')
('scientific', 'scientific', 'JJ', 'I-NP', 'O')
('literature', 'literature', 'NN', 'I-NP', 'O')
('(Table', '(Table', 'JJ', 'I-NP', 'O')
('1).', '1).', 'CD', 'I-NP', 'O')
The records of AKAPDB contained 16 fields, including name, cellular localization, function, species, mRNA sequence, protein sequence, putative phosphorylation site and predicted zebrafish AKAP partial sequences.
('The', 'The', 'DT', 'B-NP', 'O')
('records', 'record', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('AKAPDB', 'AKAPDB', 'NN', 'B-NP', 'B-protein')
('contained', 'contain', 'VBD', 'B-VP', 'O')
('16', '16', 'CD', 'B-NP', 'O')
('fields,', 'fields,', 'NN', 'I-NP', 'O')
('including', 'include', 'VBG', 'B-PP', 'O')
('name,', 'name,', 'NN', 'B-NP', 'O')
('cellular', 'cellular', 'JJ', 'I-NP', 'O')
('localization,', 'localization,', 'NN', 'I-NP', 'O')
('function,', 'function,', 'NN', 'I-NP', 'O')
('species,', 'species,', 'NN', 'I-NP', 'O')
('mRNA', 'mRNA', 'NN', 'I-NP', 'O')
('sequence,', 'sequence,', 'NN', 'I-NP', 'O')
('protein', 'protein', 'NN', 'I-NP', 'O')
('sequence,', 'sequence,', 'NN', 'I-NP', 'O')
('putative', 'putative', 'JJ', 'I-NP', 'O')
('phosphorylation', 'phosphorylation', 'NN', 'I-NP', 'B-protein')
('site', 'site', 'NN', 'I-NP', 'I-protein')
('and', 'and', 'CC', 'O', 'O')
('predicted', 'predict', 'VBD', 'B-VP', 'O')
('zebrafish', 'zebrafish', 'NN', 'B-NP', 'B-protein')
('AKAP', 'AKAP', 'NN', 'I-NP', 'I-protein')
('partial', 'partial', 'JJ', 'I-NP', 'O')
('sequences.', 'sequences.', 'NNS', 'I-NP', 'O')
Users can also obtain the data in accordance with names, Gene IDs, Protein IDs and species.
('Users', 'User', 'NNS', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('also', 'also', 'RB', 'I-VP', 'O')
('obtain', 'obtain', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('accordance', 'accordance', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('names,', 'names,', 'NN', 'B-NP', 'O')
('Gene', 'Gene', 'NNP', 'I-NP', 'O')
('IDs,', 'IDs,', 'NNP', 'I-NP', 'O')
('Protein', 'Protein', 'NNP', 'I-NP', 'O')
('IDs', 'IDs', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('species.', 'species.', 'NN', 'B-NP', 'O')
With query, for example, the database shows the results including ‘Organism’, ‘Official symbol’, ‘Preferred Names’, ‘Gene ID’, ‘mRNA ID’ and ‘Protein ID’ (Fig.
('With', 'With', 'IN', 'B-PP', 'O')
('query,', 'query,', 'NN', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('example,', 'example,', 'NN', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('shows', 'show', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('including', 'include', 'VBG', 'B-PP', 'O')
('‘Organism’,', '‘Organism’,', 'NNP', 'B-NP', 'B-RNA')
('‘Official', '‘Official', 'NNP', 'I-NP', 'I-RNA')
('symbol’,', 'symbol’,', 'VBD', 'B-VP', 'I-RNA')
('‘Preferred', '‘Preferred', 'NNP', 'B-NP', 'I-RNA')
('Names’,', 'Names’,', 'NNP', 'I-NP', 'I-RNA')
('‘Gene', '‘Gene', 'NNP', 'I-NP', 'I-RNA')
('ID’,', 'ID’,', 'NNP', 'I-NP', 'I-RNA')
('‘mRNA', '‘mRNA', 'NNP', 'I-NP', 'I-RNA')
('ID’', 'ID’', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('‘Protein', '‘Protein', 'NNP', 'B-NP', 'O')
('ID’', 'ID’', 'NNP', 'I-NP', 'O')
('(Fig.', '(Fig.', 'NNP', 'I-NP', 'O')
1).
('1).', '1).', 'LS', 'B-LST', 'O')
In addition, users can get more information about the Domain Prediction table and Putative phosphorylation site from AKAPDB (Fig.
('In', 'In', 'IN', 'B-PP', 'O')
('addition,', 'addition,', 'NN', 'B-NP', 'O')
('users', 'user', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('get', 'get', 'VB', 'I-VP', 'O')
('more', 'more', 'JJR', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('about', 'about', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Domain', 'Domain', 'NNP', 'I-NP', 'O')
('Prediction', 'Prediction', 'NN', 'I-NP', 'O')
('table', 'table', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Putative', 'Putative', 'JJ', 'B-NP', 'O')
('phosphorylation', 'phosphorylation', 'NN', 'I-NP', 'O')
('site', 'site', 'NN', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('AKAPDB', 'AKAPDB', 'NNP', 'B-NP', 'O')
('(Fig.', '(Fig.', 'NNP', 'I-NP', 'O')
2).
('2).', '2).', 'LS', 'B-LST', 'O')
Subcellular compartmentalization of protein kinases and phosphatases through association with AKAPs provides mechanism to control signal transduction events at specific sites within a cell (McConnachie et al., 2006).
('Subcellular', 'Subcellular', 'JJ', 'B-NP', 'O')
('compartmentalization', 'compartmentalization', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('protein', 'protein', 'NN', 'B-NP', 'B-protein')
('kinases', 'kinase', 'NNS', 'I-NP', 'I-protein')
('and', 'and', 'CC', 'O', 'O')
('phosphatases', 'phosphatas', 'NNS', 'B-NP', 'B-protein')
('through', 'through', 'IN', 'B-PP', 'O')
('association', 'association', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('AKAPs', 'AKAP', 'NNS', 'B-NP', 'B-protein')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('mechanism', 'mechanism', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('control', 'control', 'VB', 'I-VP', 'O')
('signal', 'signal', 'NN', 'B-NP', 'O')
('transduction', 'transduction', 'NN', 'I-NP', 'O')
('events', 'event', 'NNS', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('specific', 'specific', 'JJ', 'B-NP', 'O')
('sites', 'site', 'NNS', 'I-NP', 'O')
('within', 'within', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('(McConnachie', '(McConnachie', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2006).', '2006).', 'CD', 'B-NP', 'O')
AKAPs are a group of structurally diverse proteins with similar function of binding to the regulatory subunit of PKA within the cell (Michel et al., 2002).
