Application of Decision Tree for the Classification of Antimicrobial PeptideThe purpose of this study was to investigate the use of decision tree for the classification of antimicrobial peptides.
('Application', 'Application', 'NN', 'B-NP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'B-NP', 'B-protein')
('activity,', 'activity,', 'NN', 'I-NP', 'I-protein')
('whereas', 'whereas', 'IN', 'B-PP', 'O')
('those', 'those', 'DT', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('MIC', 'MIC', 'NN', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('above', 'above', 'IN', 'B-PP', 'O')
('40', '40', 'CD', 'B-NP', 'O')
('pM', 'pM', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('grouped', 'group', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('weak', 'weak', 'JJ', 'B-NP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'I-NP', 'O')
('peptides.', 'peptides.', 'NNS', 'I-NP', 'O')
Among the peptide, we used 133 antimicrobial peptides which had MIC values above 40 or below 10 pM against E. coli.
('Among', 'Among', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('peptide,', 'peptide,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('used', 'use', 'VBD', 'B-VP', 'O')
('133', '133', 'CD', 'B-NP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'I-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('had', 'have', 'VBD', 'B-VP', 'O')
('MIC', 'MIC', 'NN', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('above', 'above', 'IN', 'B-PP', 'O')
('40', '40', 'CD', 'B-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('below', 'below', 'IN', 'B-PP', 'O')
('10', '10', 'CD', 'B-NP', 'O')
('pM', 'pM', 'NN', 'I-NP', 'O')
('against', 'against', 'IN', 'B-PP', 'O')
('E.', 'E.', 'NNP', 'B-NP', 'O')
('coli.', 'coli.', 'NN', 'I-NP', 'O')
We excluded data between 10 pM and 40 pM , because it isdifficult to determine strong or weak.
('We', 'We', 'PRP', 'B-NP', 'O')
('excluded', 'exclude', 'VBD', 'B-VP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('10', '10', 'CD', 'B-NP', 'O')
('pM', 'pM', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('40', '40', 'CD', 'I-NP', 'O')
('pM', 'pM', 'NN', 'I-NP', 'O')
(',', ',', ',', 'O', 'O')
('because', 'because', 'IN', 'B-SBAR', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('difficult', 'difficult', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('determine', 'determine', 'VB', 'I-VP', 'O')
('strong', 'strong', 'JJ', 'B-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('weak.', 'weak.', 'JJ', 'I-NP', 'O')
In the same way, we included 102 antimicrobial peptides with MIC values against S. aureus.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('same', 'same', 'JJ', 'I-NP', 'O')
('way,', 'way,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('included', 'include', 'VBD', 'B-VP', 'O')
('102', '102', 'CD', 'B-NP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'I-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('MIC', 'MIC', 'NN', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('against', 'against', 'IN', 'B-PP', 'O')
('S.', 'S.', 'NNP', 'B-NP', 'O')
('aureus.', 'aureus.', '.', 'O', 'O')
The data set of E. coli consists of 74 peptides with strong antimicrobial activity and 59 peptides with weak antimicrobial activity.
('The', 'The', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('E.', 'E.', 'FW', 'B-NP', 'O')
('coli', 'coli', 'FW', 'I-NP', 'O')
('consists', 'consist', 'VBZ', 'B-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('74', '74', 'CD', 'B-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('strong', 'strong', 'JJ', 'B-NP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'I-NP', 'O')
('activity', 'activity', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('59', '59', 'CD', 'B-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('weak', 'weak', 'JJ', 'B-NP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'I-NP', 'O')
('activity.', 'activity.', 'NN', 'I-NP', 'O')
In case of S. aureus, 41 peptides were strong and the rest were weak with respect to their antimicrobial activities.
('In', 'In', 'IN', 'B-PP', 'O')
('case', 'case', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('S.', 'S.', 'NNP', 'B-NP', 'O')
('aureus,', 'aureus,', 'IN', 'B-NP', 'O')
('41', '41', 'CD', 'I-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('strong', 'strong', 'JJ', 'B-ADJP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('rest', 'rest', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('weak', 'weak', 'JJ', 'B-ADJP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('respect', 'respect', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'I-NP', 'O')
('activities.', 'activities.', 'NNS', 'I-NP', 'O')
Decision trees have been applied to various studies for biological data mining, such as protein secondary structure prediction (Selbig etal., 2002), gene prediction in vertebrate DNA sequences (Salzberg etal., 1998) and small molecule solubility prediction (Xia etal., 2003).
('Decision', 'Decision', 'NN', 'B-NP', 'O')
('trees', 'tree', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('applied', 'apply', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('various', 'various', 'JJ', 'B-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('biological', 'biological', 'JJ', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('mining,', 'mining,', 'NN', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('protein', 'protein', 'NN', 'B-NP', 'O')
('secondary', 'secondary', 'JJ', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('prediction', 'prediction', 'NN', 'I-NP', 'O')
('(Selbig', '(Selbig', 'NNP', 'I-NP', 'O')
('etal.,', 'etal.,', 'NNP', 'I-NP', 'O')
('2002),', '2002),', 'VBD', 'B-VP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('prediction', 'prediction', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('vertebrate', 'vertebrate', 'NN', 'B-NP', 'O')
('DNA', 'DNA', 'NN', 'I-NP', 'O')
('sequences', 'sequence', 'NNS', 'I-NP', 'O')
('(Salzberg', '(Salzberg', 'NN', 'I-NP', 'B-protein')
('etal.,', 'etal.,', 'NN', 'I-NP', 'I-protein')
('1998)', '1998)', 'CD', 'I-NP', 'I-protein')
('and', 'and', 'CC', 'O', 'O')
('small', 'small', 'JJ', 'B-NP', 'O')
('molecule', 'molecule', 'NN', 'I-NP', 'O')
('solubility', 'solubility', 'NN', 'I-NP', 'O')
('prediction', 'prediction', 'NN', 'I-NP', 'O')
('(Xia', '(Xia', 'NNP', 'I-NP', 'O')
('etal.,', 'etal.,', 'NNP', 'I-NP', 'O')
('2003).', '2003).', '.', 'O', 'O')
A classification and prediction of a given dataset by a decision tree is achieved by constructing a rooted tree graph with the leaves of the tree labeled with the values of the classification variable (e.g., strong/weak anti­ bacterial activity) and the intermediate nodes each representing a test based on some feature subset.
('A', 'A', 'DT', 'B-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('prediction', 'prediction', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('given', 'give', 'VBN', 'I-NP', 'O')
('dataset', 'dataset', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('achieved', 'achieve', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('constructing', 'construct', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('rooted', 'root', 'VBN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('graph', 'graph', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('leaves', 'leaf', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('labeled', 'label', 'VBN', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('variable', 'variable', 'JJ', 'I-NP', 'O')
('(e.g.,', '(e.g.,', 'NN', 'I-NP', 'O')
('strong/weak', 'strong/weak', 'JJ', 'I-NP', 'O')
('anti\xad', 'anti\xad', 'JJ', 'I-NP', 'O')
('bacterial', 'bacterial', 'JJ', 'I-NP', 'O')
('activity)', 'activity)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('intermediate', 'intermediate', 'JJ', 'I-NP', 'O')
('nodes', 'node', 'NNS', 'I-NP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('representing', 'represent', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('feature', 'feature', 'NN', 'I-NP', 'O')
('subset.', 'subset.', 'NN', 'I-NP', 'O')
Each branch of the decision tree is labeled with the critical values for the test specified by the node above the branch (Quinlan et al., 1993).
('Each', 'Each', 'DT', 'B-NP', 'O')
('branch', 'branch', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('labeled', 'label', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('critical', 'critical', 'JJ', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('specified', 'specify', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('node', 'node', 'NN', 'I-NP', 'O')
('above', 'above', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('branch', 'branch', 'NN', 'I-NP', 'O')
('(Quinlan', '(Quinlan', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('1993).', '1993).', 'CD', 'B-NP', 'O')
In our application of a decision tree to the SAR of anti-microbial peptides, the physicochemical properties of peptides were the basis of tests at intermediate nodes and the resultant terminal leaves were labeled with the strength of antimicrobial activity.
('In', 'In', 'IN', 'B-PP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('application', 'application', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('SAR', 'SAR', 'NN', 'I-NP', 'B-protein')
('of', 'of', 'IN', 'B-PP', 'O')
('anti-microbial', 'anti-microbial', 'JJ', 'B-NP', 'O')
('peptides,', 'peptides,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('physicochemical', 'physicochemical', 'JJ', 'I-NP', 'O')
('properties', 'property', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('peptides', 'peptide', 'NNS', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('basis', 'basis', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('tests', 'test', 'NNS', 'B-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('intermediate', 'intermediate', 'JJ', 'B-NP', 'O')
('nodes', 'node', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('resultant', 'resultant', 'JJ', 'I-NP', 'O')
('terminal', 'terminal', 'JJ', 'I-NP', 'O')
('leaves', 'leaf', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('labeled', 'label', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('strength', 'strength', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'B-NP', 'O')
('activity.', 'activity.', 'NN', 'I-NP', 'O')
Structural parameters, such as peptide helicity, hydrophobicity, hydrophobic moment, peptide charge and the size of the hydrophobic/hydrophilic domain were influenced on membrane activity.
('Structural', 'Structural', 'JJ', 'B-NP', 'O')
('parameters,', 'parameters,', 'NN', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('peptide', 'peptide', 'NN', 'B-NP', 'O')
('helicity,', 'helicity,', 'NN', 'I-NP', 'O')
('hydrophobicity,', 'hydrophobicity,', 'NN', 'I-NP', 'O')
('hydrophobic', 'hydrophobic', 'JJ', 'I-NP', 'O')
('moment,', 'moment,', 'NN', 'I-NP', 'O')
('peptide', 'peptide', 'NN', 'I-NP', 'O')
('charge', 'charge', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('hydrophobic/hydrophilic', 'hydrophobic/hydrophilic', 'JJ', 'I-NP', 'B-protein')
('domain', 'domain', 'NN', 'I-NP', 'I-protein')
('were', 'be', 'VBD', 'B-VP', 'O')
('influenced', 'influence', 'VBN', 'I-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('membrane', 'membrane', 'NN', 'B-NP', 'O')
('activity.', 'activity.', 'NN', 'I-NP', 'O')
Furthermore, it is assessed that the potential of these parameters increase antimicrobial activity (Dathe et al., 1999).
('Furthermore,', 'Furthermore,', 'IN', 'B-SBAR', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('assessed', 'assess', 'VBN', 'I-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('potential', 'potential', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('parameters', 'parameter', 'NNS', 'I-NP', 'O')
('increase', 'increase', 'VBP', 'B-VP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'B-NP', 'O')
('activity', 'activity', 'NN', 'I-NP', 'O')
('(Dathe', '(Dathe', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('1999).', '1999).', 'CD', 'B-NP', 'O')
Of many physicochemical properties of peptides, the following attributes were selected as the feature set for the decision tree algorithm: Kyte-Doolittle hydrophobicity (Kyte et al., 1982), maximum hydrophobicity (maxH) which is the best hydrophobic score obtained by calculating the average of hydrophobicity (H; window size was 5), and hydrophobic moment (Hm).
('Of', 'Of', 'IN', 'B-PP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('physicochemical', 'physicochemical', 'JJ', 'I-NP', 'O')
('properties', 'property', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('peptides,', 'peptides,', 'NN', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('following', 'follow', 'VBG', 'I-NP', 'O')
('attributes', 'attribute', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('selected', 'select', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('feature', 'feature', 'NN', 'I-NP', 'O')
('set', 'set', 'VBN', 'B-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('algorithm:', 'algorithm:', ':', 'O', 'O')
('Kyte-Doolittle', 'Kyte-Doolittle', 'JJ', 'B-NP', 'O')
('hydrophobicity', 'hydrophobicity', 'NN', 'I-NP', 'O')
('(Kyte', '(Kyte', 'NNP', 'I-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('1982),', '1982),', 'CD', 'I-NP', 'O')
('maximum', 'maximum', 'JJ', 'I-NP', 'O')
('hydrophobicity', 'hydrophobicity', 'NN', 'I-NP', 'O')
('(maxH)', '(maxH)', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('best', 'good', 'JJS', 'I-NP', 'O')
('hydrophobic', 'hydrophobic', 'JJ', 'I-NP', 'O')
('score', 'score', 'NN', 'I-NP', 'O')
('obtained', 'obtain', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('calculating', 'calculate', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('average', 'average', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('hydrophobicity', 'hydrophobicity', 'NN', 'B-NP', 'B-protein')
('(H;', '(H;', 'NN', 'I-NP', 'I-protein')
('window', 'window', 'NN', 'I-NP', 'I-protein')
('size', 'size', 'NN', 'I-NP', 'I-protein')
('was', 'be', 'VBD', 'B-VP', 'I-protein')
('5),', '5),', 'CD', 'B-NP', 'I-protein')
('and', 'and', 'CC', 'O', 'O')
('hydrophobic', 'hydrophobic', 'JJ', 'B-NP', 'O')
('moment', 'moment', 'NN', 'I-NP', 'O')
('(Hm).', '(Hm).', 'NNP', 'B-NP', 'O')
Hydrophobic moment is the hydrophobicity of a peptide measured for a specified angle of rotation per residue.
('Hydrophobic', 'Hydrophobic', 'JJ', 'B-NP', 'O')
('moment', 'moment', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('hydrophobicity', 'hydrophobicity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('peptide', 'peptide', 'NN', 'I-NP', 'O')
('measured', 'measure', 'VBN', 'B-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('specified', 'specify', 'VBN', 'I-NP', 'O')
('angle', 'angle', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('rotation', 'rotation', 'NN', 'B-NP', 'O')
('per', 'per', 'IN', 'B-PP', 'O')
('residue.', 'residue.', 'NN', 'B-NP', 'O')
The strength of each periodic component is the quantity that has been termed the hydrophobic moment.
('The', 'The', 'DT', 'B-NP', 'O')
('strength', 'strength', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('periodic', 'periodic', 'JJ', 'I-NP', 'O')
('component', 'component', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('quantity', 'quantity', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('termed', 'term', 'VBN', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('hydrophobic', 'hydrophobic', 'JJ', 'I-NP', 'O')
('moment.', 'moment.', 'NN', 'I-NP', 'O')
For example, alpha helices tend to have strong periodicity in the hydrophobicity of about 3.6 residues and beta sheets about 2.3 residues.
('For', 'For', 'IN', 'B-PP', 'O')
('example,', 'example,', 'NN', 'B-NP', 'O')
('alpha', 'alpha', 'NN', 'I-NP', 'O')
('helices', 'helix', 'NNS', 'I-NP', 'O')
('tend', 'tend', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('have', 'have', 'VB', 'I-VP', 'O')
('strong', 'strong', 'JJ', 'B-NP', 'O')
('periodicity', 'periodicity', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('hydrophobicity', 'hydrophobicity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('about', 'about', 'IN', 'B-NP', 'O')
('3.6', '3.6', 'CD', 'I-NP', 'O')
('residues', 'residue', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('beta', 'beta', 'NN', 'B-NP', 'O')
('sheets', 'sheet', 'NNS', 'I-NP', 'O')
('about', 'about', 'IN', 'B-NP', 'O')
('2.3', '2.3', 'CD', 'I-NP', 'O')
('residues.', 'residues.', 'NNS', 'I-NP', 'O')
It means that many peptide sequences tend to form the periodic structure that maximizes their amphiphilicity.
('It', 'It', 'PRP', 'B-NP', 'O')
('means', 'mean', 'VBZ', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('peptide', 'peptide', 'NN', 'I-NP', 'O')
('sequences', 'sequence', 'NNS', 'I-NP', 'O')
('tend', 'tend', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('form', 'form', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('periodic', 'periodic', 'JJ', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('maximizes', 'maximize', 'VBZ', 'B-VP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('amphiphilicity.', 'amphiphilicity.', 'NN', 'I-NP', 'O')
Amphiphilicity of the peptides has been reported as the most important factor governing antimicrobial activity compared to mean hydrophobicity or alpha-helix content(Pathak et al., 1995).
('Amphiphilicity', 'Amphiphilicity', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('reported', 'report', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('most', 'most', 'RBS', 'I-NP', 'O')
('important', 'important', 'JJ', 'I-NP', 'O')
('factor', 'factor', 'NN', 'I-NP', 'O')
('governing', 'govern', 'VBG', 'B-VP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'B-NP', 'O')
('activity', 'activity', 'NN', 'I-NP', 'O')
('compared', 'compare', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('mean', 'mean', 'VB', 'I-VP', 'O')
('hydrophobicity', 'hydrophobicity', 'NN', 'B-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('alpha-helix', 'alpha-helix', 'JJ', 'B-NP', 'B-protein')
('content', 'content', 'NN', 'I-NP', 'I-protein')
('(Pathak', '(Pathak', 'NNP', 'I-NP', 'I-protein')
('et', 'et', 'NNP', 'I-NP', 'I-protein')
('al.,', 'al.,', 'IN', 'B-PP', 'I-protein')
('1995).', '1995).', 'CD', 'B-NP', 'I-protein')
We also include other factors like helicity (He) predicted by NNPREDICT which is a web­ based secondary structure program (Kneller et al., 1990), angle subtended by positively charged face (A), net charges (netC), sum of positive charges (pC) and sum of negative charges (nC).
('We', 'We', 'PRP', 'B-NP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('include', 'include', 'VBP', 'B-VP', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('factors', 'factor', 'NNS', 'I-NP', 'O')
('like', 'like', 'IN', 'B-PP', 'O')
('helicity', 'helicity', 'NN', 'B-NP', 'O')
('(He)', '(He)', 'NN', 'I-NP', 'O')
('predicted', 'predict', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('NNPREDICT', 'NNPREDICT', 'NN', 'B-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('web\xad', 'web\xad', 'NN', 'I-NP', 'O')
('based', 'based', 'JJ', 'I-NP', 'O')
('secondary', 'secondary', 'JJ', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('program', 'program', 'NN', 'I-NP', 'O')
('(Kneller', '(Kneller', 'NNP', 'I-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('1990),', '1990),', 'CD', 'I-NP', 'O')
('angle', 'angle', 'NN', 'I-NP', 'O')
