An Iterative Normalization Algorithm for cDNA Microarray Medical Data AnalysissA cDNA microarray experiment is one of the most usefulhigh-throughput experiments in medical informatics for monitoring gene expression levels.
('An', 'An', 'DT', 'B-NP', 'O')
('example,', 'example,', 'NN', 'B-NP', 'O')
('regression', 'regression', 'NN', 'I-NP', 'O')
('fitting', 'fit', 'VBG', 'B-VP', 'O')
('analysis,', 'analysis,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('ANOVA', 'ANOVA', 'NN', 'I-NP', 'B-protein')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('calculation', 'calculation', 'NN', 'I-NP', 'O')
('method.', 'method.', 'NN', 'I-NP', 'O')
Additionally choosing the control gene group for normalization is also a controversial issue.
('Additionally', 'Additionally', 'RB', 'B-ADVP', 'O')
('choosing', 'choose', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('control', 'control', 'NN', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('group', 'group', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('normalization', 'normalization', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('controversial', 'controversial', 'JJ', 'I-NP', 'O')
('issue.', 'issue.', 'NN', 'I-NP', 'O')
Slide-wise, pin-wise and average pin-wise normalization procedures all focus on each spot on the scatter plot over the slides (Schuchhardt et al., 2000) .In addition, the total intensity normalization method assumes that the total integrated intensity computed for all the samples is the same and simply subtracts the mean.
('Slide-wise,', 'Slide-wise,', 'JJ', 'B-NP', 'O')
('pin-wise', 'pin-wise', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('average', 'average', 'JJ', 'I-NP', 'O')
('pin-wise', 'pin-wise', 'JJ', 'I-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('procedures', 'procedure', 'NNS', 'I-NP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('focus', 'focus', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('spot', 'spot', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('scatter', 'scatter', 'NN', 'I-NP', 'O')
('plot', 'plot', 'NN', 'I-NP', 'O')
('over', 'over', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('slides', 'slide', 'NNS', 'I-NP', 'O')
('(Schuchhardt', '(Schuchhardt', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2000)', '2000)', 'CD', 'I-NP', 'O')
('.In', '.In', 'IN', 'B-PP', 'O')
('addition,', 'addition,', 'NN', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('total', 'total', 'JJ', 'I-NP', 'O')
('intensity', 'intensity', 'NN', 'I-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('assumes', 'assume', 'VBZ', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('total', 'total', 'JJ', 'I-NP', 'O')
('integrated', 'integrate', 'VBN', 'I-NP', 'O')
('intensity', 'intensity', 'NN', 'I-NP', 'O')
('computed', 'compute', 'VBN', 'B-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('all', 'all', 'PDT', 'B-NP', 'O')
('the', 'the', 'DT', 'I-NP', 'O')
('samples', 'sample', 'NNS', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('same', 'same', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('simply', 'simply', 'RB', 'B-VP', 'O')
('subtracts', 'subtract', 'VBZ', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('mean.', 'mean.', 'NN', 'I-NP', 'O')
Likewise, Yang et a/.
('Likewise,', 'Likewise,', 'NNP', 'B-NP', 'O')
('Yang', 'Yang', 'NNP', 'I-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('a/.', 'a/.', 'FW', 'I-NP', 'O')
(2002) suggested a global normalization method with the whole gene set.
('(2002)', '(2002)', 'LS', 'B-LST', 'O')
('suggested', 'suggest', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('global', 'global', 'JJ', 'I-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('whole', 'whole', 'JJ', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('set.', 'set.', 'NN', 'I-NP', 'O')
Normalization used regression techniquesexpect an adjustment of the slope to a straight line in a scatter plot of a Cy3 and Cy5 intensity (Hedenfalk et al.,2001) .
('Normalization', 'Normalization', 'NN', 'B-NP', 'O')
('used', 'use', 'VBD', 'B-VP', 'O')
('regression', 'regression', 'NN', 'B-NP', 'O')
('techniques', 'technique', 'NNS', 'I-NP', 'O')
('expect', 'expect', 'VBP', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('adjustment', 'adjustment', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('slope', 'slope', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('straight', 'straight', 'JJ', 'I-NP', 'O')
('line', 'line', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('scatter', 'scatter', 'NN', 'I-NP', 'O')
('plot', 'plot', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('Cy3', 'Cy3', 'NN', 'I-NP', 'B-protein')
('and', 'and', 'CC', 'I-NP', 'O')
('Cy5', 'Cy5', 'NN', 'I-NP', 'O')
('intensity', 'intensity', 'NN', 'I-NP', 'O')
('(Hedenfalk', '(Hedenfalk', 'NNP', 'I-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2001)', '2001)', 'LS', 'B-LST', 'O')
('.', '.', '.', 'O', 'O')
LOWESS (Locally Weighted Scatterplot Smoothing) is a popular method for making a local adjustment (Cleveland and Devlin, 1988).
('LOWESS', 'LOWESS', 'NN', 'B-NP', 'O')
('(Locally', '(Locally', 'RB', 'B-ADVP', 'O')
('Weighted', 'Weight', 'VBD', 'B-VP', 'O')
('Scatterplot', 'Scatterplot', 'NN', 'B-NP', 'O')
('Smoothing)', 'Smoothing)', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('popular', 'popular', 'JJ', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('making', 'make', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('local', 'local', 'JJ', 'I-NP', 'O')
('adjustment', 'adjustment', 'NN', 'I-NP', 'O')
('(Cleveland', '(Cleveland', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Devlin,', 'Devlin,', 'NNP', 'B-NP', 'O')
('1988).', '1988).', 'CD', 'I-NP', 'O')
Chen et al.
('Chen', 'Chen', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.', 'al.', 'FW', 'I-NP', 'O')
(1997) considered control gene sets at the ratio statistics of normalization.
('(1997)', '(1997)', 'LS', 'B-NP', 'O')
('considered', 'consider', 'VBN', 'I-NP', 'O')
('control', 'control', 'NN', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('sets', 'set', 'NNS', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('ratio', 'ratio', 'NN', 'I-NP', 'O')
('statistics', 'statistic', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('normalization.', 'normalization.', 'NN', 'B-NP', 'O')
Yang et al.
('Yang', 'Yang', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.', 'al.', 'FW', 'I-NP', 'O')
(2002) developed normalization methods under the consideration in a structure of arrays and reported a print-tip group normalization method.
('(2002)', '(2002)', 'LS', 'B-LST', 'O')
('developed', 'develop', 'VBD', 'B-VP', 'O')
('normalization', 'normalization', 'NN', 'B-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
('under', 'under', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('consideration', 'consideration', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('arrays', 'array', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('reported', 'report', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('print-tip', 'print-tip', 'JJ', 'I-NP', 'O')
('group', 'group', 'NN', 'I-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('method.', 'method.', 'NN', 'I-NP', 'O')
Zien et al.
('Zien', 'Zien', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.', 'al.', 'FW', 'I-NP', 'O')
(2001) disproved the global normalization and used a housekeeping gene approach.
('(2001)', '(2001)', 'LS', 'B-LST', 'O')
('disproved', 'disprove', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('global', 'global', 'JJ', 'I-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('used', 'use', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('housekeeping', 'housekeeping', 'NN', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('approach.', 'approach.', 'NN', 'I-NP', 'O')
They instead proposed a pair-wise scaling method for centralizing all the genes over the slides.
('They', 'They', 'PRP', 'B-NP', 'O')
('instead', 'instead', 'RB', 'B-ADVP', 'O')
('proposed', 'propose', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('pair-wise', 'pair-wise', 'JJ', 'I-NP', 'O')
('scaling', 'scaling', 'NN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('centralizing', 'centralize', 'VBG', 'B-VP', 'O')
('all', 'all', 'PDT', 'B-NP', 'O')
('the', 'the', 'DT', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('over', 'over', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('slides.', 'slides.', 'NNS', 'I-NP', 'O')
In contrast, Wang et al.
('In', 'In', 'IN', 'B-PP', 'O')
('contrast,', 'contrast,', 'NN', 'B-NP', 'O')
('Wang', 'Wang', 'NNP', 'I-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.', 'al.', 'FW', 'I-NP', 'O')
(2002) reported the necessity of control gene set and presented an iterative method using control genes.
('(2002)', '(2002)', 'LS', 'B-LST', 'O')
('reported', 'report', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('necessity', 'necessity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('control', 'control', 'NN', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('presented', 'present', 'VBD', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('iterative', 'iterative', 'JJ', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('control', 'control', 'NN', 'B-NP', 'O')
('genes.', 'genes.', 'NNS', 'I-NP', 'O')
With this theoretical background, the aim of this paper was to compensate for some of the drawbacks of previous studies and propose a novel normalization algorithm in a universal and synthetic way.
('With', 'With', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('theoretical', 'theoretical', 'JJ', 'I-NP', 'O')
('background,', 'background,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('aim', 'aim', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('paper', 'paper', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('compensate', 'compensate', 'VB', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('drawbacks', 'drawback', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('previous', 'previous', 'JJ', 'B-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('propose', 'propose', 'VB', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('novel', 'novel', 'JJ', 'I-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('algorithm', 'algorithm', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('universal', 'universal', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('synthetic', 'synthetic', 'JJ', 'I-NP', 'O')
('way.', 'way.', 'NN', 'I-NP', 'O')
Biologically, housekeeping genes have still been thought as reliable biomarkers i.e.
('Biologically,', 'Biologically,', 'NNP', 'B-NP', 'O')
('housekeeping', 'housekeeping', 'NN', 'I-NP', 'B-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('have', 'have', 'VBP', 'B-VP', 'O')
('still', 'still', 'RB', 'I-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('thought', 'think', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('reliable', 'reliable', 'JJ', 'B-NP', 'O')
('biomarkers', 'biomarker', 'NNS', 'I-NP', 'O')
('i.e.', 'i.e.', 'FW', 'B-NP', 'O')
they are available as a consistentcontrol gene set in a cDNA chip.
('they', 'they', 'PRP', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('available', 'available', 'JJ', 'B-ADJP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('consistent', 'consistent', 'JJ', 'I-NP', 'B-DNA')
('control', 'control', 'NN', 'I-NP', 'I-DNA')
('gene', 'gene', 'NN', 'I-NP', 'I-DNA')
('set', 'set', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('cDNA', 'cDNA', 'NN', 'I-NP', 'O')
('chip.', 'chip.', 'NN', 'I-NP', 'O')
Therefore, the normalization method used in this paper also used housekeeping genes with all the genes as a control gene set in the calculation procedure.
('Therefore,', 'Therefore,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('used', 'use', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('paper', 'paper', 'NN', 'I-NP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('used', 'use', 'VBD', 'B-VP', 'O')
('housekeeping', 'housekeeping', 'NN', 'B-NP', 'B-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('with', 'with', 'IN', 'B-PP', 'O')
('all', 'all', 'PDT', 'B-NP', 'O')
('the', 'the', 'DT', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('control', 'control', 'NN', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('set', 'set', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('calculation', 'calculation', 'NN', 'I-NP', 'O')
('procedure.', 'procedure.', 'NN', 'I-NP', 'O')
Furthermore, updating a new control gene set among all the genes on the same slide iteratively at each step is an essential point of this study.
('Furthermore,', 'Furthermore,', 'RB', 'B-ADVP', 'O')
('updating', 'update', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('new', 'new', 'JJ', 'I-NP', 'B-DNA')
('control', 'control', 'NN', 'I-NP', 'I-DNA')
('gene', 'gene', 'NN', 'I-NP', 'I-DNA')
('set', 'set', 'VBN', 'B-VP', 'O')
('among', 'among', 'IN', 'B-PP', 'O')
('all', 'all', 'PDT', 'B-NP', 'O')
('the', 'the', 'DT', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('same', 'same', 'JJ', 'I-NP', 'O')
('slide', 'slide', 'NN', 'I-NP', 'O')
('iteratively', 'iteratively', 'RB', 'B-ADVP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('step', 'step', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('essential', 'essential', 'JJ', 'I-NP', 'O')
('point', 'point', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('study.', 'study.', 'NN', 'I-NP', 'O')
Some normalization methods are able to force thedata to transform their values at once (Wang et al.,2002) .
('Some', 'Some', 'DT', 'B-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('able', 'able', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('force', 'force', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('transform', 'transform', 'VB', 'I-VP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('once', 'once', 'RB', 'B-NP', 'O')
('(Wang', '(Wang', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2002)', '2002)', 'LS', 'B-LST', 'O')
('.', '.', '.', 'O', 'O')
In that point of view, the LOWESS method with newly selected control genes at each iterative step can be a more moderate, robust and safe procedure.
('In', 'In', 'IN', 'B-PP', 'O')
('that', 'that', 'DT', 'B-NP', 'O')
('point', 'point', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('view,', 'view,', 'NN', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('LOWESS', 'LOWESS', 'NN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('newly', 'newly', 'RB', 'B-NP', 'O')
('selected', 'select', 'VBN', 'I-NP', 'O')
('control', 'control', 'NN', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('iterative', 'iterative', 'JJ', 'I-NP', 'O')
('step', 'step', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('more', 'more', 'RBR', 'I-NP', 'O')
('moderate,', 'moderate,', 'JJ', 'I-NP', 'O')
('robust', 'robust', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('safe', 'safe', 'JJ', 'I-NP', 'O')
('procedure.', 'procedure.', 'NN', 'I-NP', 'O')
The iterative normalization method emphasizes the removal of systematic errors by maintaining the original pattern of the raw data.
('The', 'The', 'DT', 'B-NP', 'O')
('iterative', 'iterative', 'JJ', 'I-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('emphasizes', 'emphasize', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('removal', 'removal', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('systematic', 'systematic', 'JJ', 'B-NP', 'O')
('errors', 'error', 'NNS', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('maintaining', 'maintain', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('original', 'original', 'JJ', 'I-NP', 'O')
('pattern', 'pattern', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('raw', 'raw', 'JJ', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
The systems of iterative normalization method follow two points: First, in the normalization procedure, the housekeeping genes as well as all the genes on a slide are used as a control gene set.
('The', 'The', 'DT', 'B-NP', 'O')
('systems', 'system', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('iterative', 'iterative', 'JJ', 'B-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('follow', 'follow', 'VBP', 'B-VP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('points:', 'points:', ':', 'O', 'O')
('First,', 'First,', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('procedure,', 'procedure,', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('housekeeping', 'housekeeping', 'NN', 'I-NP', 'B-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('as', 'as', 'RB', 'B-CONJP', 'O')
('well', 'well', 'RB', 'I-CONJP', 'O')
('as', 'as', 'IN', 'I-CONJP', 'O')
('all', 'all', 'PDT', 'B-NP', 'O')
('the', 'the', 'DT', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('slide', 'slide', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('control', 'control', 'NN', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('set.', 'set.', 'NN', 'I-NP', 'O')
Second, by the iterative calculations based on the LOWESS method, normalization is naturally accomplished.
('Second,', 'Second,', 'NN', 'B-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('iterative', 'iterative', 'JJ', 'I-NP', 'O')
('calculations', 'calculation', 'NNS', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-PP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('LOWESS', 'LOWESS', 'NN', 'I-NP', 'O')
('method,', 'method,', 'NN', 'I-NP', 'O')
('normalization', 'normalization', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('naturally', 'naturally', 'RB', 'I-VP', 'O')
('accomplished.', 'accomplished.', 'VBN', 'I-VP', 'O')
On a cDNA chip, there are two identical slides for an internal comparison.
('On', 'On', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('cDNA', 'cDNA', 'NN', 'I-NP', 'O')
('chip,', 'chip,', 'NN', 'I-NP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('identical', 'identical', 'JJ', 'I-NP', 'O')
('slides', 'slide', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('internal', 'internal', 'JJ', 'I-NP', 'O')
('comparison.', 'comparison.', 'NN', 'I-NP', 'O')
Each slide consists of twelve arrays accounting for the print-tips (Yang et al., 2002) and a total 4608 human cDNA probes related to the DNA repair, cell cycle, metabolism and unknown ESTs, etc..
('Each', 'Each', 'DT', 'B-NP', 'O')
('slide', 'slide', 'NN', 'I-NP', 'O')
('consists', 'consist', 'VBZ', 'B-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('twelve', 'twelve', 'CD', 'B-NP', 'O')
('arrays', 'array', 'NNS', 'I-NP', 'O')
('accounting', 'account', 'VBG', 'B-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('print-tips', 'print-tip', 'NNS', 'I-NP', 'O')
('(Yang', '(Yang', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2002)', '2002)', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('total', 'total', 'JJ', 'I-NP', 'B-DNA')
('4608', '4608', 'CD', 'I-NP', 'I-DNA')
('human', 'human', 'JJ', 'I-NP', 'I-DNA')
('cDNA', 'cDNA', 'NN', 'I-NP', 'I-DNA')
('probes', 'probe', 'NNS', 'I-NP', 'I-DNA')
('related', 'relate', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('DNA', 'DNA', 'NN', 'I-NP', 'O')
('repair,', 'repair,', 'NN', 'I-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('cycle,', 'cycle,', 'NN', 'I-NP', 'O')
('metabolism', 'metabolism', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('unknown', 'unknown', 'JJ', 'B-NP', 'O')
('ESTs,', 'ESTs,', 'NNP', 'I-NP', 'O')
('etc..', 'etc..', 'FW', 'I-NP', 'O')
This meansthere are 12 x 1 arrays on one slide and 12 x 32 spots (sub-grids) on a single array.
('This', 'This', 'DT', 'B-NP', 'O')
('means', 'mean', 'VBZ', 'B-VP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
