Sample Size and Power Estimation in Case-Control Genetic Association StudiesIn planning a genetic association study, it is necessary to determine the number of samples to be collected for the study in order to achieve sufficient power to detect the hypothesized effect.
('Sample', 'Sample', 'NNP', 'B-NP', 'O')
The probability of type I error (a) of 0.05 and power of 0.80 and 0.90 has been widely used for the sample size estimation in genetic association studies.
('The', 'The', 'DT', 'B-NP', 'O')
('probability', 'probability', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('type', 'type', 'NN', 'B-NP', 'O')
('I', 'I', 'CD', 'I-NP', 'O')
('error', 'error', 'NN', 'I-NP', 'O')
('(a)', '(a)', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('0.05', '0.05', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('power', 'power', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('0.80', '0.80', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('0.90', '0.90', 'CD', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('widely', 'widely', 'RB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('estimation', 'estimation', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('studies.', 'studies.', 'NN', 'I-NP', 'O')
In this paper, we restrict our attention to the sample    size    and    power    calculations    for    case-control genetic association studies between a marker locus and a disease phenotype on a population- based scale.
('In', 'In', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('paper,', 'paper,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('restrict', 'restrict', 'VBP', 'B-VP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('attention', 'attention', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('calculations', 'calculation', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('case-control', 'case-control', 'JJ', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('marker', 'marker', 'NN', 'I-NP', 'O')
('locus', 'locus', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('disease', 'disease', 'NN', 'I-NP', 'O')
('phenotype', 'phenotype', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('population-', 'population-', 'NN', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-VP', 'O')
('scale.', 'scale.', 'NN', 'B-NP', 'O')
Either the candidate allelic or genotypic frequencies are compared to evaluate genetic associations between cases and controls.
('Either', 'Either', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('candidate', 'candidate', 'NN', 'I-NP', 'O')
('allelic', 'allelic', 'JJ', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('genotypic', 'genotypic', 'JJ', 'I-NP', 'O')
('frequencies', 'frequency', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('compared', 'compare', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('evaluate', 'evaluate', 'VB', 'I-VP', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('associations', 'association', 'NNS', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('cases', 'case', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('controls.', 'controls.', 'NNS', 'I-NP', 'O')
The geneticist usually preferscomparing allelic frequencies on the grounds that, in the absence of an association, sampling genotypes under Hardy-Weinberg Equilibrium (HWE) is equivalent tosampling gametes, or alleles from the gene pool that gives rise to the population (Lalouel and Rohrwasser, 2002).
('The', 'The', 'DT', 'B-NP', 'O')
('geneticist', 'geneticist', 'NN', 'I-NP', 'O')
('usually', 'usually', 'RB', 'B-ADVP', 'O')
('prefers', 'prefer', 'VBZ', 'B-VP', 'O')
('comparing', 'compare', 'VBG', 'I-VP', 'O')
('allelic', 'allelic', 'JJ', 'B-NP', 'O')
('frequencies', 'frequency', 'NNS', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('grounds', 'ground', 'NNS', 'I-NP', 'O')
('that,', 'that,', 'IN', 'B-ADVP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('absence', 'absence', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('association,', 'association,', 'NN', 'I-NP', 'O')
('sampling', 'sampling', 'NN', 'I-NP', 'O')
('genotypes', 'genotype', 'NNS', 'I-NP', 'O')
('under', 'under', 'IN', 'B-PP', 'O')
('Hardy-Weinberg', 'Hardy-Weinberg', 'NNP', 'B-NP', 'O')
('Equilibrium', 'Equilibrium', 'NNP', 'I-NP', 'O')
('(HWE)', '(HWE)', 'NNP', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('equivalent', 'equivalent', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('sampling', 'sample', 'VBG', 'B-VP', 'O')
('gametes,', 'gametes,', 'NN', 'B-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('alleles', 'allele', 'NNS', 'I-NP', 'B-DNA')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('pool', 'pool', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('gives', 'give', 'VBZ', 'B-VP', 'O')
('rise', 'rise', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('population', 'population', 'NN', 'I-NP', 'O')
('(Lalouel', '(Lalouel', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Rohrwasser,', 'Rohrwasser,', 'NNP', 'B-NP', 'O')
('2002).', '2002).', 'CD', 'I-NP', 'O')
When    allele    frequencies    are    compared,    the    two alleles of each subject are treated as independent Even though    comparison    of    allele    frequencies    seems    to    be counter-intuitive    because    alleles    sometimes    do    not    act independently,    this    approach    has    been    often    used    in genetic association studies (e.g.
('When', 'When', 'WRB', 'B-ADVP', 'O')
('allele', 'allele', 'NN', 'B-NP', 'O')
('frequencies', 'frequency', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('compared,', 'compared,', 'VBG', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('two', 'two', 'CD', 'I-NP', 'O')
('alleles', 'allele', 'NNS', 'I-NP', 'B-DNA')
('of', 'of', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('subject', 'subject', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('treated', 'treat', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('independent', 'independent', 'JJ', 'B-ADJP', 'O')
('Even', 'Even', 'RB', 'B-SBAR', 'O')
('though', 'though', 'IN', 'I-SBAR', 'O')
('comparison', 'comparison', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('allele', 'allele', 'NN', 'B-NP', 'O')
('frequencies', 'frequency', 'NNS', 'I-NP', 'O')
('seems', 'seem', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('counter-intuitive', 'counter-intuitive', 'JJ', 'B-ADJP', 'O')
('because', 'because', 'IN', 'B-SBAR', 'O')
('alleles', 'allele', 'NNS', 'B-NP', 'B-DNA')
('sometimes', 'sometimes', 'RB', 'B-ADVP', 'O')
('do', 'do', 'VBP', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('act', 'act', 'VB', 'I-VP', 'O')
('independently,', 'independently,', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('approach', 'approach', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('often', 'often', 'RB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('(e.g.', '(e.g.', 'LS', 'O', 'O')
Apple et al., 1994; Odunsi et al., 1995).
('Apple', 'Apple', 'NNP', 'B-NP', 'O')
('et', 'et', 'VBD', 'B-VP', 'O')
('al.,', 'al.,', 'IN', 'B-ADVP', 'O')
('1994;', '1994;', 'CD', 'B-NP', 'O')
('Odunsi', 'Odunsi', 'NNP', 'I-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('1995).', '1995).', 'CD', 'B-NP', 'O')
Power and sample size for chi- square    tests    for    comparing    allelic    frequencies    can    be found in Lachin (1977) and Guenther (1973).
('Power', 'Power', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('chi-', 'chi-', 'JJ', 'B-NP', 'O')
('square', 'square', 'NN', 'I-NP', 'O')
('tests', 'test', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('comparing', 'compare', 'VBG', 'B-VP', 'O')
('allelic', 'allelic', 'JJ', 'B-NP', 'O')
('frequencies', 'frequency', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('found', 'find', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Lachin', 'Lachin', 'NNP', 'B-NP', 'O')
('(1977)', '(1977)', 'LS', 'B-LST', 'O')
('and', 'and', 'CC', 'O', 'O')
('Guenther', 'Guenther', 'NNP', 'B-NP', 'O')
('(1973).', '(1973).', 'LS', 'B-LST', 'O')
There are many available statistical software programs that can be used to estimate the sample size or power needed to detect minimal allele frequencies between cases and controls.
('There', 'There', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('available', 'available', 'JJ', 'I-NP', 'O')
('statistical', 'statistical', 'JJ', 'I-NP', 'O')
('software', 'software', 'NN', 'I-NP', 'O')
('programs', 'program', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('estimate', 'estimate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('needed', 'need', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('detect', 'detect', 'VB', 'I-VP', 'O')
('minimal', 'minimal', 'JJ', 'B-NP', 'O')
('allele', 'allele', 'NN', 'I-NP', 'O')
('frequencies', 'frequency', 'NNS', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('cases', 'case', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('controls.', 'controls.', 'NNS', 'I-NP', 'O')
For example, commercial software such as nQuery (Elashoff, 2005) or Power and Precision (Borenstein et al., 2001) or StatXact (Mehta and Patel, 2006)    or    non-commercial    software    such    as    PS    (Power and Sample size calculation, which is available    at http://biostat.mc.vanderbilt.edu/twiki/bin/view/Main/PowerSampleSize) can be used to estimate the sample size or power based on allele frequencies of cases and controls.
('For', 'For', 'IN', 'B-PP', 'O')
('example,', 'example,', 'NN', 'B-NP', 'O')
('commercial', 'commercial', 'JJ', 'I-NP', 'O')
('software', 'software', 'NN', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('nQuery', 'nQuery', 'NNP', 'B-NP', 'O')
('(Elashoff,', '(Elashoff,', 'NNP', 'I-NP', 'O')
('2005)', '2005)', 'CD', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('Power', 'Power', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Precision', 'Precision', 'NNP', 'B-NP', 'O')
('(Borenstein', '(Borenstein', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2001)', '2001)', 'CD', 'B-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('StatXact', 'StatXact', 'NNP', 'B-NP', 'O')
('(Mehta', '(Mehta', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Patel,', 'Patel,', 'NNP', 'B-NP', 'O')
('2006)', '2006)', 'CD', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('non-commercial', 'non-commercial', 'JJ', 'B-NP', 'O')
('software', 'software', 'NN', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('PS', 'PS', 'NNP', 'B-NP', 'O')
('(Power', '(Power', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Sample', 'Sample', 'NNP', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('calculation,', 'calculation,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('available', 'available', 'JJ', 'B-ADJP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('http://biostat.mc.vanderbilt.edu/twiki/bin/view/Main/Pow', 'http://biostat.mc.vanderbilt.edu/twiki/bin/view/Main/Pow', 'NN', 'B-NP', 'O')
('erSampleSize)', 'erSampleSize)', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('estimate', 'estimate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('allele', 'allele', 'NN', 'B-NP', 'O')
('frequencies', 'frequency', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cases', 'case', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('controls.', 'controls.', 'NNS', 'I-NP', 'O')
There    are    two    commonly    used    statistical    tests    for    the estimation of sample size and power using genotypes in genetic association studies.
('There', 'There', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('commonly', 'commonly', 'RB', 'I-NP', 'O')
('used', 'use', 'VBN', 'I-NP', 'O')
('statistical', 'statistical', 'JJ', 'I-NP', 'O')
('tests', 'test', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('estimation', 'estimation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('sample', 'sample', 'NN', 'B-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('genotypes', 'genotype', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('studies.', 'studies.', 'NN', 'I-NP', 'O')
One is the Cochran- Armitage linear trend test (Armitage, 1955) and the other is a genotypic association test (Gordon etal., 2002).
('One', 'One', 'CD', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Cochran-', 'Cochran-', 'NN', 'I-NP', 'O')
('Armitage', 'Armitage', 'NN', 'I-NP', 'O')
('linear', 'linear', 'JJ', 'I-NP', 'O')
('trend', 'trend', 'NN', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('(Armitage,', '(Armitage,', 'NN', 'I-NP', 'O')
('1955)', '1955)', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('other', 'other', 'JJ', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('genotypic', 'genotypic', 'JJ', 'I-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('(Gordon', '(Gordon', 'NNP', 'I-NP', 'O')
('etal.,', 'etal.,', 'NNP', 'I-NP', 'O')
('2002).', '2002).', '.', 'O', 'O')
Sasieni    (1997)    investigates    the    relationship    between    the approaches    of    using    alleles    and    genotypes,    and    con­ cludes that the allelic chi-square test based on alleles is inappropriate when genotype frequencies violate HWE and that the Cochran-Armitage's linear trend test should be used instead.
('Sasieni', 'Sasieni', 'NNP', 'B-NP', 'O')
('(1997)', '(1997)', 'LS', 'B-LST', 'O')
('investigates', 'investigate', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('relationship', 'relationship', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('approaches', 'approach', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('alleles', 'allele', 'NNS', 'B-NP', 'B-DNA')
('and', 'and', 'CC', 'O', 'O')
('genotypes,', 'genotypes,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('con\xad', 'con\xad', 'NN', 'I-NP', 'O')
('cludes', 'clude', 'NNS', 'I-NP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('allelic', 'allelic', 'JJ', 'I-NP', 'O')
('chi-square', 'chi-square', 'JJ', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-PP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('alleles', 'allele', 'NNS', 'B-NP', 'B-DNA')
('is', 'be', 'VBZ', 'B-VP', 'O')
('inappropriate', 'inappropriate', 'JJ', 'B-ADJP', 'O')
('when', 'when', 'WRB', 'B-ADVP', 'O')
('genotype', 'genotype', 'NN', 'B-NP', 'O')
('frequencies', 'frequency', 'NNS', 'I-NP', 'O')
('violate', 'violate', 'VBP', 'B-VP', 'O')
('HWE', 'HWE', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'O', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
("Cochran-Armitage's", "Cochran-Armitage's", 'JJ', 'I-NP', 'O')
('linear', 'linear', 'JJ', 'I-NP', 'O')
('trend', 'trend', 'NN', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('should', 'should', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('instead.', 'instead.', 'IN', 'O', 'O')
The two tests are asymptotically equiv­ alent under HWE.
('The', 'The', 'DT', 'B-NP', 'O')
('two', 'two', 'CD', 'I-NP', 'O')
('tests', 'test', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('asymptotically', 'asymptotically', 'RB', 'B-NP', 'O')
('equiv\xad', 'equiv\xad', 'JJ', 'I-NP', 'O')
('alent', 'alent', 'NN', 'I-NP', 'O')
('under', 'under', 'IN', 'B-PP', 'O')
('HWE.', 'HWE.', 'NNP', 'B-NP', 'O')
Kang et al., (2005) investigate per­ formances    of    the    allelic    chi-square    test    when    HWE    is violated.
('Kang', 'Kang', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('(2005)', '(2005)', 'LS', 'B-NP', 'O')
('investigate', 'investigate', 'NN', 'I-NP', 'O')
('per\xad', 'per\xad', 'NN', 'I-NP', 'O')
('formances', 'formance', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('allelic', 'allelic', 'JJ', 'I-NP', 'O')
('chi-square', 'chi-square', 'JJ', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('when', 'when', 'WRB', 'B-ADVP', 'O')
('HWE', 'HWE', 'NN', 'B-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('violated.', 'violated.', 'RB', 'B-ADVP', 'O')
They    investigate    the    maximum    and    minimum values of type I error rate of the allelic chi-square test by using nonlinear programming and simulation.
('They', 'They', 'PRP', 'B-NP', 'O')
('investigate', 'investigate', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('maximum', 'maximum', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('minimum', 'minimum', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('type', 'type', 'NN', 'B-NP', 'O')
('I', 'I', 'CD', 'I-NP', 'O')
('error', 'error', 'NN', 'I-NP', 'O')
('rate', 'rate', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('allelic', 'allelic', 'JJ', 'I-NP', 'O')
('chi-square', 'chi-square', 'JJ', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('nonlinear', 'nonlinear', 'JJ', 'B-NP', 'O')
('programming', 'programming', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('simulation.', 'simulation.', 'NN', 'I-NP', 'O')
It is re­ vealed    that,    under    violated    HWE,    the    allelic    chi-square test has distorted type I error rate.
('It', 'It', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('re\xad', 're\xad', 'NN', 'B-NP', 'O')
('vealed', 'veale', 'VBN', 'B-VP', 'O')
('that,', 'that,', 'IN', 'B-ADVP', 'O')
('under', 'under', 'IN', 'B-PP', 'O')
('violated', 'violate', 'VBN', 'B-NP', 'O')
('HWE,', 'HWE,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('allelic', 'allelic', 'JJ', 'I-NP', 'O')
('chi-square', 'chi-square', 'JJ', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('distorted', 'distort', 'VBN', 'I-VP', 'O')
('type', 'type', 'NN', 'B-NP', 'O')
('I', 'I', 'CD', 'I-NP', 'O')
('error', 'error', 'NN', 'I-NP', 'O')
('rate.', 'rate.', 'NN', 'I-NP', 'O')
Allele    frequencies should be compared only when genotype    frequencies are in HWE.
('Allele', 'Allele', 'NN', 'B-NP', 'O')
('frequencies', 'frequency', 'NNS', 'I-NP', 'O')
('should', 'should', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('compared', 'compare', 'VBN', 'I-VP', 'O')
('only', 'only', 'RB', 'B-ADVP', 'O')
('when', 'when', 'WRB', 'I-ADVP', 'O')
('genotype', 'genotype', 'NN', 'B-NP', 'O')
('frequencies', 'frequency', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('HWE.', 'HWE.', 'NN', 'B-NP', 'O')
In a single nucleotide polymorphism (SNP) with two possible    alleles,    'A'    or    'B',    there    are    three    possible genotypes, 'AA’, ’AB’, and 'BB*.
('In', 'In', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('single', 'single', 'JJ', 'I-NP', 'O')
('nucleotide', 'nucleotide', 'NN', 'I-NP', 'O')
('polymorphism', 'polymorphism', 'NN', 'I-NP', 'O')
('(SNP)', '(SNP)', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('possible', 'possible', 'JJ', 'I-NP', 'O')
('alleles,', 'alleles,', 'NN', 'I-NP', 'O')
("'A'", "'A'", 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
("'B',", "'B',", 'NNP', 'B-NP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('three', 'three', 'CD', 'B-NP', 'O')
('possible', 'possible', 'JJ', 'I-NP', 'O')
('genotypes,', 'genotypes,', 'NN', 'I-NP', 'O')
("'AA’,", "'AA’,", 'NNP', 'I-NP', 'O')
('’AB’,', '’AB’,', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
("'BB*.", "'BB*.", 'NNP', 'B-NP', 'O')
Study subjects can beclassified into a 2x3 table based on each subject’s disease status (case or control) and genotype.
('Study', 'Study', 'JJ', 'B-NP', 'O')
('subjects', 'subject', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('classified', 'classify', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('2x3', '2x3', 'CD', 'I-NP', 'O')
('table', 'table', 'NN', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-PP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('subject’s', 'subject’', 'NNS', 'I-NP', 'O')
('disease', 'disease', 'NN', 'I-NP', 'O')
