.
('.', '.', '.', 'O', 'O')
('al.,', 'al.,', 'NNP', 'I-NP', 'O')
('2001;', '2001;', ':', 'O', 'O')
('Sellers', 'Sellers', 'NNP', 'B-NP', 'O')
('etal.,', 'etal.,', 'NN', 'I-NP', 'O')
('1989).', '1989).', 'CD', 'I-NP', 'O')
Especially, the gene in human is known to be specifically expressed in the liver and testis (Chen etal., 2003) but not in 28 other tissues, and the protein is accumulated in nucli (Chen et al., 2003).
('Especially,', 'Especially,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-ADJP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('known', 'know', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('specifically', 'specifically', 'RB', 'I-VP', 'O')
('expressed', 'express', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('liver', 'liver', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('testis', 'testis', 'NN', 'I-NP', 'O')
('(Chen', '(Chen', 'NN', 'I-NP', 'O')
('etal.,', 'etal.,', 'NN', 'I-NP', 'O')
('2003)', '2003)', 'CD', 'I-NP', 'O')
('but', 'but', 'CC', 'B-PP', 'O')
('not', 'not', 'RB', 'B-PP', 'O')
('in', 'in', 'IN', 'I-PP', 'O')
('28', '28', 'CD', 'B-NP', 'O')
('other', 'other', 'JJ', 'I-NP', 'O')
('tissues,', 'tissues,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('protein', 'protein', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('accumulated', 'accumulate', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('nucli', 'nucli', 'NNS', 'B-NP', 'O')
('(Chen', '(Chen', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2003).', '2003).', 'CD', 'B-NP', 'O')
The subcellular localization and the leucine zipper structure of the protein suggested that it functions as a transcription factor.
('The', 'The', 'DT', 'B-NP', 'O')
('subcellular', 'subcellular', 'JJ', 'I-NP', 'O')
('localization', 'localization', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('leucine', 'leucine', 'NN', 'I-NP', 'B-protein')
('zipper', 'zipper', 'NN', 'I-NP', 'I-protein')
('structure', 'structure', 'NN', 'I-NP', 'I-protein')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('protein', 'protein', 'NN', 'I-NP', 'O')
('suggested', 'suggest', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('functions', 'function', 'VBZ', 'B-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('transcription', 'transcription', 'NN', 'I-NP', 'O')
('factor.', 'factor.', 'NN', 'I-NP', 'O')
Indeed, human TCP10L has an activity of transcription repressor and the leucine zipper is indispensable to the biological functions of the transcription factors (Chen etal., 2003).
('Indeed,', 'Indeed,', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'B-protein')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'I-protein')
('has', 'have', 'VBZ', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('activity', 'activity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('transcription', 'transcription', 'NN', 'B-NP', 'B-protein')
('repressor', 'repressor', 'NN', 'I-NP', 'I-protein')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('leucine', 'leucine', 'NN', 'I-NP', 'B-protein')
('zipper', 'zipper', 'NN', 'I-NP', 'I-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('indispensable', 'indispensable', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('functions', 'function', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('transcription', 'transcription', 'NN', 'I-NP', 'B-protein')
('factors', 'factor', 'NNS', 'I-NP', 'I-protein')
('(Chen', '(Chen', 'VBP', 'B-VP', 'O')
('etal.,', 'etal.,', 'NN', 'B-NP', 'O')
('2003).', '2003).', 'CD', 'I-NP', 'O')
It has long been  argued that changes in gene regulation may be more important to morphological and functional evolution than overall genomic divergence (Cherty et al., 1978).
('It', 'It', 'PRP', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('long', 'long', 'RB', 'I-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('argued', 'argue', 'VBN', 'I-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('changes', 'change', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('regulation', 'regulation', 'NN', 'I-NP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('more', 'more', 'RBR', 'B-ADJP', 'O')
('important', 'important', 'JJ', 'I-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('morphological', 'morphological', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('functional', 'functional', 'JJ', 'I-NP', 'O')
('evolution', 'evolution', 'NN', 'I-NP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('overall', 'overall', 'JJ', 'B-NP', 'O')
('genomic', 'genomic', 'JJ', 'I-NP', 'O')
('divergence', 'divergence', 'NN', 'I-NP', 'O')
('(Cherty', '(Cherty', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('1978).', '1978).', 'CD', 'B-NP', 'O')
To study this old issue, transcription factors can be a good candidate because the change of transcription factors could result in a global change in gene regulation.
('To', 'To', 'TO', 'B-VP', 'O')
('study', 'study', 'VB', 'I-VP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('old', 'old', 'JJ', 'I-NP', 'B-protein')
('issue,', 'issue,', 'NN', 'I-NP', 'I-protein')
('transcription', 'transcription', 'NN', 'I-NP', 'I-protein')
('factors', 'factor', 'NNS', 'I-NP', 'I-protein')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('good', 'good', 'JJ', 'I-NP', 'O')
('candidate', 'candidate', 'NN', 'I-NP', 'O')
('because', 'because', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('change', 'change', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('transcription', 'transcription', 'NN', 'B-NP', 'B-protein')
('factors', 'factor', 'NNS', 'I-NP', 'I-protein')
('could', 'could', 'MD', 'B-VP', 'O')
('result', 'result', 'VB', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('global', 'global', 'JJ', 'I-NP', 'O')
('change', 'change', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('regulation.', 'regulation.', 'NN', 'I-NP', 'O')
In this study, we analyze and compare genomic structure of TCP10L gene between human and chimpanzee and consequently discuss its implication in liver physiology and primate evolution.
('In', 'In', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('study,', 'study,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('analyze', 'analyze', 'VBP', 'B-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('compare', 'compare', 'VBP', 'I-VP', 'O')
('genomic', 'genomic', 'JJ', 'B-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('TCP10L', 'TCP10L', 'NN', 'B-NP', 'B-DNA')
('gene', 'gene', 'NN', 'I-NP', 'I-DNA')
('between', 'between', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('consequently', 'consequently', 'RB', 'B-VP', 'O')
('discuss', 'discuss', 'VB', 'I-VP', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('implication', 'implication', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('liver', 'liver', 'NN', 'B-NP', 'O')
('physiology', 'physiology', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('primate', 'primate', 'NN', 'B-NP', 'O')
('evolution.', 'evolution.', 'NN', 'I-NP', 'O')
Genomic structure of 7OcWZ.
('Genomic', 'Genomic', 'JJ', 'B-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('7OcWZ.', '7OcWZ.', 'NN', 'B-NP', 'O')
gene in Chimpanzee and HumanGenomic organization of human TCP10L gene was reported by Chen et al.
('gene', 'gene', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Chimpanzee', 'Chimpanzee', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('HumanGenomic', 'HumanGenomic', 'JJ', 'B-NP', 'O')
('organization', 'organization', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'B-DNA')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'I-DNA')
('gene', 'gene', 'NN', 'I-NP', 'I-DNA')
('was', 'be', 'VBD', 'B-VP', 'O')
('reported', 'report', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('Chen', 'Chen', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.', 'al.', 'FW', 'I-NP', 'O')
previously (Chen etal., 2003).
('previously', 'previously', 'RB', 'B-ADVP', 'O')
('(Chen', '(Chen', 'NNP', 'B-NP', 'O')
('etal.,', 'etal.,', 'NNP', 'I-NP', 'O')
('2003).', '2003).', '.', 'O', 'O')
The TCP10L is localized at chromosome 21 p22.11, and its genomic size is 8955 bp.
('The', 'The', 'DT', 'B-NP', 'O')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('localized', 'localize', 'VBN', 'I-VP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('chromosome', 'chromosome', 'NN', 'B-NP', 'B-DNA')
('21', '21', 'CD', 'I-NP', 'I-DNA')
('p22.11,', 'p22.11,', 'NN', 'I-NP', 'I-DNA')
('and', 'and', 'CC', 'O', 'O')
('its', 'its', 'PRP$', 'B-NP', 'O')
('genomic', 'genomic', 'JJ', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('8955', '8955', 'CD', 'B-NP', 'O')
('bp.', 'bp.', 'NN', 'I-NP', 'O')
As shown Fig.
('As', 'As', 'IN', 'B-SBAR', 'O')
('shown', 'show', 'VBN', 'B-VP', 'O')
('Fig.', 'Fig.', 'NNP', 'B-NP', 'O')
1, human TCP10L was composed of five exons and four introns.
('1,', '1,', '1,', 'B-NP', 'O')
('human', 'human', 'JJ', 'I-NP', 'B-protein')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'I-protein')
('was', 'be', 'VBD', 'B-VP', 'O')
('composed', 'compose', 'VBN', 'I-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('five', 'five', 'CD', 'B-NP', 'O')
('exons', 'exon', 'NNS', 'I-NP', 'B-DNA')
('and', 'and', 'CC', 'O', 'O')
('four', 'four', 'CD', 'B-NP', 'O')
('introns.', 'introns.', 'NNS', 'I-NP', 'O')
To understand the genomic characters of chimpanzeeTCP10L, we predicted genomic structure of chimpanzee TCP10L using SIM4 program (Florea et al., 1998) that run by matching human Ref.
('To', 'To', 'TO', 'B-VP', 'O')
('understand', 'understand', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('genomic', 'genomic', 'JJ', 'I-NP', 'O')
('characters', 'character', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('chimpanzeeTCP10L,', 'chimpanzeeTCP10L,', 'NN', 'B-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('predicted', 'predict', 'VBD', 'B-VP', 'O')
('genomic', 'genomic', 'JJ', 'B-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'B-NP', 'B-protein')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'I-protein')
('using', 'use', 'VBG', 'B-VP', 'O')
('SIM4', 'SIM4', 'NN', 'B-NP', 'O')
('program', 'program', 'NN', 'I-NP', 'O')
('(Florea', '(Florea', 'NNP', 'I-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('1998)', '1998)', 'CD', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('run', 'run', 'VBP', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('matching', 'match', 'VBG', 'B-VP', 'O')
('human', 'human', 'JJ', 'B-NP', 'O')
('Ref.', 'Ref.', 'NNP', 'I-NP', 'O')
Seq as a query sequence to chimpanzee genomic DNA sequence.
('Seq', 'Seq', 'NN', 'B-NP', 'B-protein')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('query', 'query', 'NN', 'I-NP', 'B-DNA')
('sequence', 'sequence', 'NN', 'I-NP', 'I-DNA')
('to', 'to', 'TO', 'B-VP', 'O')
('chimpanzee', 'chimpanzee', 'VB', 'I-VP', 'O')
('genomic', 'genomic', 'JJ', 'B-NP', 'O')
('DNA', 'DNA', 'NN', 'I-NP', 'O')
('sequence.', 'sequence.', 'NN', 'I-NP', 'O')
The chimpanzee TCP1OL showed genomic size of 8615 bp and similar exon and intron structure with human TCP10L.
('The', 'The', 'DT', 'B-NP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'I-NP', 'O')
('TCP1OL', 'TCP1OL', 'NN', 'I-NP', 'O')
('showed', 'show', 'VBD', 'B-VP', 'O')
('genomic', 'genomic', 'JJ', 'B-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('8615', '8615', 'CD', 'B-NP', 'O')
('bp', 'bp', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('similar', 'similar', 'JJ', 'B-NP', 'O')
('exon', 'exon', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('intron', 'intron', 'NN', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'O')
('TCP10L.', 'TCP10L.', 'NN', 'I-NP', 'O')
DNA sequence similarity of the TCP10L gene between human and chimpanzee was 97.8 % in total and similarities for each exons are shown in Table 1.
('DNA', 'DNA', 'NN', 'B-NP', 'O')
('sequence', 'sequence', 'NN', 'I-NP', 'O')
('similarity', 'similarity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'B-DNA')
('gene', 'gene', 'NN', 'I-NP', 'I-DNA')
('between', 'between', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('97.8', '97.8', 'CD', 'B-NP', 'O')
('%', '%', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('total', 'total', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('similarities', 'similarity', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('exons', 'exon', 'NNS', 'I-NP', 'B-DNA')
('are', 'be', 'VBP', 'B-VP', 'O')
('shown', 'show', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Table', 'Table', 'JJ', 'B-NP', 'O')
('1.', '1.', 'CD', 'I-NP', 'O')
Next, we tried to speculate the changes in CDS of human TCP10L caused by the genomic change.
('Next,', 'Next,', 'NN', 'B-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('tried', 'try', 'VBD', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('speculate', 'speculate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('changes', 'change', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('CDS', 'CDS', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'O')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'O')
('caused', 'cause', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('genomic', 'genomic', 'JJ', 'I-NP', 'O')
('change.', 'change.', 'NN', 'I-NP', 'O')
As shown in Fig.
('As', 'As', 'IN', 'B-SBAR', 'O')
('shown', 'show', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Fig.', 'Fig.', 'NNP', 'B-NP', 'O')
2, human TCP10L has 9 base substitution and 16 bp indel in exon 4.
('2,', '2,', 'LS', 'B-NP', 'O')
('human', 'human', 'JJ', 'I-NP', 'B-protein')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'I-protein')
('has', 'have', 'VBZ', 'B-VP', 'O')
('9', '9', 'CD', 'B-NP', 'O')
('base', 'base', 'NN', 'I-NP', 'O')
('substitution', 'substitution', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('16', '16', 'CD', 'B-NP', 'O')
('bp', 'bp', 'NN', 'I-NP', 'O')
('indel', 'indel', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('exon', 'exon', 'NN', 'B-NP', 'B-DNA')
('4.', '4.', 'CD', 'I-NP', 'I-DNA')
The 16 bp indel in exon 4 resulted in frame shift of protein coding structure and also inactivation of stop codon.
('The', 'The', 'DT', 'B-NP', 'O')
('16', '16', 'CD', 'I-NP', 'O')
('bp', 'bp', 'NN', 'I-NP', 'O')
('indel', 'indel', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('exon', 'exon', 'NN', 'B-NP', 'B-DNA')
('4', '4', 'CD', 'I-NP', 'I-DNA')
('resulted', 'result', 'VBD', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('frame', 'frame', 'NN', 'B-NP', 'O')
('shift', 'shift', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('protein', 'protein', 'NN', 'B-NP', 'O')
('coding', 'coding', 'NN', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('inactivation', 'inactivation', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('stop', 'stop', 'NN', 'B-NP', 'O')
('codon.', 'codon.', 'NN', 'I-NP', 'O')
As a result, the human TCP10L showed longer CDS of 63 base pair than that of chimpanzees.
('As', 'As', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('result,', 'result,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('human', 'human', 'JJ', 'I-NP', 'O')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'O')
('showed', 'show', 'VBD', 'B-VP', 'O')
('longer', 'long', 'JJR', 'B-NP', 'O')
('CDS', 'CDS', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('63', '63', 'CD', 'B-NP', 'O')
('base', 'base', 'NN', 'I-NP', 'O')
('pair', 'pair', 'NN', 'I-NP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('that', 'that', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('chimpanzees.', 'chimpanzees.', 'NN', 'B-NP', 'O')
The consequence of genomic changes on the structure of TCP10LComparison of TCP10L CDS sequence between human and chimpanzee found that the human TCP10L                         deduced to be 215 amino acids polypeptide that is longer of 21 amino acid residues than that of chimpanzees (Fig.
('The', 'The', 'DT', 'B-NP', 'O')
('consequence', 'consequence', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genomic', 'genomic', 'JJ', 'B-NP', 'O')
('changes', 'change', 'NNS', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('TCP10LComparison', 'TCP10LComparison', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('TCP10L', 'TCP10L', 'NN', 'B-NP', 'B-DNA')
('CDS', 'CDS', 'NN', 'I-NP', 'I-DNA')
('sequence', 'sequence', 'NN', 'I-NP', 'I-DNA')
('between', 'between', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'I-NP', 'O')
('found', 'find', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('human', 'human', 'JJ', 'I-NP', 'O')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'O')
('deduced', 'deduce', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('215', '215', 'CD', 'B-NP', 'O')
('amino', 'amino', 'JJ', 'I-NP', 'O')
('acids', 'acid', 'NNS', 'I-NP', 'O')
('polypeptide', 'polypeptide', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('longer', 'long', 'JJR', 'B-ADJP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('21', '21', 'CD', 'B-NP', 'B-protein')
('amino', 'amino', 'NN', 'I-NP', 'I-protein')
('acid', 'acid', 'NN', 'I-NP', 'I-protein')
('residues', 'residue', 'NNS', 'I-NP', 'I-protein')
('than', 'than', 'IN', 'B-PP', 'O')
('that', 'that', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('chimpanzees', 'chimpanzee', 'NNS', 'B-NP', 'O')
('(Fig.', '(Fig.', 'NNP', 'B-NP', 'O')
3).
('3).', '3).', 'LS', 'B-LST', 'O')
We further predicted their secondary structure using PSIPRED server (McGuffin et al., 2000) and found that the 16 base pair indel resulted in dramatic changes on the secondary structure between them.
('We', 'We', 'PRP', 'B-NP', 'O')
('further', 'further', 'RB', 'B-ADVP', 'O')
('predicted', 'predict', 'VBD', 'B-VP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('secondary', 'secondary', 'JJ', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('PSIPRED', 'PSIPRED', 'NNP', 'B-NP', 'O')
('server', 'server', 'NNP', 'I-NP', 'O')
('(McGuffin', '(McGuffin', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2000)', '2000)', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('found', 'find', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('16', '16', 'CD', 'I-NP', 'O')
('base', 'base', 'NN', 'I-NP', 'O')
('pair', 'pair', 'NN', 'I-NP', 'O')
('indel', 'indel', 'NN', 'I-NP', 'O')
('resulted', 'result', 'VBD', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('dramatic', 'dramatic', 'JJ', 'B-NP', 'O')
('changes', 'change', 'NNS', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('secondary', 'secondary', 'JJ', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('them.', 'them.', 'NN', 'B-NP', 'O')
As shown in Fig.
('As', 'As', 'IN', 'B-SBAR', 'O')
('shown', 'show', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Fig.', 'Fig.', 'NNP', 'B-NP', 'O')
4, the typical leucine zipper motif exits in the middle of peptides in both human                                                                                                                                                                                                                                                                and chimpanzees, but another helical structure in the chimpanzee TCP10L exist on the N-terminus of the typical leucine zipper.
('4,', '4,', 'LS', 'B-LST', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('typical', 'typical', 'JJ', 'I-NP', 'O')
('leucine', 'leucine', 'NN', 'I-NP', 'O')
('zipper', 'zipper', 'NN', 'I-NP', 'O')
('motif', 'motif', 'NN', 'I-NP', 'O')
('exits', 'exit', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('middle', 'middle', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('peptides', 'peptide', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('both', 'both', 'CC', 'B-NP', 'O')
('human', 'human', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('chimpanzees,', 'chimpanzees,', 'NN', 'I-NP', 'O')
('but', 'but', 'CC', 'O', 'O')
('another', 'another', 'DT', 'B-NP', 'O')
('helical', 'helical', 'JJ', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'I-NP', 'O')
('TCP10L', 'TCP10L', 'NN', 'I-NP', 'O')
('exist', 'exist', 'VBP', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('N-terminus', 'N-terminus', 'NN', 'I-NP', 'B-protein')
('of', 'of', 'IN', 'B-PP', 'O')
