Patome: Database of Patented Bio-sequences.
('the', 'the', 'DT', 'B-NP', 'O')
('highest', 'high', 'JJS', 'I-NP', 'O')
('scoring', 'scoring', 'NN', 'I-NP', 'O')
('BLAST', 'BLAST', 'NN', 'I-NP', 'O')
('hit', 'hit', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('assigned', 'assign', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('patented', 'patent', 'VBN', 'I-NP', 'O')
('biosequence.', 'biosequence.', 'NN', 'I-NP', 'O')
We also provide an online BLAST query interface to compare an input sequence against Korean patented biosequences.
('We', 'We', 'PRP', 'B-NP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('provide', 'provide', 'VBP', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('online', 'online', 'JJ', 'I-NP', 'O')
('BLAST', 'BLAST', 'NN', 'I-NP', 'O')
('query', 'query', 'NN', 'I-NP', 'O')
('interface', 'interface', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('compare', 'compare', 'VB', 'I-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('input', 'input', 'NN', 'I-NP', 'B-DNA')
('sequence', 'sequence', 'NN', 'I-NP', 'I-DNA')
('against', 'against', 'IN', 'B-PP', 'O')
('Korean', 'Korean', 'JJ', 'B-NP', 'O')
('patented', 'patented', 'JJ', 'I-NP', 'O')
('biosequences.', 'biosequences.', 'NNS', 'I-NP', 'O')
These data and services are available at http://www.
('These', 'These', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('services', 'service', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('available', 'available', 'JJ', 'B-ADJP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('http://www.', 'http://www.', 'NN', 'B-NP', 'O')
patome.
('patome.', 'patome.', 'LS', 'B-LST', 'O')
net/ and the information will be updated every two months.
('net/', 'net/', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('updated', 'update', 'VBN', 'I-VP', 'O')
('every', 'every', 'DT', 'B-NP', 'O')
('two', 'two', 'CD', 'I-NP', 'O')
('months.', 'months.', 'NNS', 'I-NP', 'O')
System ArchitecturePatome infrastructure consists of three componentsthe database itself, a data loader, and an online database query interface (Fig.
('System', 'System', 'NN', 'B-NP', 'O')
('ArchitecturePatome', 'ArchitecturePatome', 'NN', 'I-NP', 'O')
('infrastructure', 'infrastructure', 'NN', 'I-NP', 'O')
('consists', 'consist', 'VBZ', 'B-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('three', 'three', 'CD', 'B-NP', 'O')
('componentsthe', 'componentsthe', 'NN', 'I-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('itself,', 'itself,', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('loader,', 'loader,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('online', 'online', 'NN', 'I-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('query', 'query', 'NN', 'I-NP', 'O')
('interface', 'interface', 'NN', 'I-NP', 'O')
('(Fig.', '(Fig.', 'NNP', 'B-NP', 'O')
1).
('1).', '1).', 'LS', 'B-LST', 'O')
It is operated on a Linux system.
('It', 'It', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('operated', 'operate', 'VBN', 'I-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('Linux', 'Linux', 'NN', 'I-NP', 'O')
('system.', 'system.', 'NN', 'I-NP', 'O')
The consolidated dataset is stored and served from a MySQL relational database management system (http:// www.
('The', 'The', 'DT', 'B-NP', 'O')
('consolidated', 'consolidated', 'JJ', 'I-NP', 'O')
('dataset', 'dataset', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('stored', 'store', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('served', 'serve', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('MySQL', 'MySQL', 'NN', 'I-NP', 'O')
('relational', 'relational', 'JJ', 'I-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('management', 'management', 'NN', 'I-NP', 'O')
('system', 'system', 'NN', 'I-NP', 'O')
('(http://', '(http://', 'SYM', 'B-VP', 'O')
('www.', 'www.', 'NN', 'B-NP', 'O')
mysql.
('mysql.', 'mysql.', 'LS', 'B-LST', 'O')
com/).
('com/).', 'com/).', 'LS', 'B-LST', 'O')
The data loader and online database query programs are implemented using JAVA (http:/A/wwv.
('The', 'The', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('loader', 'loader', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('online', 'online', 'NN', 'I-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('query', 'query', 'NN', 'I-NP', 'O')
('programs', 'program', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('implemented', 'implement', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'I-VP', 'O')
('JAVA', 'JAVA', 'NNP', 'B-NP', 'O')
('(http:/A/wwv.', '(http:/A/wwv.', 'NNP', 'I-NP', 'O')
cpan.
('cpan.', 'cpan.', 'LS', 'B-LST', 'O')
org/) standard library and Java server pages (JSP) (http://java.
('org/)', 'org/)', 'LS', 'B-NP', 'O')
('standard', 'standard', 'JJ', 'I-NP', 'O')
('library', 'library', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Java', 'Java', 'NNP', 'B-NP', 'O')
('server', 'server', 'NN', 'I-NP', 'O')
('pages', 'page', 'NNS', 'I-NP', 'O')
('(JSP)', '(JSP)', 'NN', 'I-NP', 'B-protein')
('(http://java.', '(http://java.', 'LS', 'O', 'O')
sun.
('sun.', 'sun.', 'LS', 'B-LST', 'O')
com/products/jsp/), respectively.
('com/products/jsp/),', 'com/products/jsp/),', 'NN', 'B-NP', 'O')
('respectively.', 'respectively.', 'NN', 'I-NP', 'O')
Web serv­ice is served on TOMCAT (http://jakarta.
('Web', 'Web', 'NN', 'B-NP', 'O')
('serv\xadice', 'serv\xadice', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('served', 'serve', 'VBN', 'I-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('TOMCAT', 'TOMCAT', 'NN', 'B-NP', 'B-protein')
('(http://jakarta.', '(http://jakarta.', '.', 'O', 'O')
apache.
('apache.', 'apache.', 'LS', 'B-LST', 'O')
org/tom cat/) framework ver.
('org/tom', 'org/tom', 'NN', 'B-NP', 'O')
('cat/)', 'cat/)', 'NN', 'I-NP', 'O')
('framework', 'framework', 'NN', 'I-NP', 'O')
('ver.', 'ver.', 'NN', 'I-NP', 'O')
5.1.
('5.1.', '5.1.', 'LS', 'B-LST', 'O')
Data AcquisitionIn accordance with the agreement between KIPO and KRIBB on July 8, 2004, KIPO provides NGIC with patented biosequence data in Korea once a month.
('Data', 'Datum', 'NNS', 'B-NP', 'O')
('AcquisitionIn', 'AcquisitionIn', 'IN', 'B-PP', 'O')
('accordance', 'accordance', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('agreement', 'agreement', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('KIPO', 'KIPO', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'I-NP', 'O')
('KRIBB', 'KRIBB', 'NN', 'I-NP', 'B-protein')
('on', 'on', 'IN', 'B-PP', 'O')
('July', 'July', 'NNP', 'B-NP', 'O')
('8,', '8,', 'CD', 'I-NP', 'O')
('2004,', '2004,', 'CD', 'I-NP', 'O')
('KIPO', 'KIPO', 'NNP', 'B-NP', 'O')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('NGIC', 'NGIC', 'NN', 'B-NP', 'B-protein')
('with', 'with', 'IN', 'B-PP', 'O')
('patented', 'patent', 'VBN', 'B-NP', 'O')
('biosequence', 'biosequence', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Korea', 'Korea', 'NNP', 'B-NP', 'O')
('once', 'once', 'RB', 'B-ADVP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('month.', 'month.', 'NN', 'I-NP', 'O')
The format of the data offered by KIPO was RDBMS dumps.
('The', 'The', 'DT', 'B-NP', 'O')
('format', 'format', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('offered', 'offer', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('KIPO', 'KIPO', 'NN', 'B-NP', 'B-protein')
('was', 'be', 'VBD', 'B-VP', 'O')
('RDBMS', 'RDBMS', 'NN', 'B-NP', 'O')
('dumps.', 'dumps.', 'NNS', 'I-NP', 'O')
Therefore, the data were converted to a FASTA format and an EMBL format for further processing.
('Therefore,', 'Therefore,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('converted', 'convert', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('FASTA', 'FASTA', 'NN', 'I-NP', 'B-protein')
('format', 'format', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('EMBL', 'EMBL', 'NN', 'I-NP', 'O')
('format', 'format', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('further', 'further', 'JJ', 'B-NP', 'O')
('processing.', 'processing.', 'NN', 'I-NP', 'O')
Annotation of Patented SequencesPatented biosequences can be divided into two types: nucleic acid and amino acid.
('Annotation', 'Annotation', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Patented', 'Patented', 'JJ', 'B-NP', 'B-DNA')
('SequencesPatented', 'SequencesPatented', 'JJ', 'I-NP', 'I-DNA')
('biosequences', 'biosequence', 'NNS', 'I-NP', 'I-DNA')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('divided', 'divide', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('types:', 'types:', 'NN', 'I-NP', 'O')
('nucleic', 'nucleic', 'JJ', 'I-NP', 'O')
('acid', 'acid', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('amino', 'amino', 'NN', 'I-NP', 'O')
('acid.', 'acid.', 'NN', 'I-NP', 'O')
To annotate the nucleic acid sequences, MegaBLAST (Zhang eta/., 2000) was used to compare the nucleic acid sequences against RefSeq mRNA.
('To', 'To', 'TO', 'B-VP', 'O')
('annotate', 'annotate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('nucleic', 'nucleic', 'JJ', 'I-NP', 'O')
('acid', 'acid', 'NN', 'I-NP', 'O')
('sequences,', 'sequences,', 'NN', 'I-NP', 'O')
('MegaBLAST', 'MegaBLAST', 'NNP', 'I-NP', 'O')
('(Zhang', '(Zhang', 'NNP', 'I-NP', 'O')
('eta/.,', 'eta/.,', 'VBD', 'B-VP', 'O')
('2000)', '2000)', 'CD', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('compare', 'compare', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('nucleic', 'nucleic', 'JJ', 'I-NP', 'O')
('acid', 'acid', 'NN', 'I-NP', 'O')
('sequences', 'sequence', 'NNS', 'I-NP', 'O')
('against', 'against', 'IN', 'B-PP', 'O')
('RefSeq', 'RefSeq', 'NNP', 'B-NP', 'O')
('mRNA.', 'mRNA.', 'NNP', 'I-NP', 'O')
For those not covered by RefSeq mRNA, we annotated with NCBI’s nr by using BLASTX.
('For', 'For', 'IN', 'B-PP', 'O')
('those', 'those', 'DT', 'B-NP', 'O')
('not', 'not', 'RB', 'B-VP', 'O')
('covered', 'cover', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('RefSeq', 'RefSeq', 'NN', 'B-NP', 'O')
('mRNA,', 'mRNA,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('annotated', 'annotate', 'VBD', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('NCBI’s', 'NCBI’', 'NNS', 'B-NP', 'B-protein')
('nr', 'nr', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('BLASTX.', 'BLASTX.', 'NNP', 'B-NP', 'O')
The BLAST results were filtered by an Evalue cutoff score of 1 .
('The', 'The', 'DT', 'B-NP', 'O')
('BLAST', 'BLAST', 'NN', 'I-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('filtered', 'filter', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('Evalue', 'Evalue', 'NN', 'I-NP', 'O')
('cutoff', 'cutoff', 'NN', 'I-NP', 'O')
('score', 'score', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('1', '1', 'CD', 'B-NP', 'O')
('.', '.', '.', 'O', 'O')
OE5.
('OE5.', 'OE5.', 'LS', 'B-LST', 'O')
Out of 117,873 patented nucleic acid sequences, 21,538                                                (18%) were annotated with RefSeq mRNA or NCBI’s nr.
('Out', 'Out', 'IN', 'B-PP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('117,873', '117,873', 'CD', 'B-NP', 'O')
('patented', 'patent', 'VBD', 'B-VP', 'O')
('nucleic', 'nucleic', 'JJ', 'B-NP', 'O')
('acid', 'acid', 'NN', 'I-NP', 'O')
('sequences,', 'sequences,', 'NN', 'I-NP', 'O')
('21,538', '21,538', 'CD', 'I-NP', 'O')
('(18%)', '(18%)', 'LS', 'O', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('annotated', 'annotate', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('RefSeq', 'RefSeq', 'NN', 'B-NP', 'B-RNA')
('mRNA', 'mRNA', 'NN', 'I-NP', 'I-RNA')
('or', 'or', 'CC', 'I-NP', 'O')
('NCBI’s', 'NCBI’', 'NNS', 'I-NP', 'O')
('nr.', 'nr.', 'NN', 'I-NP', 'O')
Among un-annotated nucleic acid sequences, 59,318 (62%) were primer sequences that have explicit primer descriptions in the patent title or are less than 30bp in length.
('Among', 'Among', 'IN', 'B-PP', 'O')
('un-annotated', 'un-annotated', 'JJ', 'B-NP', 'O')
('nucleic', 'nucleic', 'JJ', 'I-NP', 'O')
('acid', 'acid', 'NN', 'I-NP', 'O')
('sequences,', 'sequences,', 'NN', 'I-NP', 'O')
('59,318', '59,318', 'CD', 'I-NP', 'O')
('(62%)', '(62%)', 'LS', 'O', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('primer', 'primer', 'NN', 'B-NP', 'B-DNA')
('sequences', 'sequence', 'NNS', 'I-NP', 'I-DNA')
('that', 'that', 'WDT', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('explicit', 'explicit', 'JJ', 'B-NP', 'O')
('primer', 'primer', 'NN', 'I-NP', 'O')
('descriptions', 'description', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('patent', 'patent', 'NN', 'I-NP', 'O')
('title', 'title', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('less', 'less', 'JJR', 'B-ADJP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('30bp', '30bp', 'NN', 'B-NP', 'B-DNA')
('in', 'in', 'IN', 'B-PP', 'O')
('length.', 'length.', 'NN', 'B-NP', 'O')
To annotate the amino acid sequences, BLASTP was used to compare the amino acid sequences against RefSeq protein or NCBI’s nr.
('To', 'To', 'TO', 'B-VP', 'O')
('annotate', 'annotate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('amino', 'amino', 'JJ', 'I-NP', 'B-protein')
('acid', 'acid', 'NN', 'I-NP', 'I-protein')
('sequences,', 'sequences,', 'NN', 'I-NP', 'I-protein')
('BLASTP', 'BLASTP', 'NN', 'I-NP', 'I-protein')
('was', 'be', 'VBD', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('compare', 'compare', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('amino', 'amino', 'JJ', 'I-NP', 'B-protein')
('acid', 'acid', 'NN', 'I-NP', 'I-protein')
('sequences', 'sequence', 'NNS', 'I-NP', 'I-protein')
('against', 'against', 'IN', 'B-PP', 'O')
('RefSeq', 'RefSeq', 'NN', 'B-NP', 'B-protein')
('protein', 'protein', 'NN', 'I-NP', 'I-protein')
('or', 'or', 'CC', 'O', 'O')
('NCBI’s', 'NCBI’', 'NNS', 'B-NP', 'O')
('nr.', 'nr.', 'NN', 'I-NP', 'O')
An E-value cutoff was set to 1 .
('An', 'An', 'DT', 'B-NP', 'O')
('E-value', 'E-value', 'NN', 'I-NP', 'O')
('cutoff', 'cutoff', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('set', 'set', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('1', '1', 'CD', 'B-NP', 'O')
('.', '.', '.', 'O', 'O')
OE-5.27,270 (47%) out of 57,926 patented amino acid sequences were annotated with the public databases.
('OE-5.27,270', 'OE-5.27,270', 'CD', 'B-NP', 'O')
('(47%)', '(47%)', 'LS', 'B-LST', 'O')
('out', 'out', 'IN', 'B-PP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('57,926', '57,926', 'CD', 'B-NP', 'B-DNA')
('patented', 'patent', 'VBD', 'B-VP', 'I-DNA')
('amino', 'amino', 'JJ', 'B-NP', 'I-DNA')
('acid', 'acid', 'NN', 'I-NP', 'I-DNA')
('sequences', 'sequence', 'NNS', 'I-NP', 'I-DNA')
('were', 'be', 'VBD', 'B-VP', 'O')
('annotated', 'annotate', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('public', 'public', 'NN', 'I-NP', 'O')
('databases.', 'databases.', 'NN', 'I-NP', 'O')
18,393 (60%) of the un-annotated amino acid sequences were very short amino acid sequences (<15 residues).
('18,393', '18,393', 'CD', 'B-NP', 'O')
('(60%)', '(60%)', 'LS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('un-annotated', 'un-annotated', 'JJ', 'I-NP', 'B-DNA')
('amino', 'amino', 'JJ', 'I-NP', 'I-DNA')
('acid', 'acid', 'NN', 'I-NP', 'I-DNA')
('sequences', 'sequence', 'NNS', 'I-NP', 'I-DNA')
('were', 'be', 'VBD', 'B-VP', 'O')
('very', 'very', 'RB', 'B-NP', 'O')
('short', 'short', 'JJ', 'I-NP', 'O')
('amino', 'amino', 'JJ', 'I-NP', 'O')
('acid', 'acid', 'NN', 'I-NP', 'O')
('sequences', 'sequence', 'NNS', 'I-NP', 'O')
('(<15', '(<15', 'CD', 'B-NP', 'O')
('residues).', 'residues).', 'NN', 'I-NP', 'O')
The annotated data can be downloaded from the Patome website.
('The', 'The', 'DT', 'B-NP', 'O')
('annotated', 'annotate', 'VBN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('downloaded', 'downloade', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Patome', 'Patome', 'NNP', 'I-NP', 'O')
('website.', 'website.', 'NN', 'I-NP', 'O')
Construction of the DatabaseWe designed and constructed the Patome database containing the raw patent data and the annotated bio-sequence data.
('Construction', 'Construction', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('DatabaseWe', 'DatabaseWe', 'NNP', 'I-NP', 'O')
('designed', 'design', 'VBN', 'B-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('constructed', 'construct', 'VBN', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Patome', 'Patome', 'NN', 'I-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('containing', 'contain', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('raw', 'raw', 'JJ', 'I-NP', 'O')
('patent', 'patent', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('annotated', 'annotated', 'JJ', 'I-NP', 'O')
('bio-sequence', 'bio-sequence', 'NN', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
In the Patome database, there are ten database tables which are classified into two sections: application related part and biosequence related part.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Patome', 'Patome', 'NNP', 'I-NP', 'O')
('database,', 'database,', 'NN', 'I-NP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('ten', 'ten', 'CD', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('tables', 'table', 'NNS', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('classified', 'classify', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('sections:', 'sections:', 'NN', 'I-NP', 'O')
('application', 'application', 'NN', 'I-NP', 'O')
('related', 'relate', 'VBN', 'B-VP', 'O')
('part', 'part', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('biosequence', 'biosequence', 'NN', 'I-NP', 'O')
('related', 'relate', 'VBN', 'B-VP', 'O')
('part.', 'part.', 'NN', 'B-NP', 'O')
The tables in the application related part contain basic patent information such as sequence information, applicants, abstracts, and priority rights.
('The', 'The', 'DT', 'B-NP', 'O')
('tables', 'table', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('application', 'application', 'NN', 'I-NP', 'O')
('related', 'related', 'JJ', 'I-NP', 'O')
('part', 'part', 'NN', 'I-NP', 'O')
('contain', 'contain', 'VBP', 'B-VP', 'O')
('basic', 'basic', 'JJ', 'B-NP', 'O')
('patent', 'patent', 'NN', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('sequence', 'sequence', 'NN', 'B-NP', 'O')
('information,', 'information,', 'NN', 'I-NP', 'O')
('applicants,', 'applicants,', 'NN', 'I-NP', 'O')
('abstracts,', 'abstracts,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('priority', 'priority', 'NN', 'I-NP', 'O')
('rights.', 'rights.', 'NNS', 'I-NP', 'O')
The tables in the bio-sequence related part contain sequence raw data such as references, feature, and sequences, as well as annotation data.
('The', 'The', 'DT', 'B-NP', 'O')
('tables', 'table', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('bio-sequence', 'bio-sequence', 'NN', 'I-NP', 'O')
('related', 'related', 'JJ', 'I-NP', 'O')
('part', 'part', 'NN', 'I-NP', 'O')
('contain', 'contain', 'VBP', 'B-VP', 'O')
('sequence', 'sequence', 'NN', 'B-NP', 'O')
('raw', 'raw', 'JJ', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('references,', 'references,', 'NN', 'B-NP', 'O')
('feature,', 'feature,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('sequences,', 'sequences,', 'NN', 'I-NP', 'O')
('as', 'as', 'RB', 'B-CONJP', 'O')
('well', 'well', 'RB', 'I-CONJP', 'O')
('as', 'as', 'IN', 'I-CONJP', 'O')
('annotation', 'annotation', 'NN', 'B-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
We developed a data loader program that has the following functions: confirming data format, loading data, and exporting EMBL/FASTA files.
('We', 'We', 'PRP', 'B-NP', 'O')
('developed', 'develop', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('loader', 'loader', 'NN', 'I-NP', 'O')
('program', 'program', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('following', 'follow', 'VBG', 'I-NP', 'O')
('functions:', 'functions:', 'NN', 'I-NP', 'O')
('confirming', 'confirm', 'VBG', 'B-VP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('format,', 'format,', 'NN', 'I-NP', 'O')
('loading', 'load', 'VBG', 'B-VP', 'O')
('data,', 'data,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('exporting', 'export', 'VBG', 'B-VP', 'O')
('EMBL/FASTA', 'EMBL/FASTA', 'NN', 'B-NP', 'O')
('files.', 'files.', 'NNS', 'I-NP', 'O')
SearchingThe Patome search web interfaces consist of three types: keyword, accession number, and BLAST similarity (Fig.
('SearchingThe', 'SearchingThe', 'NNP', 'B-NP', 'O')
('Patome', 'Patome', 'NNP', 'I-NP', 'O')
('search', 'search', 'NN', 'I-NP', 'O')
('web', 'web', 'NN', 'I-NP', 'O')
('interfaces', 'interface', 'NNS', 'I-NP', 'O')
('consist', 'consist', 'VBP', 'B-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('three', 'three', 'CD', 'B-NP', 'O')
('types:', 'types:', 'SYM', 'I-NP', 'O')
('keyword,', 'keyword,', 'NN', 'I-NP', 'O')
('accession', 'accession', 'NN', 'I-NP', 'O')
('number,', 'number,', 'NN', 'I-NP', 'O')
